Adam C Parore,31/10/1992,ZIM,Bulawayo Athl Club  ,ODI,c D Houghton b A Omarshah        ,  11,11.00, 10,110.0,0
Adam C Parore,8/11/1992 ,ZIM,Harare Sports Club  ,ODI,not out                          ,3,14.00,  3,100.0,1
Adam C Parore,4/12/1992 ,SRL,Premadasa Stadium   ,ODI,run out                          ,  20,17.00, 34,58.8235294118,0
Adam C Parore,12/12/1992,SRL,P Sara Oval         ,ODI,c A Gurusinha b S Jayasuriya     ,  17,17.00, 29,58.6206896552,0
Adam C Parore,13/12/1992,SRL,Premadasa Stadium   ,ODI,b A Gurusinha                    ,  13,16.00, 29,44.8275862069,0
Adam C Parore,26/12/1992,PAK,Basin Reserve       ,ODI,c Salim Malik b Wasim Akram      ,  14,15.60, 33,42.4242424242,0
Adam C Parore,28/12/1992,PAK,McLean Park         ,ODI, DNB,0,15.60,0,0,0
Adam C Parore,30/12/1992,PAK,Eden Park           ,ODI, DNB,0,15.60,0,0,0
Adam C Parore,16/03/1994,PAK,AMI Stadium         ,ODI, DNB,0,15.60,0,0,0
Adam C Parore,25/03/1994,IND,McLean Park         ,ODI, DNB,0,15.60,0,0,0
Adam C Parore,27/03/1994,IND,Eden Park           ,ODI,run out                          ,  23,16.83, 77,29.8701298701,0
Adam C Parore,30/03/1994,IND,Basin Reserve       ,ODI,b A Kumble                       ,  47,21.14, 61,77.0491803279,0
Adam C Parore,2/04/1994 ,IND,AMI Stadium         ,ODI,not out                          ,47,27.86, 46,102.173913043,1
Adam C Parore,16/04/1994,AUS,Sharjah Stadium     ,ODI,c & b S Warne                    ,  12,25.88, 27,44.4444444444,0
Adam C Parore,18/04/1994,SRL,Sharjah Stadium     ,ODI,c P Dassanayake b S Jayasuriya   ,  37,27.11, 72,51.3888888889,0
Adam C Parore,20/04/1994,PAK,Sharjah Stadium     ,ODI,c sub b Salim Malik              ,  82,32.60,102,80.3921568627,0
Adam C Parore,19/05/1994,ENG,Edgbaston           ,ODI,b S Udal                         ,  42,33.45, 65,64.6153846154,0
Adam C Parore,26/10/1994,WIN,Nehru Stad (Margao) ,ODI,not out                          ,3,33.73, 12,25.0,1
Adam C Parore,28/10/1994,IND,Reliance Stadium    ,ODI,c A Kumble b M Prabhakar         ,  96,38.92,138,69.5652173913,0
Adam C Parore,1/11/1994 ,WIN,Nehru Stad (Guwahat),ODI,run out                          ,   9,36.62, 27,33.3333333333,0
Adam C Parore,3/11/1994 ,IND,Feroz Shah Kotla    ,ODI,lbw b S Venkatapathy Raju        ,  51,37.64,105,48.5714285714,0
Adam C Parore,6/12/1994 ,SAF,Newlands            ,ODI,run out                          ,  13,36.00, 15,86.6666666667,0
Adam C Parore,8/12/1994 ,SRL,OUTsurance Oval     ,ODI,not out                          ,31,38.07, 48,64.5833333333,1
Adam C Parore,11/12/1994,SAF,Supersport Park     ,ODI,c D Cullinan b D Callaghan       , 108,42.44, 95,113.684210526,0
Adam C Parore,13/12/1994,PAK,St George's Park    ,ODI,c Ijaz Ahmed b Salim Malik       ,  59,43.41, 86,68.6046511628,0
Adam C Parore,18/12/1994,SRL,Buffalo Park        ,ODI,c H Tillakaratne b K Pushpakumara,  67,44.72, 83,80.7228915663,0
Adam C Parore,19/12/1994,PAK,Buffalo Park        ,ODI,b Aaqib Javed                    ,   1,42.42,  8,12.5,0
Adam C Parore,22/01/1995,WIN,Eden Park           ,ODI,c J Adams b C Walsh              ,   1,40.35, 12,8.33333333333,0
Adam C Parore,25/01/1995,WIN,Basin Reserve       ,ODI,lbw b C Walsh                    ,  18,39.29, 34,52.9411764706,0
Adam C Parore,28/01/1995,WIN,AMI Stadium         ,ODI,c R Holder b R Dhanraj           ,   9,37.91, 18,50.0,0
Adam C Parore,16/02/1995,IND,McLean Park         ,ODI,c N Mongia b J Srinath           ,   0,36.26,  2,0.0,0
Adam C Parore,19/02/1995,AUS,Eden Park           ,ODI,not out                          ,27,37.43, 44,61.3636363636,1
Adam C Parore,23/02/1995,SAF,AMI Stadium         ,ODI,not out                          ,30,38.74, 17,176.470588235,1
Adam C Parore,26/02/1995,AUS,Eden Park           ,ODI,c M Taylor b S Warne             ,   2,37.21,  4,50.0,0
Adam C Parore,26/03/1995,SRL,AMI Stadium         ,ODI,b W Vaas                         ,  31,36.96, 36,86.1111111111,0
Adam C Parore,29/03/1995,SRL,Seddon Park         ,ODI,not out                          ,61,39.40, 45,135.555555556,1
Adam C Parore,1/04/1995 ,SRL,Eden Park           ,ODI,c M Mendis b R Kalpage           ,  19,38.62, 21,90.4761904762,0
Adam C Parore,29/11/1995,IND,Brabourne Stadium   ,ODI,run out                          ,  14,37.70, 12,116.666666667,0
Adam C Parore,15/12/1995,PAK,Carisbrook          ,ODI,b Waqar Younis                   ,   2,36.43, 11,18.1818181818,0
Adam C Parore,17/12/1995,PAK,AMI Stadium         ,ODI,c Basit Ali b Wasim Akram        ,  45,36.72, 58,77.5862068966,0
Adam C Parore,20/12/1995,PAK,Basin Reserve       ,ODI,lbw b Aaqib Javed                ,   4,35.63, 15,26.6666666667,0
Adam C Parore,23/12/1995,PAK,Eden Park           ,ODI,b Waqar Younis                   ,  42,35.84, 65,64.6153846154,0
Adam C Parore,28/01/1996,ZIM,Eden Park           ,ODI,not out                          ,26,36.68, 18,144.444444444,1
Adam C Parore,31/01/1996,ZIM,Basin Reserve       ,ODI,not out                          ,25,37.48, 19,131.578947368,1
Adam C Parore,3/02/1996 ,ZIM,McLean Park         ,ODI,c H Streak b G Flower            ,   3,36.41,  7,42.8571428571,0
Adam C Parore,17/02/1996,NED,Reliance Stadium    ,ODI,c N Clarke b G Aponso            ,  55,36.97, 55,100.0,0
Adam C Parore,20/02/1996,SAF,Iqbal Stadium       ,ODI,run out                          ,  27,36.68, 48,56.25,0
Adam C Parore,27/02/1996,UAE,Iqbal Stadium       ,ODI,c Azhar Saeed b Sultan Zarawani  ,  15,36.06, 18,83.3333333333,0
Adam C Parore,6/03/1996 ,PAK,Gaddafi Stadium     ,ODI,c Mushtaq Ahmed b Salim Malik    ,  36,36.06, 34,105.882352941,0
Adam C Parore,11/03/1996,AUS,Chidambaram Stadium ,ODI,lbw b S Warne                    ,  11,35.38, 13,84.6153846154,0
Adam C Parore,26/03/1996,WIN,Sabina Park         ,ODI,c R Harper b C Walsh             ,  61,36.05,106,57.5471698113,0
Adam C Parore,29/03/1996,WIN,Queen's Park        ,ODI,c J Adams b C Walsh              ,   0,35.13,  4,0.0,0
Adam C Parore,30/03/1996,WIN,Queen's Park        ,ODI,c R Harper b J Adams             ,  33,35.08, 42,78.5714285714,0
Adam C Parore,6/04/1996 ,WIN,Arnos Vale Ground   ,ODI,b L Williams                     ,  23,34.78, 29,79.3103448276,0
Adam C Parore,7/11/1996 ,SRL,Sharjah Stadium     ,ODI,lbw b W Vaas                     ,   0,33.95,  2,0.0,0
Adam C Parore,10/11/1996,PAK,Sharjah Stadium     ,ODI,run out                          ,  93,35.33,155,60.0,0
Adam C Parore,11/11/1996,SRL,Sharjah Stadium     ,ODI,c R Kaluwitharana b K de Silva   ,   0,34.52,  1,0.0,0
Adam C Parore,13/11/1996,PAK,Sharjah Stadium     ,ODI,c Shahid Afridi b Waqar Younis   ,  78,35.49,123,63.4146341463,0
Adam C Parore,15/11/1996,PAK,Sharjah Stadium     ,ODI,lbw b Saqlain Mushtaq            ,  22,35.20, 59,37.2881355932,0
Adam C Parore,4/12/1996 ,PAK,Jinnah Stadium      ,ODI,lbw b Mushtaq Ahmed              ,  35,35.19, 61,57.3770491803,0
Adam C Parore,6/12/1996 ,PAK,Jinnah Stadium      ,ODI,c Ijaz Ahmed b Saqlain Mushtaq   ,  37,35.23, 45,82.2222222222,0
Adam C Parore,8/12/1996 ,PAK,National Stadium    ,ODI,c Moin Khan b Wasim Akram        ,  47,35.47, 69,68.115942029,0
Adam C Parore,20/02/1997,ENG,AMI Stadium         ,ODI,c & b P Tufnell                  ,  26,35.28, 51,50.9803921569,0
Adam C Parore,23/02/1997,ENG,Eden Park           ,ODI,run out                          ,   2,34.63,  7,28.5714285714,0
Adam C Parore,26/02/1997,ENG,McLean Park         ,ODI,c & b C White                    ,  24,34.42, 33,72.7272727273,0
Adam C Parore,2/03/1997 ,ENG,Eden Park           ,ODI,c R Croft b A Caddick            ,  13,34.02, 27,48.1481481481,0
Adam C Parore,4/03/1997 ,ENG,Basin Reserve       ,ODI,lbw b A Caddick                  ,  18,33.72, 27,66.6666666667,0
Adam C Parore,25/03/1997,SRL,AMI Stadium         ,ODI,c & b S Jayasuriya               ,  19,33.45, 33,57.5757575758,0
Adam C Parore,27/03/1997,SRL,Basin Reserve       ,ODI,run out                          ,  39,33.55, 43,90.6976744186,0
Adam C Parore,9/05/1997 ,PAK,Punjab Cricket Stad ,ODI,not out                          ,16,33.84, 12,133.333333333,1
Adam C Parore,14/05/1997,IND,Chinnaswamy Stadium ,ODI,run out                          ,  32,33.81, 57,56.1403508772,0
Adam C Parore,20/05/1997,SRL,Lal Bahadur Stadium ,ODI,c H Tillakaratne b H Dharmasena  ,   9,33.38, 13,69.2307692308,0
Adam C Parore,1/10/1997 ,ZIM,Queens Sports Club  ,ODI,b P Strang                       ,   1,32.83,  7,14.2857142857,0
Adam C Parore,4/10/1997 ,ZIM,Harare Sports Club  ,ODI,c A Flower b J Rennie            ,  15,32.53, 34,44.1176470588,0
Adam C Parore,5/10/1997 ,ZIM,Harare Sports Club  ,ODI,b B Strang                       ,  14,32.23,  6,233.333333333,0
Adam C Parore,6/12/1997 ,SAF,Adelaide Oval       ,ODI,not out                          ,2,32.26,  2,100.0,1
Adam C Parore,7/12/1997 ,AUS,Adelaide Oval       ,ODI,b I Harvey                       ,   9,31.89, 23,39.1304347826,0
Adam C Parore,11/12/1997,SAF,Bellerive Oval      ,ODI,run out                          ,   6,31.48, 11,54.5454545455,0
Adam C Parore,17/12/1997,AUS,Melbourne Cricket Gr,ODI,c A Gilchrist b P Wilson         ,   5,31.06, 27,18.5185185185,0
Adam C Parore,9/01/1998 ,SAF,Brisbane Cricket Gr ,ODI,c P Symcox b A Donald            ,  67,31.62, 46,145.652173913,0
Adam C Parore,14/01/1998,AUS,Sydney Cricket Grnd ,ODI,c R Ponting b I Harvey           ,   0,31.14,  1,0.0,0
Adam C Parore,16/01/1998,SAF,W.A.C.A. Ground     ,ODI,c M Boucher b M Ntini            ,   8,30.79, 16,50.0,0
Adam C Parore,21/01/1998,AUS,Melbourne Cricket Gr,ODI,c & b T Moody                    ,  46,31.01, 77,59.7402597403,0
Adam C Parore,4/02/1998 ,ZIM,Seddon Park         ,ODI,c M Goodwin b P Strang           ,  14,30.77, 16,87.5,0
Adam C Parore,6/02/1998 ,ZIM,Basin Reserve       ,ODI,not out                          ,36,31.29, 56,64.2857142857,1
Adam C Parore,8/02/1998 ,AUS,AMI Stadium         ,ODI,c M Bevan b G Robertson          ,  29,31.26, 63,46.0317460317,0
Adam C Parore,10/02/1998,AUS,Basin Reserve       ,ODI,run out                          ,   0,30.82,  2,0.0,0
Adam C Parore,12/02/1998,AUS,McLean Park         ,ODI,b A Bichel                       ,   0,30.39,  4,0.0,0
Adam C Parore,14/02/1998,AUS,Eden Park           ,ODI,c R Ponting b G Robertson        ,  32,30.41, 59,54.2372881356,0
Adam C Parore,4/03/1998 ,ZIM,AMI Stadium         ,ODI,c P Strang b H Streak            ,  25,30.34, 34,73.5294117647,0
Adam C Parore,6/03/1998 ,ZIM,McLean Park         ,ODI, DNB,0,30.34,0,0,0
Adam C Parore,8/03/1998 ,ZIM,Eden Park           ,ODI,c A Flower b D Viljoen           ,   7,30.03, 11,63.6363636364,0
Adam C Parore,17/04/1998,IND,Sharjah Stadium     ,ODI,not out                          ,9,30.15, 10,90.0,1
Adam C Parore,18/04/1998,AUS,Sharjah Stadium     ,ODI,b D Fleming                      ,   5,29.82, 19,26.3157894737,0
Adam C Parore,20/04/1998,IND,Sharjah Stadium     ,ODI,c Harvinder Singh b A Kumble     ,  27,29.78, 38,71.0526315789,0
Adam C Parore,21/04/1998,AUS,Sharjah Stadium     ,ODI,not out                          ,22,30.06, 20,110.0,1
Adam C Parore,21/06/1998,SRL,Premadasa Stadium   ,ODI,c R Kaluwitharana b U Chandana   ,   1,29.69,  4,25.0,0
Adam C Parore,23/06/1998,IND,Premadasa Stadium   ,ODI,lbw b A Agarkar                  ,   1,29.33,  2,50.0,0
Adam C Parore,3/07/1998 ,IND,Sinhalese Sports Gr ,ODI,not out                          ,9,29.44, 14,64.2857142857,1
Adam C Parore,5/07/1998 ,SRL,Sinhalese Sports Gr ,ODI,not out                          ,28,29.80, 43,65.1162790698,1
Adam C Parore,24/10/1998,ZIM,Bangabandhu Stadium ,ODI,c A Whittall b H Streak          ,  52,30.08, 72,72.2222222222,0
