Alan C Dawson,25/10/1998,ENG,Bangabandhu Stadium ,ODI, DNB,0,    ,0,0,0
Alan C Dawson,28/09/1999,ZIM,Gymkhana Club Ground,ODI, DNB,0,    ,0,0,0
Alan C Dawson,3/10/1999 ,IND,Gymkhana Club Ground,ODI,run out               ,   6, 6.00, 3,200.0,0
Alan C Dawson,9/01/2001 ,SRL,Boland Bank Park    ,ODI, DNB,0, 6.00,0,0,0
Alan C Dawson,13/09/2002,WIN,Sinhalese Sports Gr ,ODI,not out               ,4,10.00, 1,400.0,1
Alan C Dawson,20/09/2002,KEN,Premadasa Stadium   ,ODI, DNB,0,10.00,0,0,0
Alan C Dawson,13/04/2003,IND,Bangabandhu Stadium ,ODI,not out               ,7,17.00, 5,140.0,1
Alan C Dawson,14/04/2003,BAN,Bangabandhu Stadium ,ODI, DNB,0,17.00,0,0,0
Alan C Dawson,17/04/2003,BAN,Bangabandhu Stadium ,ODI, DNB,0,17.00,0,0,0
Alan C Dawson,18/04/2003,IND,Bangabandhu Stadium ,ODI, DNB,0,17.00,0,0,0
Alan C Dawson,21/04/2003,IND,Bangabandhu Stadium ,ODI, DNB,0,17.00,0,0,0
Alan C Dawson,28/06/2003,ENG,The Oval            ,ODI, DNB,0,17.00,0,0,0
Alan C Dawson,29/06/2003,ZIM,St. Lawrence Ground ,ODI, DNB,0,17.00,0,0,0
Alan C Dawson,3/10/2003 ,PAK,Gaddafi Stadium     ,ODI, DNB,0,17.00,0,0,0
Alan C Dawson,5/10/2003 ,PAK,Gaddafi Stadium     ,ODI,not out               ,23,40.00,31,74.1935483871,1
Alan C Dawson,12/10/2003,PAK,Rawalpindi Stadium  ,ODI, DNB,0,40.00,0,0,0
Alan C Dawson,20/08/2004,SRL,Premadasa Stadium   ,ODI,not out               ,3,43.00, 4,75.0,1
Alan C Dawson,22/08/2004,SRL,Premadasa Stadium   ,ODI,c W Vaas b T Dilshan  ,  15,29.00,14,107.142857143,0
Alan C Dawson,25/08/2004,SRL,Rangiri Dambulla Std,ODI,c H Herath b T Dilshan,  11,23.00, 9,122.222222222,0
