Alex A Obanda,18/10/2007,CAN,Gymkhana Club Ground,ODI,c S Dhaniram b J Patraj            ,  30,30.00, 92,32.6086956522,0
Alex A Obanda,20/10/2007,CAN,Gymkhana Club Ground,ODI,st A Mulla b J Patraj              ,  85,57.50,103,82.5242718447,0
Alex A Obanda,25/10/2007,BER,Gymkhana Club Ground,ODI,not out                            ,79,97.00, 82,96.3414634146,1
Alex A Obanda,27/10/2007,BER,Gymkhana Club Ground,ODI, DNB,0,97.00,0,0,0
Alex A Obanda,12/08/2008,SCO,Cambusdoon Ground   ,ODI,b R Watson                         ,  24,72.67, 44,54.5454545455,0
Alex A Obanda,21/08/2008,NED,Hazelaarweg         ,ODI,c J Smits b P Seelar               ,  20,59.50, 30,66.6666666667,0
Alex A Obanda,24/08/2008,IRE,Civil Service C C   ,ODI,c P Connell b W Rankin             ,  18,51.20, 28,64.2857142857,0
Alex A Obanda,25/08/2008,IRE,Civil Service C C   ,ODI, DNB,0,51.20,0,0,0
Alex A Obanda,19/10/2008,ZIM,Gymkhana Club Ground,ODI,b P Utseya                         ,  71,54.50,100,71.0,0
Alex A Obanda,31/10/2008,SAF,OUTsurance Oval     ,ODI,lbw b J Duminy                     ,  38,52.14, 49,77.5510204082,0
Alex A Obanda,2/11/2008 ,SAF,De Beers Diamond Ov.,ODI,c J Ontong b J Kallis              ,  23,48.50, 32,71.875,0
Alex A Obanda,27/01/2009,ZIM,Mombasa Sports Grd  ,ODI,c P Utseya b E Chigumbura          ,   6,43.78,  6,100.0,0
Alex A Obanda,29/01/2009,ZIM,Mombasa Sports Grd  ,ODI,c R Price b E Chigumbura           ,   2,39.60,  9,22.2222222222,0
Alex A Obanda,31/01/2009,ZIM,Gymkhana Club Ground,ODI,c H Masakadza b A Cremer           ,  49,40.45, 70,70.0,0
Alex A Obanda,1/02/2009 ,ZIM,Gymkhana Club Ground,ODI,not out                            ,96,49.18, 93,103.225806452,1
Alex A Obanda,4/02/2009 ,ZIM,Gymkhana Club Ground,ODI,c S Williams b H Masakadza         ,   3,45.33, 19,15.7894736842,0
Alex A Obanda,6/04/2009 ,BER,Senwes Park         ,ODI,c D Hemp b J Tucker                ,  15,43.00,  8,187.5,0
Alex A Obanda,19/04/2009,NED,Senwes Park         ,ODI,c J Smits b E Schiferli            ,   0,39.93,  3,0.0,0
Alex A Obanda,9/07/2009 ,IRE,Clontarf Cricket Cl ,ODI,lbw b W McCallan                   ,  25,38.93, 40,62.5,0
Alex A Obanda,11/07/2009,IRE,Clontarf Cricket Cl ,ODI,c R West b W Rankin                ,  59,40.19, 78,75.641025641,0
Alex A Obanda,12/07/2009,IRE,Clontarf Cricket Cl ,ODI,c G Wilson b W McCallan            ,  41,40.24, 65,63.0769230769,0
Alex A Obanda,19/08/2009,CAN,Maple Leaf North - W,ODI,b Khurram Chohan                   ,   5,38.28,  5,100.0,0
Alex A Obanda,22/08/2009,CAN,Maple Leaf North - W,ODI, DNB,0,38.28,0,0,0
Alex A Obanda,12/10/2009,ZIM,Harare Sports Club  ,ODI,c K Jarvis b E Chigumbura          ,  19,37.26, 30,63.3333333333,0
Alex A Obanda,13/10/2009,ZIM,Harare Sports Club  ,ODI,c B Taylor b P Utseya              ,   6,35.70, 20,30.0,0
Alex A Obanda,15/10/2009,ZIM,Harare Sports Club  ,ODI,b H Masakadza                      ,  65,37.10, 73,89.0410958904,0
Alex A Obanda,17/10/2009,ZIM,Harare Sports Club  ,ODI,c B Taylor b R Price               ,  33,36.91, 44,75.0,0
Alex A Obanda,18/10/2009,ZIM,Harare Sports Club  ,ODI,c C Coventry b T Garwe             ,   4,35.48,  5,80.0,0
Alex A Obanda,16/02/2010,NED,Gymkhana Club Ground,ODI,b R ten Doeschate                  ,  61,36.54, 54,112.962962963,0
Alex A Obanda,18/02/2010,NED,Gymkhana Club Ground,ODI,b M Jonkman                        ,  15,35.68, 16,93.75,0
Alex A Obanda,1/07/2010 ,IRE,Hazelaarweg         ,ODI,c K O'Brien b G Dockrell           ,  40,35.85, 52,76.9230769231,0
Alex A Obanda,3/07/2010 ,NED,Sportpark Westvliet ,ODI,c A Buurman b Mudassar Bukhari     ,  10,34.89, 12,83.3333333333,0
Alex A Obanda,5/07/2010 ,AFG,VRA Ground          ,ODI,c Mohammad Shahzad b Shapoor Zadran,   3,33.75, 10,30.0,0
Alex A Obanda,7/07/2010 ,SCO,Hazelaarweg         ,ODI,c & b R Berrington                 ,  39,33.93, 53,73.5849056604,0
Alex A Obanda,9/07/2010 ,CAN,Sportpark Thurlede  ,ODI,c G Barnett b H Baidwan            ,  14,33.27, 19,73.6842105263,0
Alex A Obanda,10/07/2010,CAN,Sportpark Thurlede  ,ODI,lbw b U Bhatti                     ,  21,32.87, 24,87.5,0
Alex A Obanda,11/10/2010,AFG,Gymkhana Club Ground,ODI,b Abdullah Mazari                  ,  77,34.25,116,66.3793103448,0
Alex A Obanda,20/02/2011,NZL,Chidambaram Stadium ,ODI,lbw b T Southee                    ,   6,33.39, 19,31.5789473684,0
Alex A Obanda,13/03/2011,AUS,Chinnaswamy Stadium ,ODI,b S Tait                           ,  14,32.82, 10,140.0,0
Alex A Obanda,20/03/2011,ZIM,Eden Gardens        ,ODI,lbw b R Price                      ,  23,32.54, 36,63.8888888889,0
