Alexei N Kervezee,4/07/2006 ,SRL,VRA Ground          ,ODI,b K Lokuarachchi                    ,  47,47.00, 74,63.5135135135,0
Alexei N Kervezee,6/07/2006 ,SRL,VRA Ground          ,ODI,c K Lokuarachchi b C Bandara        ,  18,32.50, 25,72.0,0
Alexei N Kervezee,6/08/2006 ,SCO,Cambusdoon Ground   ,ODI,b R Watson                          ,  11,25.33, 10,110.0,0
Alexei N Kervezee,8/08/2006 ,IRE,Cambusdoon Ground   ,ODI,not out                             ,18,31.33, 25,72.0,1
Alexei N Kervezee,26/11/2006,CAN,Senwes Park         ,ODI,run out                             ,  49,35.75, 68,72.0588235294,0
Alexei N Kervezee,2/12/2006 ,BER,Willowmoore Park    ,ODI,c S Outerbridge b S Mukuddem        ,  12,31.00, 21,57.1428571429,0
Alexei N Kervezee,30/01/2007,CAN,Ruaraka Sports Club ,ODI, DNB,0,31.00,0,0,0
Alexei N Kervezee,31/01/2007,KEN,Gymkhana Club Ground,ODI,c R Shah b P Ongondo                ,   0,25.83,  2,0.0,0
Alexei N Kervezee,2/02/2007 ,SCO,Jaffrey Sports Club ,ODI,c C Smith b J Blain                 ,   1,22.29,  3,33.3333333333,0
Alexei N Kervezee,4/02/2007 ,BER,Ruaraka Sports Club ,ODI, DNB,0,22.29,0,0,0
Alexei N Kervezee,16/03/2007,SAF,Warner Park         ,ODI,c S Pollock b C Langeveldt          ,  17,21.63, 52,32.6923076923,0
Alexei N Kervezee,18/03/2007,AUS,Warner Park         ,ODI,lbw b N Bracken                     ,   0,19.22,  2,0.0,0
Alexei N Kervezee,3/07/2007 ,CAN,Cricket & Skating   ,ODI,c Qaiser Ali b H Osinde             ,  15,18.80, 26,57.6923076923,0
Alexei N Kervezee,10/07/2007,WIN,Clontarf Cricket Cl ,ODI,c D Ramdin b D Powell               ,  22,19.09, 36,61.1111111111,0
Alexei N Kervezee,11/07/2007,IRE,Civil Service C C   ,ODI,c K Carroll b W McCallan            ,  20,19.17, 44,45.4545454545,0
Alexei N Kervezee,13/07/2007,SCO,Civil Service C C   ,ODI, DNB,0,19.17,0,0,0
Alexei N Kervezee,18/08/2007,BER,Hazelaarweg         ,ODI,c J Celestine b R Leverock          ,  62,22.46, 67,92.5373134328,0
Alexei N Kervezee,20/08/2007,BER,Hazelaarweg         ,ODI,not out                             ,49,26.23, 59,83.0508474576,1
Alexei N Kervezee,1/04/2009 ,KEN,Senwes Park         ,ODI,c S Tikolo b L Onyango              ,  22,25.93, 46,47.8260869565,0
Alexei N Kervezee,8/04/2009 ,BER,Senwes Park         ,ODI,b R Leverock                        ,  44,27.13, 46,95.652173913,0
Alexei N Kervezee,19/04/2009,KEN,Senwes Park         ,ODI,c M Ouma b E Otieno                 ,   5,25.75,  4,125.0,0
Alexei N Kervezee,11/07/2009,CAN,VRA Ground          ,ODI,b Zameer Zahir                      ,  75,28.65,111,67.5675675676,0
Alexei N Kervezee,30/08/2009,AFG,VRA Ground          ,ODI,c Mohammad Nabi b Shapoor Zadran    ,  15,27.89, 29,51.724137931,0
Alexei N Kervezee,1/09/2009 ,AFG,VRA Ground          ,ODI,b Hasti Gul                         ,   3,26.58, 18,16.6666666667,0
Alexei N Kervezee,16/02/2010,KEN,Gymkhana Club Ground,ODI,c C Obuya b E Otieno                ,  11,25.80, 26,42.3076923077,0
Alexei N Kervezee,18/02/2010,KEN,Gymkhana Club Ground,ODI,c M Ouma b N Odhiambo               ,   6,24.86, 18,33.3333333333,0
Alexei N Kervezee,15/06/2010,SCO,Hazelaarweg         ,ODI,c & b R Berrington                  ,  32,25.18, 40,80.0,0
Alexei N Kervezee,3/07/2010 ,KEN,Sportpark Westvliet ,ODI,b J Ngoche                          ,  92,28.09, 89,103.370786517,0
Alexei N Kervezee,10/07/2010,AFG,Hazelaarweg         ,ODI,c Mohammad Nabi b Mirwais Ashraf    ,   3,27.04,  9,33.3333333333,0
Alexei N Kervezee,20/07/2010,BAN,Titwood             ,ODI,b Shakib Al Hasan                   ,  15,26.56, 16,93.75,0
Alexei N Kervezee,22/02/2011,ENG,Vidarbha Cricket Std,ODI,c M Prior b T Bresnan               ,  16,26.15, 25,64.0,0
Alexei N Kervezee,28/02/2011,WIN,Feroz Shah Kotla    ,ODI,st D Thomas b S Benn                ,  14,25.70, 20,70.0,0
Alexei N Kervezee,3/03/2011 ,SAF,Punjab Cricket Stad ,ODI,c & b J Kallis                      ,  10,25.14, 18,55.5555555556,0
Alexei N Kervezee,9/03/2011 ,IND,Feroz Shah Kotla    ,ODI,c Harbhajan Singh b P Chawla        ,  11,24.66, 23,47.8260869565,0
Alexei N Kervezee,14/03/2011,BAN,Zahur Ahmed Stadium ,ODI,st Mushfiqur Rahim b Suhrawadi Shuvo,  18,24.43, 24,75.0,0
Alexei N Kervezee,18/03/2011,IRE,Eden Gardens        ,ODI,c K O'Brien b J Mooney              ,  12,24.03, 16,75.0,0
Alexei N Kervezee,28/06/2011,SCO,Mannofield Park     ,ODI,c J Davey b R Haq                   ,  49,24.81, 52,94.2307692308,0
