Amay R Khurasiya,30/03/1999,SRL,Nehru Stadium (Pune),ODI,c U Chandana b G Wickremasinghe,  57,57.00,45,126.666666667,0
Amay R Khurasiya,1/04/1999 ,PAK,Punjab Cricket Stad ,ODI,st Moin Khan b Saqlain Mushtaq ,   6,31.50, 7,85.7142857143,0
Amay R Khurasiya,4/04/1999 ,PAK,Chinnaswamy Stadium ,ODI,lbw b Shoaib Akhtar            ,   3,22.00, 4,75.0,0
Amay R Khurasiya,13/04/1999,PAK,Sharjah Stadium     ,ODI,b Shoaib Akhtar                ,   5,17.75, 7,71.4285714286,0
Amay R Khurasiya,23/08/1999,AUS,Galle Stadium       ,ODI,c & b T Moody                  ,  17,17.60,23,73.9130434783,0
Amay R Khurasiya,25/08/1999,SRL,Premadasa Stadium   ,ODI,c S De Saram b U Chandana      ,  29,19.50,48,60.4166666667,0
Amay R Khurasiya,28/08/1999,AUS,Sinhalese Sports Gr ,ODI,b J Gillespie                  ,  12,18.43,13,92.3076923077,0
Amay R Khurasiya,29/08/1999,SRL,Sinhalese Sports Gr ,ODI, DNB,0,18.43,0,0,0
Amay R Khurasiya,4/09/1999 ,ZIM,Kallang Ground      ,ODI,c A Flower b A Blignaut        ,   5,16.75, 5,100.0,0
Amay R Khurasiya,5/09/1999 ,WIN,Kallang Ground      ,ODI,c & b N Perry                  ,   3,15.22,11,27.2727272727,0
Amay R Khurasiya,22/07/2001,SRL,Premadasa Stadium   ,ODI,lbw b S Perera                 ,  12,14.90,23,52.1739130435,0
Amay R Khurasiya,28/07/2001,SRL,Premadasa Stadium   ,ODI,b W Vaas                       ,   0,13.55, 2,0.0,0
