Barney G Rogers,23/11/2002,PAK,Queens Sports Club ,ODI,b Waqar Younis                     ,  13,13.00, 16,81.25,0
Barney G Rogers,24/11/2002,PAK,Queens Sports Club ,ODI,c Kamran Akmal b Wasim Akram       ,   0, 6.50,  2,0.0,0
Barney G Rogers,29/11/2003,WIN,Harare Sports Club ,ODI,b F Edwards                        ,   0, 4.33,  1,0.0,0
Barney G Rogers,30/11/2003,WIN,Harare Sports Club ,ODI,c R Jacobs b M Dillon              ,  34,11.75, 40,85.0,0
Barney G Rogers,10/03/2004,BAN,Harare Sports Club ,ODI,c Alok Kapali b Mushfiqur Rahman   ,  51,19.60, 63,80.9523809524,0
Barney G Rogers,12/03/2004,BAN,Harare Sports Club ,ODI,st Khaled Mashud b Mohammad Rafique,  26,20.67, 51,50.9803921569,0
Barney G Rogers,14/03/2004,BAN,Harare Sports Club ,ODI,c Alok Kapali b Tareq Aziz         ,  54,25.43, 67,80.5970149254,0
Barney G Rogers,20/01/2005,BAN,Bangabandhu Stadium,ODI,c & b Nazmul Hossain               ,   1,22.38,  6,16.6666666667,0
Barney G Rogers,24/01/2005,BAN,M A Aziz Stadium   ,ODI,c Khaled Mahmud b Enamul Haque Jr  ,  66,27.22, 85,77.6470588235,0
Barney G Rogers,26/01/2005,BAN,M A Aziz Stadium   ,ODI,lbw b Khaled Mahmud                ,  51,29.60, 81,62.962962963,0
Barney G Rogers,29/01/2005,BAN,Bangabandhu Stadium,ODI,lbw b Mohammad Rafique             ,  49,31.36, 72,68.0555555556,0
Barney G Rogers,31/01/2005,BAN,Bangabandhu Stadium,ODI,st Khaled Mashud b Enamul Haque Jr ,  84,35.75,120,70.0,0
Barney G Rogers,25/02/2005,SAF,The Wanderers Stad ,ODI,c N Boje b A Hall                  ,   1,33.08,  6,16.6666666667,0
Barney G Rogers,27/02/2005,SAF,Kingsmead          ,ODI,c N Boje b J Morkel                ,  47,34.07, 72,65.2777777778,0
Barney G Rogers,2/03/2005 ,SAF,St George's Park   ,ODI,c M Boucher b C Langeveldt         ,   1,31.87,  7,14.2857142857,0
