Clay J Smith,19/08/2006,CAN,Cricket & Skating   ,ODI,lbw b A Codrington            ,  24,24.00,29,82.7586206897,0
Clay J Smith,21/08/2006,CAN,Cricket & Skating   ,ODI,c I Billcliff b J Davison     ,  38,31.00,43,88.3720930233,0
Clay J Smith,28/11/2006,NED,Senwes Park         ,ODI,lbw b M Jonkman               ,  20,27.33,22,90.9090909091,0
Clay J Smith,30/11/2006,CAN,Willowmoore Park    ,ODI,c S Thuraisingam b H Osinde   ,  11,23.25,16,68.75,0
Clay J Smith,2/12/2006 ,NED,Willowmoore Park    ,ODI,lbw b R ten Doeschate         ,   0,18.60, 6,0.0,0
Clay J Smith,29/01/2007,KEN,Jaffrey Sports Club ,ODI,lbw b T Odoyo                 ,   0,15.50, 3,0.0,0
Clay J Smith,31/01/2007,IRE,Jaffrey Sports Club ,ODI,lbw b W McCallan              ,  52,20.71,47,110.638297872,0
Clay J Smith,2/02/2007 ,CAN,Gymkhana Club Ground,ODI,c S Dhaniram b A Cummins      ,  15,20.00,12,125.0,0
Clay J Smith,4/02/2007 ,NED,Ruaraka Sports Club ,ODI,b D Reekers                   ,   1,17.89, 7,14.2857142857,0
Clay J Smith,5/02/2007 ,SCO,Ruaraka Sports Club ,ODI,lbw b D Brown                 ,  19,18.00,32,59.375,0
Clay J Smith,25/02/2007,BAN,Antigua Rec Ground  ,ODI,c Mushfiqur Rahim b Syed Rasel,  12,17.45,29,41.3793103448,0
Clay J Smith,15/03/2007,SRL,Queen's Park        ,ODI,lbw b W Vaas                  ,   0,16.00, 5,0.0,0
