Colin A Ingram,15/10/2010,ZIM,OUTsurance Oval    ,ODI,b S Masakadza              , 124,124.00,126,98.4126984127,0
Colin A Ingram,17/10/2010,ZIM,Senwes Park        ,ODI, DNB,0,124.00,0,0,0
Colin A Ingram,22/10/2010,ZIM,Willowmoore Park   ,ODI,c A Cremer b E Chigumbura  ,  20, 72.00,  8,250.0,0
Colin A Ingram,29/10/2010,PAK,Sheik Zayed Stadium,ODI,not out                    ,12, 78.00, 17,70.5882352941,1
Colin A Ingram,31/10/2010,PAK,Sheik Zayed Stadium,ODI,lbw b Wahab Riaz           , 100, 85.33,119,84.0336134454,0
Colin A Ingram,2/11/2010 ,PAK,Dubai Int. Crkt Std,ODI,c & b Shoaib Akhtar        ,   4, 65.00,  8,50.0,0
Colin A Ingram,5/11/2010 ,PAK,Dubai Int. Crkt Std,ODI,not out                    ,27, 71.75, 25,108.0,1
Colin A Ingram,8/11/2010 ,PAK,Dubai Int. Crkt Std,ODI,run out                    ,   1, 57.60,  4,25.0,0
Colin A Ingram,12/01/2011,IND,Kingsmead          ,ODI,c A Nehra b M Patel        ,   5, 48.83, 23,21.7391304348,0
Colin A Ingram,15/01/2011,IND,The Wanderers Stad ,ODI,lbw b Harbhajan Singh      ,  25, 45.43, 30,83.3333333333,0
Colin A Ingram,18/01/2011,IND,Newlands           ,ODI,c V Kohli b Harbhajan Singh,  10, 41.00, 16,62.5,0
Colin A Ingram,15/03/2011,IRE,Eden Gardens       ,ODI,b D Johnston               ,  46, 41.56, 43,106.976744186,0
