Darren J G Sammy,8/07/2004 ,NZL,The Rose Bowl       ,ODI, DNB,0,    ,0,0,0
Darren J G Sammy,15/09/2004,BAN,The Rose Bowl       ,ODI, DNB,0,    ,0,0,0
Darren J G Sammy,10/07/2007,NED,Clontarf Cricket Cl ,ODI, DNB,0,    ,0,0,0
Darren J G Sammy,12/07/2007,SCO,Clontarf Cricket Cl ,ODI,not out                       ,18,    ,13,138.461538462,1
Darren J G Sammy,14/07/2007,IRE,Clontarf Cricket Cl ,ODI, DNB,0,    ,0,0,0
Darren J G Sammy,20/01/2008,SAF,Supersport Park     ,ODI,run out                       ,  51,69.00,51,100.0,0
Darren J G Sammy,25/01/2008,SAF,Newlands            ,ODI,c M Boucher b M Morkel        ,  21,45.00,23,91.3043478261,0
Darren J G Sammy,27/01/2008,SAF,St George's Park    ,ODI,c G Smith b C Langeveldt      ,  12,34.00, 6,200.0,0
Darren J G Sammy,1/02/2008 ,SAF,Kingsmead           ,ODI,c M Boucher b M Ntini         ,   2,26.00, 6,33.3333333333,0
Darren J G Sammy,3/02/2008 ,SAF,The Wanderers Stad  ,ODI,run out                       ,   1,21.00, 2,50.0,0
Darren J G Sammy,10/04/2008,SRL,Queen's Park        ,ODI,b B Mendis                    ,   1,17.67, 2,50.0,0
Darren J G Sammy,12/04/2008,SRL,Queen's Park        ,ODI, DNB,0,17.67,0,0,0
Darren J G Sammy,15/04/2008,SRL,Beausejour Cricket G,ODI, DNB,0,17.67,0,0,0
Darren J G Sammy,24/06/2008,AUS,Arnos Vale Ground   ,ODI,b N Bracken                   ,  33,19.86,35,94.2857142857,0
Darren J G Sammy,27/06/2008,AUS,National Cricket St.,ODI,c M Johnson b M Clarke        ,   9,18.50,23,39.1304347826,0
Darren J G Sammy,29/06/2008,AUS,National Cricket St.,ODI,c & b B Lee                   ,   3,16.78, 6,50.0,0
Darren J G Sammy,4/07/2008 ,AUS,Warner Park         ,ODI,not out                       ,3,17.11, 3,100.0,1
Darren J G Sammy,20/03/2009,ENG,Providence Stadium  ,ODI,not out                       ,0,17.11, 0,0,1
Darren J G Sammy,22/03/2009,ENG,Providence Stadium  ,ODI,lbw b P Collingwood           ,  11,16.50,10,110.0,0
Darren J G Sammy,27/03/2009,ENG,Kensington Oval     ,ODI, DNB,0,16.50,0,0,0
Darren J G Sammy,29/03/2009,ENG,Kensington Oval     ,ODI,b S Broad                     ,   6,15.55,15,40.0,0
Darren J G Sammy,3/04/2009 ,ENG,Beausejour Cricket G,ODI,run out                       ,   7,14.83, 8,87.5,0
Darren J G Sammy,24/05/2009,ENG,Royal & Sun All. Gr ,ODI,not out                       ,13,15.92,19,68.4210526316,1
Darren J G Sammy,26/07/2009,BAN,Windsor Park        ,ODI,lbw b Abdur Razzak            ,  28,16.85,38,73.6842105263,0
Darren J G Sammy,28/07/2009,BAN,Windsor Park        ,ODI,not out                       ,24,18.69,11,218.181818182,1
Darren J G Sammy,31/07/2009,BAN,Warner Park         ,ODI,c & b Abdur Razzak            ,  40,20.21,33,121.212121212,0
Darren J G Sammy,23/09/2009,PAK,The Wanderers Stad  ,ODI,b Saeed Ajmal                 ,  25,20.53,37,67.5675675676,0
Darren J G Sammy,26/09/2009,AUS,The Wanderers Stad  ,ODI,c M Hussey b S Watson         ,  20,20.50,23,86.9565217391,0
Darren J G Sammy,30/09/2009,IND,The Wanderers Stad  ,ODI,c A Mishra b A Nehra          ,  23,20.65,38,60.5263157895,0
Darren J G Sammy,12/02/2010,AUS,Sydney Cricket Grnd ,ODI, DNB,0,20.65,0,0,0
Darren J G Sammy,14/02/2010,AUS,Brisbane Cricket Gr ,ODI,b R Harris                    ,   0,19.50, 4,0.0,0
Darren J G Sammy,19/02/2010,AUS,Melbourne Cricket Gr,ODI,not out                       ,47,22.11,41,114.634146341,1
Darren J G Sammy,6/03/2010 ,ZIM,Providence Stadium  ,ODI,not out                       ,9,22.61,10,90.0,1
Darren J G Sammy,10/03/2010,ZIM,Arnos Vale Ground   ,ODI,not out                       ,7,23.00, 5,140.0,1
Darren J G Sammy,12/03/2010,ZIM,Arnos Vale Ground   ,ODI,not out                       ,1,23.06, 5,20.0,1
Darren J G Sammy,14/03/2010,ZIM,Arnos Vale Ground   ,ODI, DNB,0,23.06,0,0,0
Darren J G Sammy,13/04/2010,CAN,Sabina Park         ,ODI, DNB,0,23.06,0,0,0
Darren J G Sammy,15/04/2010,IRE,Sabina Park         ,ODI, DNB,0,23.06,0,0,0
Darren J G Sammy,22/05/2010,SAF,Sir Vivian Richards ,ODI,c J Kallis b R McLaren        ,   2,21.95, 6,33.3333333333,0
Darren J G Sammy,24/05/2010,SAF,Sir Vivian Richards ,ODI,not out                       ,58,25.00,24,241.666666667,1
Darren J G Sammy,28/05/2010,SAF,Windsor Park        ,ODI,c A de Villiers b C Langeveldt,  14,24.45,25,56.0,0
Darren J G Sammy,30/05/2010,SAF,Windsor Park        ,ODI,b C Langeveldt                ,   0,23.29, 1,0.0,0
Darren J G Sammy,3/06/2010 ,SAF,Queen's Park        ,ODI,not out                       ,19,24.19, 8,237.5,1
Darren J G Sammy,31/01/2011,SRL,Sinhalese Sports Gr ,ODI,not out                       ,21,25.19,15,140.0,1
Darren J G Sammy,3/02/2011 ,SRL,Sinhalese Sports Gr ,ODI,run out                       ,   4,24.23, 8,50.0,0
Darren J G Sammy,6/02/2011 ,SRL,Sinhalese Sports Gr ,ODI,c B Mendis b N Perera         ,   3,23.30, 2,150.0,0
Darren J G Sammy,24/02/2011,SAF,Feroz Shah Kotla    ,ODI,lbw b D Steyn                 ,   0,22.33, 4,0.0,0
Darren J G Sammy,28/02/2011,NED,Feroz Shah Kotla    ,ODI,c A Kervezee b P Seelar       ,   6,21.68, 6,100.0,0
Darren J G Sammy,4/03/2011 ,BAN,Shere Bangla Stadium,ODI, DNB,0,21.68,0,0,0
Darren J G Sammy,11/03/2011,IRE,Punjab Cricket Stad ,ODI,c G Dockrell b K O'Brien      ,   4,21.00, 3,133.333333333,0
Darren J G Sammy,17/03/2011,ENG,Chidambaram Stadium ,ODI,b R Bopara                    ,  41,21.74,29,141.379310345,0
