Darren M Bravo,26/06/2009,IND,Sabina Park         ,ODI,c R Singh Jr b Harbhajan Singh   ,  19,19.00, 16,118.75,0
Darren M Bravo,28/06/2009,IND,Sabina Park         ,ODI, DNB,0,19.00,0,0,0
Darren M Bravo,3/07/2009 ,IND,Beausejour Cricket G,ODI,b A Nehra                        ,  21,20.00, 15,140.0,0
Darren M Bravo,5/07/2009 ,IND,Beausejour Cricket G,ODI, DNB,0,20.00,0,0,0
Darren M Bravo,14/03/2010,ZIM,Arnos Vale Ground   ,ODI,st T Taibu b G Lamb              ,  14,18.00, 35,40.0,0
Darren M Bravo,13/04/2010,CAN,Sabina Park         ,ODI,b Rizwan Cheema                  ,  74,32.00, 75,98.6666666667,0
Darren M Bravo,15/04/2010,IRE,Sabina Park         ,ODI,not out                          ,28,39.00, 36,77.7777777778,1
Darren M Bravo,28/05/2010,SAF,Windsor Park        ,ODI,lbw b M Morkel                   ,   1,31.40,  6,16.6666666667,0
Darren M Bravo,30/05/2010,SAF,Windsor Park        ,ODI,not out                          ,45,40.40, 31,145.161290323,1
Darren M Bravo,3/06/2010 ,SAF,Queen's Park        ,ODI,c M Boucher b R van der Merwe    ,  17,36.50, 47,36.170212766,0
Darren M Bravo,31/01/2011,SRL,Sinhalese Sports Gr ,ODI,run out                          ,   8,32.43, 22,36.3636363636,0
Darren M Bravo,3/02/2011 ,SRL,Sinhalese Sports Gr ,ODI,lbw b S Malinga                  ,  39,33.25, 64,60.9375,0
Darren M Bravo,6/02/2011 ,SRL,Sinhalese Sports Gr ,ODI,lbw b N Perera                   ,  79,38.33, 91,86.8131868132,0
Darren M Bravo,24/02/2011,SAF,Feroz Shah Kotla    ,ODI,lbw b J Botha                    ,  73,41.80, 82,89.0243902439,0
Darren M Bravo,28/02/2011,NED,Feroz Shah Kotla    ,ODI,c A Kervezee b P Seelar          ,  30,40.73, 38,78.9473684211,0
Darren M Bravo,4/03/2011 ,BAN,Shere Bangla Stadium,ODI,not out                          ,9,41.55, 26,34.6153846154,1
Darren M Bravo,11/03/2011,IRE,Punjab Cricket Stad ,ODI,b K O'Brien                      ,   0,38.08,  3,0.0,0
Darren M Bravo,17/03/2011,ENG,Chidambaram Stadium ,ODI,c A Strauss b J Tredwell         ,   5,35.54, 15,33.3333333333,0
Darren M Bravo,20/03/2011,IND,Chidambaram Stadium ,ODI,c Harbhajan Singh b S Raina      ,  22,34.57, 29,75.8620689655,0
Darren M Bravo,23/03/2011,PAK,Shere Bangla Stadium,ODI,lbw b Mohammad Hafeez            ,   0,32.27,  3,0.0,0
Darren M Bravo,23/04/2011,PAK,Beausejour Cricket G,ODI,run out                          ,  67,34.44,109,61.4678899083,0
Darren M Bravo,25/04/2011,PAK,Beausejour Cricket G,ODI,c Misbah-ul-Haq b Saeed Ajmal    ,  12,33.12, 18,66.6666666667,0
Darren M Bravo,28/04/2011,PAK,Kensington Oval     ,ODI,lbw b Mohammad Hafeez            ,  47,33.89, 77,61.038961039,0
Darren M Bravo,2/05/2011 ,PAK,Kensington Oval     ,ODI,c Tanvir Ahmed b Junaid Khan     ,  21,33.21, 26,80.7692307692,0
Darren M Bravo,5/05/2011 ,PAK,Providence Stadium  ,ODI, DNB,0,33.21,0,0,0
Darren M Bravo,6/06/2011 ,IND,Queen's Park        ,ODI,c R Sharma b M Patel             ,   4,31.75,  8,50.0,0
Darren M Bravo,13/06/2011,IND,Sir Vivian Richards ,ODI,c M Tiwary b A Mishra            ,  15,30.95, 36,41.6666666667,0
Darren M Bravo,16/06/2011,IND,Sabina Park         ,ODI,st P Patel b A Mishra            ,  86,33.45, 99,86.8686868687,0
Darren M Bravo,13/10/2011,BAN,Shere Bangla Stadium,ODI,b Shafiul Islam                  ,  20,32.87, 19,105.263157895,0
Darren M Bravo,15/10/2011,BAN,Shere Bangla Stadium,ODI,not out                          ,1,32.91, 12,8.33333333333,1
Darren M Bravo,18/10/2011,BAN,Zahur Ahmed Stadium ,ODI,c Mushfiqur Rahim b Shafiul Islam,   0,31.54,  3,0.0,0
