David O Obuya,15/08/2001,WIN,Simba Union Ground  ,ODI,c C Hooper b C Collymore           ,   7, 7.00, 28,25.0,0
David O Obuya,18/08/2001,WIN,Gymkhana Club Ground,ODI,c C Hooper b R King                ,  11, 9.00, 20,55.0,0
David O Obuya,19/08/2001,WIN,Gymkhana Club Ground,ODI,b N McGarrell                      ,  34,17.33, 71,47.8873239437,0
David O Obuya,7/10/2001 ,SAF,Willowmoore Park    ,ODI,c A Nel b J Kallis                 ,  17,17.25, 53,32.0754716981,0
David O Obuya,12/10/2001,IND,OUTsurance Oval     ,ODI,b A Agarkar                        ,   0,13.80,  6,0.0,0
David O Obuya,14/10/2001,SAF,De Beers Diamond Ov.,ODI,c M Boucher b C Langeveldt         ,   4,12.17, 11,36.3636363636,0
David O Obuya,17/10/2001,IND,St George's Park    ,ODI,b B Venkatesh Prasad               ,  26,14.14, 27,96.2962962963,0
David O Obuya,22/10/2001,SAF,Newlands            ,ODI,c H Gibbs b N Boje                 ,  10,13.63, 45,22.2222222222,0
David O Obuya,29/08/2002,PAK,Gymkhana Club Ground,ODI,c Younis Khan b Abdul Razzaq       ,   0,12.11,  5,0.0,0
David O Obuya,1/09/2002 ,PAK,Gymkhana Club Ground,ODI,c Azhar Mahmood b Abdul Razzaq     ,  12,12.10, 21,57.1428571429,0
David O Obuya,2/09/2002 ,AUS,Gymkhana Club Ground,ODI,b G McGrath                        ,   0,11.00,  7,0.0,0
David O Obuya,5/09/2002 ,AUS,Gymkhana Club Ground,ODI,b A Bichel                         ,   0,10.08,  3,0.0,0
David O Obuya,17/09/2002,WIN,Sinhalese Sports Gr ,ODI,run out                            ,   3, 9.54,  9,33.3333333333,0
David O Obuya,20/09/2002,SAF,Premadasa Stadium   ,ODI,st M Boucher b J Ontong            ,   2, 9.00,  7,28.5714285714,0
David O Obuya,8/12/2002 ,ZIM,Harare Sports Club  ,ODI,c T Friend b B Murphy              ,   9, 9.00, 19,47.3684210526,0
David O Obuya,15/12/2002,ZIM,Queens Sports Club  ,ODI,not out                            ,8, 9.53, 18,44.4444444444,1
David O Obuya,15/02/2003,CAN,Newlands            ,ODI,not out                            ,4, 9.80,  5,80.0,1
David O Obuya,4/03/2003 ,WIN,De Beers Diamond Ov.,ODI,c R Powell b V Drakes              ,   4, 9.44,  6,66.6666666667,0
David O Obuya,15/03/2003,AUS,Kingsmead           ,ODI,b B Lee                            ,   0, 8.88,  1,0.0,0
David O Obuya,20/03/2003,IND,Kingsmead           ,ODI,run out                            ,   3, 8.56, 23,13.0434782609,0
David O Obuya,5/04/2003 ,ZIM,Sharjah Stadium     ,ODI,c G Rennie b R Price               ,  57,11.11, 89,64.0449438202,0
David O Obuya,6/04/2003 ,SRL,Sharjah Stadium     ,ODI,c H Tillakaratne b R Nissanka      ,   6,10.85,  7,85.7142857143,0
David O Obuya,8/04/2003 ,PAK,Sharjah Stadium     ,ODI,run out                            ,  10,10.81, 11,90.9090909091,0
David O Obuya,1/03/2006 ,ZIM,Harare Sports Club  ,ODI,c T Duffin b H Rinke               ,  22,11.32, 44,50.0,0
David O Obuya,3/03/2006 ,ZIM,Harare Sports Club  ,ODI,c C Coventry b N Mahwire           ,   5,11.04,  8,62.5,0
David O Obuya,17/03/2006,BAN,Shaheed Chandu Stad.,ODI,c Mohammad Ashraful b Syed Rasel   ,  14,11.17, 37,37.8378378378,0
David O Obuya,20/03/2006,BAN,Sheikh Abu Nasser St,ODI,lbw b Mohammad Rafique             ,  30,11.92, 68,44.1176470588,0
David O Obuya,23/03/2006,BAN,Khan Shaheb Os. Std ,ODI,lbw b Mashrafe Bin Mortaza         ,  13,11.96, 21,61.9047619048,0
David O Obuya,25/03/2006,BAN,Khan Shaheb Os. Std ,ODI,lbw b Mashrafe Bin Mortaza         ,   6,11.74, 28,21.4285714286,0
David O Obuya,11/11/2006,BER,Mombasa Sports Grd  ,ODI,c S Outerbridge b D Hemp           ,  44,12.89, 75,58.6666666667,0
David O Obuya,12/11/2006,BER,Mombasa Sports Grd  ,ODI,lbw b S Mukuddem                   ,  27,13.38, 21,128.571428571,0
David O Obuya,14/11/2006,BER,Mombasa Sports Grd  ,ODI,c S Mukuddem b R Leverock          ,   3,13.03,  7,42.8571428571,0
David O Obuya,17/01/2007,SCO,Mombasa Sports Grd  ,ODI,st C Smith b R Lyons               ,  73,14.97, 74,98.6486486486,0
David O Obuya,21/01/2007,SCO,Mombasa Sports Grd  ,ODI,lbw b D Brown                      ,  36,15.63, 42,85.7142857143,0
David O Obuya,24/01/2007,CAN,Mombasa Sports Grd  ,ODI,c A Bagai b H Osinde               ,   6,15.33,  7,85.7142857143,0
David O Obuya,29/01/2007,BER,Jaffrey Sports Club ,ODI,not out                            ,74,17.58, 59,125.423728814,1
David O Obuya,31/01/2007,NED,Gymkhana Club Ground,ODI,lbw b Adeel Raja                   ,  37,18.15, 59,62.7118644068,0
David O Obuya,2/02/2007 ,IRE,Ruaraka Sports Club ,ODI,c D Langford-Smith b A Botha       ,  34,18.60, 35,97.1428571429,0
David O Obuya,4/02/2007 ,SCO,Gymkhana Club Ground,ODI,c R Lyons b D Brown                ,  30,18.92, 32,93.75,0
David O Obuya,5/02/2007 ,CAN,Jaffrey Sports Club ,ODI,c A Bagai b H Osinde               ,   3,18.49,  9,33.3333333333,0
David O Obuya,7/02/2007 ,SCO,Gymkhana Club Ground,ODI,c G Hamilton b R Lyons             ,  93,20.45,116,80.1724137931,0
David O Obuya,14/03/2007,CAN,Beausejour Cricket G,ODI,c A Bagai b A Cummins              ,   4,20.03, 17,23.5294117647,0
David O Obuya,20/03/2007,NZL,Beausejour Cricket G,ODI,lbw b M Mason                      ,   1,19.55,  5,20.0,0
David O Obuya,18/10/2007,CAN,Gymkhana Club Ground,ODI,c D Soraine b U Bhatti             ,   4,19.17, 16,25.0,0
David O Obuya,20/10/2007,CAN,Gymkhana Club Ground,ODI,c Abdul Jabbar b Qaiser Ali        ,  34,19.52, 51,66.6666666667,0
David O Obuya,25/10/2007,BER,Gymkhana Club Ground,ODI,lbw b K Hurdle                     ,   0,19.07,  1,0.0,0
David O Obuya,27/10/2007,BER,Gymkhana Club Ground,ODI,lbw b K Hurdle                     ,   5,18.75, 16,31.25,0
David O Obuya,28/10/2007,BER,Gymkhana Club Ground,ODI,lbw b M Jones                      ,   0,18.33,  4,0.0,0
David O Obuya,12/08/2008,SCO,Cambusdoon Ground   ,ODI,c C Smith b J Nel                  ,  13,18.22, 19,68.4210526316,0
David O Obuya,19/10/2008,ZIM,Gymkhana Club Ground,ODI,c R Chakabva b C Mpofu             ,   9,18.02, 27,33.3333333333,0
David O Obuya,31/10/2008,SAF,OUTsurance Oval     ,ODI,c J Kallis b J Duminy              ,  35,18.38, 63,55.5555555556,0
David O Obuya,2/11/2008 ,SAF,De Beers Diamond Ov.,ODI,c M Boucher b M Zondeki            ,  12,18.24, 19,63.1578947368,0
David O Obuya,9/07/2009 ,IRE,Clontarf Cricket Cl ,ODI,st G Wilson b W McCallan           ,  41,18.70, 64,64.0625,0
David O Obuya,11/07/2009,IRE,Clontarf Cricket Cl ,ODI,c D Johnston b W Rankin            ,   0,18.33,  5,0.0,0
David O Obuya,12/07/2009,IRE,Clontarf Cricket Cl ,ODI,c P Stirling b W Rankin            ,  17,18.31, 16,106.25,0
David O Obuya,19/08/2009,CAN,Maple Leaf North - W,ODI,lbw b H Osinde                     ,   2,18.00,  8,25.0,0
David O Obuya,22/08/2009,CAN,Maple Leaf North - W,ODI, DNB,0,18.00,0,0,0
David O Obuya,12/10/2009,ZIM,Harare Sports Club  ,ODI,lbw b K Jarvis                     ,  16,17.96, 15,106.666666667,0
David O Obuya,13/10/2009,ZIM,Harare Sports Club  ,ODI,c E Chigumbura b A Cremer          ,  49,18.53, 51,96.0784313725,0
David O Obuya,15/10/2009,ZIM,Harare Sports Club  ,ODI,c E Chigumbura b H Masakadza       ,  56,19.20, 65,86.1538461538,0
David O Obuya,17/10/2009,ZIM,Harare Sports Club  ,ODI,lbw b P Utseya                     ,  49,19.72, 58,84.4827586207,0
David O Obuya,18/10/2009,ZIM,Harare Sports Club  ,ODI,lbw b R Price                      ,  27,19.84, 17,158.823529412,0
David O Obuya,16/02/2010,NED,Gymkhana Club Ground,ODI,c T de Grooth b P Borren           ,  32,20.05, 30,106.666666667,0
David O Obuya,18/02/2010,NED,Gymkhana Club Ground,ODI,c A Buurman b Mudassar Bukhari     ,   0,19.72,  3,0.0,0
David O Obuya,7/10/2010 ,AFG,Gymkhana Club Ground,ODI,lbw b Hamid Hassan                 ,  27,19.84, 51,52.9411764706,0
David O Obuya,9/10/2010 ,AFG,Gymkhana Club Ground,ODI,c Asghar Stanikzai b Mohammad Nabi ,  11,19.69, 12,91.6666666667,0
David O Obuya,11/10/2010,AFG,Gymkhana Club Ground,ODI,c Noor-ul-Haq b Izatullah Dawlatzai,  21,19.71, 38,55.2631578947,0
