Edward C Rainsford,29/05/2004,AUS,Harare Sports Club  ,ODI,not out                             ,1,   , 1,100.0,1
Edward C Rainsford,10/09/2004,ENG,Edgbaston           ,ODI,c G Jones b A Giles                 ,   4,5.00, 6,66.6666666667,0
Edward C Rainsford,14/09/2004,SRL,The Oval            ,ODI,b S Jayasuriya                      ,   3,4.00, 4,75.0,0
Edward C Rainsford,9/10/2004 ,SRL,Rawalpindi Stadium  ,ODI,b U Chandana                        ,   5,4.33,13,38.4615384615,0
Edward C Rainsford,5/12/2004 ,ENG,Queens Sports Club  ,ODI,b I Bell                            ,   0,3.25, 2,0.0,0
Edward C Rainsford,25/02/2006,KEN,Queens Sports Club  ,ODI, DNB,0,3.25,0,0,0
Edward C Rainsford,26/02/2006,KEN,Queens Sports Club  ,ODI, DNB,0,3.25,0,0,0
Edward C Rainsford,1/03/2006 ,KEN,Harare Sports Club  ,ODI, DNB,0,3.25,0,0,0
Edward C Rainsford,29/04/2006,WIN,Antigua Rec Ground  ,ODI,not out                             ,1,3.50, 3,33.3333333333,1
Edward C Rainsford,30/04/2006,WIN,Antigua Rec Ground  ,ODI,not out                             ,9,5.75,28,32.1428571429,1
Edward C Rainsford,7/05/2006 ,WIN,Bourda              ,ODI, DNB,0,5.75,0,0,0
Edward C Rainsford,29/07/2006,BAN,Harare Sports Club  ,ODI, DNB,0,5.75,0,0,0
Edward C Rainsford,30/07/2006,BAN,Harare Sports Club  ,ODI,not out                             ,9,8.00,17,52.9411764706,1
Edward C Rainsford,4/08/2006 ,BAN,Harare Sports Club  ,ODI, DNB,0,8.00,0,0,0
Edward C Rainsford,6/08/2006 ,BAN,Harare Sports Club  ,ODI,not out                             ,1,8.25, 1,100.0,1
Edward C Rainsford,15/09/2006,SAF,OUTsurance Oval     ,ODI, DNB,0,8.25,0,0,0
Edward C Rainsford,18/09/2006,SAF,Buffalo Park        ,ODI,b A Hall                            ,   1,6.80, 4,25.0,0
Edward C Rainsford,20/09/2006,SAF,Senwes Park         ,ODI, DNB,0,6.80,0,0,0
Edward C Rainsford,8/10/2006 ,WIN,Sardar Patel Stadium,ODI,c D Bravo b C Gayle                 ,   0,5.67,13,0.0,0
Edward C Rainsford,13/10/2006,BAN,Sawai Mansingh Stad ,ODI,not out                             ,2,6.00, 4,50.0,1
Edward C Rainsford,3/12/2006 ,BAN,Shaheed Chandu Stad.,ODI, DNB,0,6.00,0,0,0
Edward C Rainsford,5/12/2006 ,BAN,Shaheed Chandu Stad.,ODI,lbw b Abdur Razzak                  ,   1,5.29, 3,33.3333333333,0
Edward C Rainsford,10/02/2007,BAN,Harare Sports Club  ,ODI, DNB,0,5.29,0,0,0
Edward C Rainsford,15/03/2007,IRE,Sabina Park         ,ODI,run out                             ,   1,4.75, 1,100.0,0
Edward C Rainsford,24/11/2008,SRL,Harare Sports Club  ,ODI, DNB,0,4.75,0,0,0
Edward C Rainsford,28/11/2008,SRL,Harare Sports Club  ,ODI,not out                             ,0,4.75, 1,0.0,1
Edward C Rainsford,30/11/2008,SRL,Harare Sports Club  ,ODI,not out                             ,0,4.75, 0,0,1
Edward C Rainsford,10/01/2009,BAN,Shere Bangla Stadium,ODI,not out                             ,0,4.75, 1,0.0,1
Edward C Rainsford,12/01/2009,SRL,Shere Bangla Stadium,ODI,not out                             ,0,4.75, 1,0.0,1
Edward C Rainsford,19/01/2009,BAN,Shere Bangla Stadium,ODI, DNB,0,4.75,0,0,0
Edward C Rainsford,21/01/2009,BAN,Shere Bangla Stadium,ODI, DNB,0,4.75,0,0,0
Edward C Rainsford,23/01/2009,BAN,Shere Bangla Stadium,ODI,st Mushfiqur Rahim b Shakib Al Hasan,   1,4.33, 9,11.1111111111,0
Edward C Rainsford,27/01/2009,KEN,Mombasa Sports Grd  ,ODI, DNB,0,4.33,0,0,0
Edward C Rainsford,4/02/2009 ,KEN,Gymkhana Club Ground,ODI, DNB,0,4.33,0,0,0
Edward C Rainsford,11/08/2009,BAN,Queens Sports Club  ,ODI,not out                             ,0,4.33, 2,0.0,1
Edward C Rainsford,18/08/2009,BAN,Queens Sports Club  ,ODI,not out                             ,1,4.44, 4,25.0,1
Edward C Rainsford,26/09/2010,IRE,Harare Sports Club  ,ODI,not out                             ,9,5.44, 3,300.0,1
Edward C Rainsford,28/09/2010,IRE,Harare Sports Club  ,ODI, DNB,0,5.44,0,0,0
Edward C Rainsford,30/09/2010,IRE,Harare Sports Club  ,ODI,c A Botha b G Dockrell              ,   6,5.50,13,46.1538461538,0
