Eric S Szwarczynski,6/07/2006 ,SRL,VRA Ground          ,ODI,b C Fernando                       ,  10,10.00, 22,45.4545454545,0
Eric S Szwarczynski,26/11/2006,CAN,Senwes Park         ,ODI,c H Osinde b U Bhatti              ,  31,20.50, 37,83.7837837838,0
Eric S Szwarczynski,2/12/2006 ,BER,Willowmoore Park    ,ODI,c R Leverock b S Mukuddem          ,  10,17.00, 17,58.8235294118,0
Eric S Szwarczynski,5/02/2007 ,IRE,Gymkhana Club Ground,ODI,not out                            ,56,35.67, 65,86.1538461538,1
Eric S Szwarczynski,16/03/2007,SAF,Warner Park         ,ODI,lbw b G Smith                      ,  12,29.75, 31,38.7096774194,0
Eric S Szwarczynski,22/03/2007,SCO,Warner Park         ,ODI,c C Smith b J Blain                ,  12,26.20, 11,109.090909091,0
Eric S Szwarczynski,3/07/2007 ,CAN,Cricket & Skating   ,ODI,c A Mulla b S Dhaniram             ,  51,30.33, 61,83.606557377,0
Eric S Szwarczynski,10/07/2007,WIN,Clontarf Cricket Cl ,ODI,c D Ramdin b D Smith               ,  10,27.43, 34,29.4117647059,0
Eric S Szwarczynski,11/07/2007,IRE,Civil Service C C   ,ODI,c & b K O'Brien                    ,  15,25.88, 24,62.5,0
Eric S Szwarczynski,13/07/2007,SCO,Civil Service C C   ,ODI, DNB,0,25.88,0,0,0
Eric S Szwarczynski,28/07/2008,IRE,Clontarf Cricket Cl ,ODI,b W McCallan                       ,  33,26.67, 58,56.8965517241,0
Eric S Szwarczynski,29/07/2008,SCO,Clontarf Cricket Cl ,ODI,c R Watson b J Blain               ,  53,29.30, 72,73.6111111111,0
Eric S Szwarczynski,8/08/2008 ,BER,VRA Ground          ,ODI,c S Outerbridge b R Trott          ,  55,31.64, 70,78.5714285714,0
Eric S Szwarczynski,21/08/2008,KEN,Hazelaarweg         ,ODI,b S Tikolo                         ,  46,32.83, 64,71.875,0
Eric S Szwarczynski,1/04/2009 ,KEN,Senwes Park         ,ODI,c C Obuya b N Odhiambo             ,  26,32.31, 45,57.7777777778,0
Eric S Szwarczynski,8/04/2009 ,BER,Senwes Park         ,ODI,run out                            ,   8,30.57, 14,57.1428571429,0
Eric S Szwarczynski,30/08/2009,AFG,VRA Ground          ,ODI,c Mohammad Nabi b Shapoor Zadran   ,   0,28.53,  2,0.0,0
Eric S Szwarczynski,1/09/2009 ,AFG,VRA Ground          ,ODI,lbw b Nawroz Mangal                ,  65,30.81, 84,77.380952381,0
Eric S Szwarczynski,16/02/2010,KEN,Gymkhana Club Ground,ODI,c M Ouma b E Otieno                ,  18,30.06, 19,94.7368421053,0
Eric S Szwarczynski,18/02/2010,KEN,Gymkhana Club Ground,ODI,c M Ouma b E Otieno                ,  23,29.67, 36,63.8888888889,0
Eric S Szwarczynski,15/06/2010,SCO,Hazelaarweg         ,ODI,c N McCallum b M Parker            ,   9,28.58, 17,52.9411764706,0
Eric S Szwarczynski,1/07/2010 ,SCO,VRA Ground          ,ODI,c N McCallum b M Parker            ,  11,27.70,  7,157.142857143,0
Eric S Szwarczynski,3/07/2010 ,KEN,Sportpark Westvliet ,ODI,lbw b T Odoyo                      ,   5,26.62, 16,31.25,0
Eric S Szwarczynski,5/07/2010 ,CAN,Hazelaarweg         ,ODI,not out                            ,84,30.62,121,69.4214876033,1
Eric S Szwarczynski,7/07/2010 ,AFG,Sportpark Westvliet ,ODI,c Karim Sadiq b Khaliq Dad         ,   5,29.45, 10,50.0,0
Eric S Szwarczynski,9/07/2010 ,IRE,VRA Ground          ,ODI,b K O'Brien                        ,  14,28.78, 13,107.692307692,0
Eric S Szwarczynski,10/07/2010,AFG,Hazelaarweg         ,ODI,c Mohammad Shahzad b Mirwais Ashraf,   7,27.88, 21,33.3333333333,0
Eric S Szwarczynski,20/07/2010,BAN,Titwood             ,ODI,lbw b Shakib Al Hasan              ,  67,29.44, 54,124.074074074,0
Eric S Szwarczynski,16/08/2010,IRE,Clontarf Cricket Cl ,ODI,b K O'Brien                        ,  10,28.69, 24,41.6666666667,0
Eric S Szwarczynski,18/08/2010,IRE,Clontarf Cricket Cl ,ODI,c A White b D Johnston             ,   2,27.70,  7,28.5714285714,0
Eric S Szwarczynski,9/03/2011 ,IND,Feroz Shah Kotla    ,ODI,b P Chawla                         ,  28,27.71, 42,66.6666666667,0
Eric S Szwarczynski,14/03/2011,BAN,Zahur Ahmed Stadium ,ODI,run out                            ,  28,27.72, 63,44.4444444444,0
Eric S Szwarczynski,18/03/2011,IRE,Eden Gardens        ,ODI,c N O'Brien b D Johnston           ,   1,26.83,  4,25.0,0
Eric S Szwarczynski,12/09/2011,KEN,Sportpark Westvliet ,ODI,c R Patel b L Onyango              ,   3,26.06,  3,100.0,0
Eric S Szwarczynski,13/09/2011,KEN,Sportpark Westvliet ,ODI,c I Karim b D Wesonga              ,  17,25.78, 34,50.0,0
