Ervin B McSweeney,9/01/1986 ,AUS,Melbourne Cricket Gr,ODI,not out                    ,2,   , 3,66.6666666667,1
Ervin B McSweeney,11/01/1986,IND,Brisbane Cricket Gr ,ODI,b C Sharma                 ,   6,8.00, 7,85.7142857143,0
Ervin B McSweeney,14/01/1986,AUS,Sydney Cricket Grnd ,ODI,b D Gilbert                ,   3,5.50, 4,75.0,0
Ervin B McSweeney,18/01/1986,IND,W.A.C.A. Ground     ,ODI,c Kapil Dev b C Sharma     ,   5,5.33, 9,55.5555555556,0
Ervin B McSweeney,19/01/1986,AUS,W.A.C.A. Ground     ,ODI,not out                    ,0,5.33, 0,0,1
Ervin B McSweeney,23/01/1986,IND,Melbourne Cricket Gr,ODI, DNB,0,5.33,0,0,0
Ervin B McSweeney,25/01/1986,IND,Adelaide Oval       ,ODI,b C Sharma                 ,   5,5.25, 7,71.4285714286,0
Ervin B McSweeney,27/01/1986,AUS,Adelaide Oval       ,ODI,not out                    ,4,6.25, 2,200.0,1
Ervin B McSweeney,29/01/1986,AUS,Sydney Cricket Grnd ,ODI,c A Border b B Reid        ,   1,5.20, 2,50.0,0
Ervin B McSweeney,2/02/1986 ,IND,North Tasmania CA Gr,ODI,b Kapil Dev                ,   0,4.33, 1,0.0,0
Ervin B McSweeney,5/04/1986 ,SRL,Premadasa Stadium   ,ODI, DNB,0,4.33,0,0,0
Ervin B McSweeney,10/04/1986,IND,Sharjah Stadium     ,ODI,not out                    ,18,7.33,17,105.882352941,1
Ervin B McSweeney,15/04/1986,PAK,Sharjah Stadium     ,ODI,c Wasim Akram b Abdul Qadir,   7,7.29,26,26.9230769231,0
Ervin B McSweeney,18/03/1987,WIN,Carisbrook          ,ODI,run out                    ,   9,7.50,20,45.0,0
Ervin B McSweeney,21/03/1987,WIN,Eden Park           ,ODI,c R Richardson b J Garner  ,   0,6.67, 3,0.0,0
Ervin B McSweeney,28/03/1987,WIN,AMI Stadium         ,ODI,not out                    ,13,8.11,18,72.2222222222,1
