Iain P Butchart,9/06/1983 ,AUS,Trent Bridge        ,ODI,not out                              ,34,    ,38,89.4736842105,1
Iain P Butchart,11/06/1983,IND,Grace Road          ,ODI,not out                              ,22,    ,35,62.8571428571,1
Iain P Butchart,13/06/1983,WIN,New Road            ,ODI,lbw b M Holding                      ,   0,56.00, 3,0.0,0
Iain P Butchart,16/06/1983,AUS,Southampton County  ,ODI,lbw b R Hogg                         ,   0,28.00, 1,0.0,0
Iain P Butchart,18/06/1983,IND,Nevill Ground       ,ODI,b R Binny                            ,  18,24.67,43,41.8604651163,0
Iain P Butchart,20/06/1983,WIN,Edgbaston           ,ODI,c D Haynes b I Richards              ,   8,20.50,27,29.6296296296,0
Iain P Butchart,10/10/1987,NZL,Lal Bahadur Stadium ,ODI,run out                              ,  54,27.20,70,77.1428571429,0
Iain P Butchart,13/10/1987,AUS,Chidambaram Stadium ,ODI,c D Jones b S O'Donnell              ,  18,25.67,32,56.25,0
Iain P Butchart,17/10/1987,IND,Wankhede Stadium    ,ODI,c L Sivaramakrishnan b Maninder Singh,  10,23.43,23,43.4782608696,0
Iain P Butchart,23/10/1987,NZL,Eden Gardens        ,ODI, DNB,0,23.43,0,0,0
Iain P Butchart,26/10/1987,IND,Sardar Patel Stadium,ODI,b Kapil Dev                          ,  13,22.13,14,92.8571428571,0
Iain P Butchart,30/10/1987,AUS,Barabati Stadium    ,ODI,st G Dyer b A Border                 ,   3,20.00, 5,60.0,0
Iain P Butchart,23/02/1992,SRL,Pukekura Park       ,ODI, DNB,0,20.00,0,0,0
Iain P Butchart,27/02/1992,PAK,Bellerive Oval      ,ODI,c Javed Miandad b Aaqib Javed        ,  33,21.30,27,122.222222222,0
Iain P Butchart,3/03/1992 ,NZL,McLean Park         ,ODI,c C Cairns b G Larsen                ,   3,19.64, 7,42.8571428571,0
Iain P Butchart,7/03/1992 ,IND,Seddon Park         ,ODI, DNB,0,19.64,0,0,0
Iain P Butchart,18/03/1992,ENG,Lavington Sports Ov.,ODI,c N Fairbrother b I Botham           ,  24,20.00,36,66.6666666667,0
Iain P Butchart,10/11/1993,SAF,Chinnaswamy Stadium ,ODI, DNB,0,20.00,0,0,0
Iain P Butchart,8/12/1994 ,AUS,Bellerive Oval      ,ODI,b D Fleming                          ,  10,19.23,22,45.4545454545,0
Iain P Butchart,7/01/1995 ,ENG,Brisbane Cricket Gr ,ODI,run out                              ,   2,18.00,12,16.6666666667,0
