Jacob D P Oram,4/01/2001 ,ZIM,Westpac Trust Stad  ,ODI, DNB,0,    ,0,0,0
Jacob D P Oram,7/01/2001 ,ZIM,Eden Park           ,ODI,c H Streak b B Murphy               ,  21,21.00,19,110.526315789,0
Jacob D P Oram,3/02/2001 ,SRL,Westpac Trust Stad  ,ODI,b C Fernando                        ,   2,11.50, 4,50.0,0
Jacob D P Oram,6/02/2001 ,SRL,Eden Park           ,ODI,c & b M Muralitharan                ,  11,11.33,21,52.380952381,0
Jacob D P Oram,8/02/2001 ,SRL,Seddon Park         ,ODI,c M Muralitharan b H Dharmasena     ,  24,14.50,12,200.0,0
Jacob D P Oram,11/02/2001,SRL,AMI Stadium         ,ODI,c M Atapattu b M Muralitharan       ,  59,23.40,57,103.50877193,0
Jacob D P Oram,18/02/2001,PAK,Eden Park           ,ODI,b Shoaib Akhtar                     ,  16,22.17,30,53.3333333333,0
Jacob D P Oram,25/02/2001,PAK,AMI Stadium         ,ODI,c Moin Khan b Abdul Razzaq          ,   1,19.14, 2,50.0,0
Jacob D P Oram,28/02/2001,PAK,Carisbrook          ,ODI,not out                             ,16,21.43,19,84.2105263158,1
Jacob D P Oram,10/04/2001,SRL,Sharjah Stadium     ,ODI,b S Jayasuriya                      ,   4,19.25,11,36.3636363636,0
Jacob D P Oram,12/04/2001,PAK,Sharjah Stadium     ,ODI,b Waqar Younis                      ,  10,18.22, 3,333.333333333,0
Jacob D P Oram,15/04/2001,PAK,Sharjah Stadium     ,ODI,c & b Mohammad Sami                 ,   6,17.00,26,23.0769230769,0
Jacob D P Oram,17/04/2001,SRL,Sharjah Stadium     ,ODI,c T Samaraweera b M Muralitharan    ,   2,15.64,12,16.6666666667,0
Jacob D P Oram,18/07/2001,SRL,Premadasa Stadium   ,ODI,run out                             ,   6,14.83, 7,85.7142857143,0
Jacob D P Oram,25/07/2001,SRL,Premadasa Stadium   ,ODI,c D Jayawardene b H Dharmasena      ,  11,14.54,19,57.8947368421,0
Jacob D P Oram,26/07/2001,IND,Premadasa Stadium   ,ODI,c R Dravid b Harbhajan Singh        ,  40,16.36,37,108.108108108,0
Jacob D P Oram,31/07/2001,SRL,Sinhalese Sports Gr ,ODI,c R Arnold b W Vaas                 ,   0,15.27, 2,0.0,0
Jacob D P Oram,9/04/2002 ,SRL,Sharjah Stadium     ,ODI,not out                             ,46,18.33,33,139.393939394,1
Jacob D P Oram,11/04/2002,PAK,Sharjah Stadium     ,ODI,b Waqar Younis                      ,   6,17.56, 8,75.0,0
Jacob D P Oram,14/04/2002,SRL,Sharjah Stadium     ,ODI,st K Sangakkara b H Dharmasena      ,  16,17.47,31,51.6129032258,0
