Jacobus A Rudolph,13/04/2003,IND,Bangabandhu Stadium ,ODI,c V Sehwag b A Agarkar           ,   4, 4.00, 10,40.0,0
Jacobus A Rudolph,14/04/2003,BAN,Bangabandhu Stadium ,ODI,c Tareq Aziz b Mohammad Rafique  ,  44,24.00, 45,97.7777777778,0
Jacobus A Rudolph,17/04/2003,BAN,Bangabandhu Stadium ,ODI,c Mohammad Salim b Sanwar Hossain,  81,43.00,113,71.6814159292,0
Jacobus A Rudolph,18/04/2003,IND,Bangabandhu Stadium ,ODI,c Mohammad Kaif b V Sehwag       ,  37,41.50, 64,57.8125,0
Jacobus A Rudolph,21/04/2003,IND,Bangabandhu Stadium ,ODI, DNB,0,41.50,0,0,0
Jacobus A Rudolph,28/06/2003,ENG,The Oval            ,ODI,run out                          ,  20,37.20, 35,57.1428571429,0
Jacobus A Rudolph,29/06/2003,ZIM,St. Lawrence Ground ,ODI,c G Flower b R Price             ,  32,36.33, 45,71.1111111111,0
Jacobus A Rudolph,3/07/2003 ,ENG,Old Trafford        ,ODI,not out                          ,71,48.17,101,70.297029703,1
Jacobus A Rudolph,5/07/2003 ,ZIM,Sophia Gardens      ,ODI, DNB,0,48.17,0,0,0
Jacobus A Rudolph,8/07/2003 ,ENG,Edgbaston           ,ODI,c A McGrath b J Anderson         ,  16,43.57, 36,44.4444444444,0
Jacobus A Rudolph,10/07/2003,ZIM,The Rose Bowl       ,ODI,not out                          ,69,53.43, 97,71.1340206186,1
Jacobus A Rudolph,12/07/2003,ENG,Lord's              ,ODI,c C Read b A Flintoff            ,  19,49.13, 40,47.5,0
Jacobus A Rudolph,3/10/2003 ,PAK,Gaddafi Stadium     ,ODI,run out                          ,   3,44.00,  7,42.8571428571,0
Jacobus A Rudolph,5/10/2003 ,PAK,Gaddafi Stadium     ,ODI,lbw b Mohammad Hafeez            ,  25,42.10, 32,78.125,0
Jacobus A Rudolph,7/10/2003 ,PAK,Iqbal Stadium       ,ODI,c Abdul Razzaq b Shoaib Malik    ,  46,42.45, 80,57.5,0
Jacobus A Rudolph,10/10/2003,PAK,Rawalpindi Stadium  ,ODI,c Rashid Latif b Mohammad Hafeez ,  20,40.58, 40,50.0,0
Jacobus A Rudolph,12/10/2003,PAK,Rawalpindi Stadium  ,ODI,not out                          ,13,41.67, 26,50.0,1
Jacobus A Rudolph,25/01/2004,WIN,Newlands            ,ODI,not out                          ,61,46.75, 76,80.2631578947,1
Jacobus A Rudolph,28/01/2004,WIN,St George's Park    ,ODI,c R Rampaul b C Gayle            ,  14,44.23, 39,35.8974358974,0
Jacobus A Rudolph,30/01/2004,WIN,Kingsmead           ,ODI, DNB,0,44.23,0,0,0
Jacobus A Rudolph,1/02/2004 ,WIN,Supersport Park     ,ODI, DNB,0,44.23,0,0,0
Jacobus A Rudolph,4/02/2004 ,WIN,The Wanderers Stad  ,ODI,c S Chanderpaul b R Rampaul      ,  35,43.57, 29,120.689655172,0
Jacobus A Rudolph,13/02/2004,NZL,Eden Park           ,ODI,c & b S Styris                   ,  24,42.27, 46,52.1739130435,0
Jacobus A Rudolph,17/02/2004,NZL,AMI Stadium         ,ODI,c D Tuffey b S Styris            ,  42,42.25, 36,116.666666667,0
Jacobus A Rudolph,25/02/2004,NZL,Carisbrook          ,ODI,not out                          ,70,46.63, 71,98.5915492958,1
Jacobus A Rudolph,29/02/2004,NZL,Eden Park           ,ODI, DNB,0,46.63,0,0,0
Jacobus A Rudolph,2/03/2004 ,NZL,McLean Park         ,ODI,c H Marshall b D Tuffey          ,   3,44.06, 10,30.0,0
Jacobus A Rudolph,20/08/2004,SRL,Premadasa Stadium   ,ODI,st K Sangakkara b U Chandana     ,  22,42.83, 31,70.9677419355,0
Jacobus A Rudolph,22/08/2004,SRL,Premadasa Stadium   ,ODI,c K Sangakkara b D Zoysa         ,   4,40.79, 16,25.0,0
Jacobus A Rudolph,25/08/2004,SRL,Rangiri Dambulla Std,ODI,lbw b T Dilshan                  ,  18,39.65, 25,72.0,0
Jacobus A Rudolph,28/08/2004,SRL,Rangiri Dambulla Std,ODI,run out                          ,  24,38.90, 34,70.5882352941,0
Jacobus A Rudolph,31/08/2004,SRL,Sinhalese Sports Gr ,ODI,c T Dilshan b U Chandana         ,  48,39.32, 60,80.0,0
Jacobus A Rudolph,12/09/2004,BAN,Edgbaston           ,ODI, DNB,0,39.32,0,0,0
Jacobus A Rudolph,18/09/2004,WIN,The Oval            ,ODI,b C Gayle                        ,  46,39.61, 39,117.948717949,0
Jacobus A Rudolph,25/02/2005,ZIM,The Wanderers Stad  ,ODI,c S Matsikenyeri b P Utseya      ,  50,40.04, 61,81.9672131148,0
Jacobus A Rudolph,27/02/2005,ZIM,Kingsmead           ,ODI,c P Utseya b H Masakadza         ,   7,38.72,  8,87.5,0
Jacobus A Rudolph,2/03/2005 ,ZIM,St George's Park    ,ODI,c T Taibu b T Mupariwa           ,  33,38.50, 65,50.7692307692,0
Jacobus A Rudolph,20/08/2005,ACC,Kingsmead           ,ODI,c K Sangakkara b A Nehra         ,  10,37.44, 22,45.4545454545,0
Jacobus A Rudolph,21/08/2005,ACC,Kingsmead           ,ODI,run out                          ,   7,36.36, 18,38.8888888889,0
Jacobus A Rudolph,30/10/2005,NZL,St George's Park    ,ODI,run out                          ,  17,35.69, 52,32.6923076923,0
Jacobus A Rudolph,17/01/2006,SRL,Brisbane Cricket Gr ,ODI,run out                          ,  53,36.27, 63,84.126984127,0
Jacobus A Rudolph,24/01/2006,SRL,Adelaide Oval       ,ODI,c & b T Dilshan                  ,  11,35.45, 27,40.7407407407,0
Jacobus A Rudolph,31/01/2006,SRL,W.A.C.A. Ground     ,ODI,st K Sangakkara b C Bandara      ,  25,35.13, 48,52.0833333333,0
Jacobus A Rudolph,3/02/2006 ,AUS,Telstra Stadium     ,ODI,run out                          ,  19,34.64, 39,48.7179487179,0
Jacobus A Rudolph,5/02/2006 ,AUS,Sydney Cricket Grnd ,ODI,not out                          ,31,35.58, 39,79.4871794872,1
