Jeffrey R Thomson,1/01/1975 ,ENG,Melbourne Cricket Gr,ODI,b G Arnold                  ,   4, 4.00,16,25.0,0
Jeffrey R Thomson,7/06/1975 ,PAK,Headingley          ,ODI,not out                     ,20,24.00,14,142.857142857,1
Jeffrey R Thomson,11/06/1975,SRL,The Oval            ,ODI,not out                     ,9,33.00, 7,128.571428571,1
Jeffrey R Thomson,14/06/1975,WIN,The Oval            ,ODI,c V Holder b I Richards     ,   1,17.00, 3,33.3333333333,0
Jeffrey R Thomson,18/06/1975,ENG,Headingley          ,ODI, DNB,0,17.00,0,0,0
Jeffrey R Thomson,21/06/1975,WIN,Lord's              ,ODI,run out                     ,  21,18.33,21,100.0,0
Jeffrey R Thomson,4/06/1977 ,ENG,Edgbaston           ,ODI,b A Greig                   ,   3,14.50,12,25.0,0
Jeffrey R Thomson,6/06/1977 ,ENG,The Oval            ,ODI,run out                     ,   3,12.20, 3,100.0,0
Jeffrey R Thomson,22/02/1978,WIN,Antigua Rec Ground  ,ODI, DNB,0,12.20,0,0,0
Jeffrey R Thomson,12/04/1978,WIN,Mindoo Philip Park  ,ODI,not out                     ,1,12.40, 1,100.0,1
Jeffrey R Thomson,8/12/1979 ,ENG,Melbourne Cricket Gr,ODI, DNB,0,12.40,0,0,0
Jeffrey R Thomson,9/12/1979 ,WIN,Melbourne Cricket Gr,ODI, DNB,0,12.40,0,0,0
Jeffrey R Thomson,11/12/1979,ENG,Sydney Cricket Grnd ,ODI,run out                     ,   0,10.33, 1,0.0,0
Jeffrey R Thomson,14/01/1980,ENG,Sydney Cricket Grnd ,ODI,not out                     ,3,10.83,12,25.0,1
Jeffrey R Thomson,20/08/1980,ENG,The Oval            ,ODI,run out                     ,  15,11.43,20,75.0,0
Jeffrey R Thomson,22/08/1980,ENG,Edgbaston           ,ODI, DNB,0,11.43,0,0,0
Jeffrey R Thomson,22/11/1981,PAK,Melbourne Cricket Gr,ODI,run out                     ,   3,10.38, 4,75.0,0
Jeffrey R Thomson,24/11/1981,WIN,Sydney Cricket Grnd ,ODI, DNB,0,10.38,0,0,0
Jeffrey R Thomson,6/12/1981 ,PAK,Adelaide Oval       ,ODI,b Imran Khan                ,   6, 9.89,11,54.5454545455,0
Jeffrey R Thomson,17/12/1981,PAK,Sydney Cricket Grnd ,ODI, DNB,0, 9.89,0,0,0
Jeffrey R Thomson,20/12/1981,WIN,W.A.C.A. Ground     ,ODI,run out                     ,   5, 9.40,13,38.4615384615,0
Jeffrey R Thomson,9/01/1982 ,PAK,Melbourne Cricket Gr,ODI,b Imran Khan                ,   2, 8.73, 4,50.0,0
Jeffrey R Thomson,14/01/1982,PAK,Sydney Cricket Grnd ,ODI, DNB,0, 8.73,0,0,0
Jeffrey R Thomson,17/01/1982,WIN,Brisbane Cricket Gr ,ODI,b M Holding                 ,   0, 8.00, 4,0.0,0
Jeffrey R Thomson,19/01/1982,WIN,Sydney Cricket Grnd ,ODI, DNB,0, 8.00,0,0,0
Jeffrey R Thomson,23/01/1982,WIN,Melbourne Cricket Gr,ODI,b M Holding                 ,   5, 7.77, 9,55.5555555556,0
Jeffrey R Thomson,24/01/1982,WIN,Melbourne Cricket Gr,ODI,b H Gomes                   ,  15, 8.29,15,100.0,0
Jeffrey R Thomson,26/01/1982,WIN,Sydney Cricket Grnd ,ODI,c P Dujon b A Roberts       ,   7, 8.20,14,50.0,0
Jeffrey R Thomson,27/01/1982,WIN,Sydney Cricket Grnd ,ODI,not out                     ,19, 9.47,18,105.555555556,1
Jeffrey R Thomson,13/02/1982,NZL,Eden Park           ,ODI,c M Snedden b G Troup       ,   0, 8.88, 9,0.0,0
Jeffrey R Thomson,17/02/1982,NZL,Carisbrook          ,ODI, DNB,0, 8.88,0,0,0
Jeffrey R Thomson,20/02/1982,NZL,Basin Reserve       ,ODI, DNB,0, 8.88,0,0,0
Jeffrey R Thomson,20/09/1982,PAK,Niaz Stadium        ,ODI,c Zaheer Abbas b Mohsin Khan,   1, 8.41, 2,50.0,0
Jeffrey R Thomson,8/10/1982 ,PAK,Gaddafi Stadium     ,ODI, DNB,0, 8.41,0,0,0
Jeffrey R Thomson,22/10/1982,PAK,National Stadium    ,ODI, DNB,0, 8.41,0,0,0
Jeffrey R Thomson,9/01/1983 ,NZL,Melbourne Cricket Gr,ODI, DNB,0, 8.41,0,0,0
Jeffrey R Thomson,11/01/1983,ENG,Sydney Cricket Grnd ,ODI,b G Miller                  ,   8, 8.39,19,42.1052631579,0
Jeffrey R Thomson,16/01/1983,ENG,Brisbane Cricket Gr ,ODI, DNB,0, 8.39,0,0,0
Jeffrey R Thomson,18/01/1983,NZL,Sydney Cricket Grnd ,ODI,b B Cairns                  ,   0, 7.95, 1,0.0,0
Jeffrey R Thomson,22/01/1983,NZL,Melbourne Cricket Gr,ODI,c J Crowe b E Chatfield     ,   4, 7.75,12,33.3333333333,0
Jeffrey R Thomson,26/01/1983,ENG,Sydney Cricket Grnd ,ODI,b V Marks                   ,   7, 7.71,11,63.6363636364,0
Jeffrey R Thomson,30/01/1983,ENG,Adelaide Oval       ,ODI,not out                     ,12, 8.29,10,120.0,1
Jeffrey R Thomson,31/01/1983,NZL,Adelaide Oval       ,ODI,b B Cairns                  ,   3, 8.05, 5,60.0,0
Jeffrey R Thomson,6/02/1983 ,NZL,W.A.C.A. Ground     ,ODI,b J Morrison                ,   4, 7.87, 4,100.0,0
Jeffrey R Thomson,9/02/1983 ,NZL,Sydney Cricket Grnd ,ODI, DNB,0, 7.87,0,0,0
Jeffrey R Thomson,9/06/1983 ,ZIM,Trent Bridge        ,ODI, DNB,0, 7.87,0,0,0
Jeffrey R Thomson,18/06/1983,WIN,Lord's              ,ODI, DNB,0, 7.87,0,0,0
