Jeremy P Bray,13/06/2006,ENG,Civil Service C C   ,ODI,c P Collingwood b S Mahmood,  22,22.00, 29,75.8620689655,0
Jeremy P Bray,5/08/2006 ,SCO,Cambusdoon Ground   ,ODI,lbw b D Brown              ,   4,13.00,  8,50.0,0
Jeremy P Bray,8/08/2006 ,NED,Cambusdoon Ground   ,ODI,b D Reekers                ,   4,10.00, 16,25.0,0
Jeremy P Bray,30/01/2007,SCO,Gymkhana Club Ground,ODI,b P Hoffmann               , 116,36.50,136,85.2941176471,0
Jeremy P Bray,4/02/2007 ,CAN,Jaffrey Sports Club ,ODI,c sub b U Bhatti           ,  35,36.20, 41,85.3658536585,0
Jeremy P Bray,5/02/2007 ,NED,Gymkhana Club Ground,ODI,lbw b D Reekers            ,   8,31.50, 26,30.7692307692,0
Jeremy P Bray,15/03/2007,ZIM,Sabina Park         ,ODI,not out                    ,115,50.67,137,83.9416058394,1
Jeremy P Bray,17/03/2007,PAK,Sabina Park         ,ODI,lbw b Mohammad Sami        ,   3,43.86, 13,23.0769230769,0
Jeremy P Bray,23/03/2007,WIN,Queen's Park        ,ODI,c sub b J Taylor           ,  41,43.50, 72,56.9444444444,0
Jeremy P Bray,30/03/2007,ENG,Providence Stadium  ,ODI,c R Bopara b J Anderson    ,   0,38.67,  1,0.0,0
Jeremy P Bray,3/04/2007 ,SAF,Providence Stadium  ,ODI,lbw b S Pollock            ,   0,34.80,  9,0.0,0
Jeremy P Bray,9/04/2007 ,NZL,Providence Stadium  ,ODI,c B McCullum b S Bond      ,   1,31.73,  5,20.0,0
Jeremy P Bray,13/04/2007,AUS,Kensington Oval     ,ODI,b G McGrath                ,   1,29.17,  2,50.0,0
Jeremy P Bray,15/04/2007,BAN,Kensington Oval     ,ODI,run out                    ,  31,29.31, 70,44.2857142857,0
Jeremy P Bray,18/04/2007,SRL,National Cricket St.,ODI,c R Arnold b M Maharoof    ,  20,28.64, 29,68.9655172414,0
