Jeroen Smits,12/02/2003,IND,Boland Bank Park    ,ODI,c V Sehwag b J Srinath,  26,26.00,66,39.3939393939,0
Jeroen Smits,16/02/2003,ENG,Buffalo Park        ,ODI,not out               ,17,43.00,38,44.7368421053,1
Jeroen Smits,20/02/2003,AUS,Senwes Park         ,ODI,c J Maher b I Harvey  ,   0,21.50, 2,0.0,0
Jeroen Smits,25/02/2003,PAK,Boland Bank Park    ,ODI,lbw b Wasim Akram     ,   7,16.67,21,33.3333333333,0
Jeroen Smits,28/02/2003,ZIM,Queens Sports Club  ,ODI,not out               ,8,19.33,11,72.7272727273,1
Jeroen Smits,3/03/2003 ,NAM,OUTsurance Oval     ,ODI, DNB,0,19.33,0,0,0
Jeroen Smits,4/07/2006 ,SRL,VRA Ground          ,ODI,not out               ,0,19.33, 1,0.0,1
Jeroen Smits,6/07/2006 ,SRL,VRA Ground          ,ODI,lbw b M Maharoof      ,   1,14.75, 3,33.3333333333,0
Jeroen Smits,6/08/2006 ,SCO,Cambusdoon Ground   ,ODI, DNB,0,14.75,0,0,0
Jeroen Smits,8/08/2006 ,IRE,Cambusdoon Ground   ,ODI, DNB,0,14.75,0,0,0
Jeroen Smits,26/11/2006,CAN,Senwes Park         ,ODI,not out               ,6,16.25, 6,100.0,1
Jeroen Smits,28/11/2006,BER,Senwes Park         ,ODI, DNB,0,16.25,0,0,0
Jeroen Smits,1/12/2006 ,CAN,Willowmoore Park    ,ODI,lbw b G Codrington    ,   0,13.00, 1,0.0,0
Jeroen Smits,2/12/2006 ,BER,Willowmoore Park    ,ODI,not out               ,9,14.80,35,25.7142857143,1
Jeroen Smits,30/01/2007,CAN,Ruaraka Sports Club ,ODI, DNB,0,14.80,0,0,0
Jeroen Smits,31/01/2007,KEN,Gymkhana Club Ground,ODI,not out               ,19,18.60,40,47.5,1
Jeroen Smits,2/02/2007 ,SCO,Jaffrey Sports Club ,ODI,not out               ,0,18.60, 0,0,1
Jeroen Smits,4/02/2007 ,BER,Ruaraka Sports Club ,ODI, DNB,0,18.60,0,0,0
Jeroen Smits,5/02/2007 ,IRE,Gymkhana Club Ground,ODI, DNB,0,18.60,0,0,0
Jeroen Smits,16/03/2007,SAF,Warner Park         ,ODI, DNB,0,18.60,0,0,0
Jeroen Smits,18/03/2007,AUS,Warner Park         ,ODI,lbw b G Hogg          ,   3,16.00,12,25.0,0
Jeroen Smits,22/03/2007,SCO,Warner Park         ,ODI, DNB,0,16.00,0,0,0
Jeroen Smits,3/07/2007 ,CAN,Cricket & Skating   ,ODI, DNB,0,16.00,0,0,0
Jeroen Smits,10/07/2007,WIN,Clontarf Cricket Cl ,ODI,c D Ramdin b D Sammy  ,   1,13.86, 5,20.0,0
Jeroen Smits,11/07/2007,IRE,Civil Service C C   ,ODI, DNB,0,13.86,0,0,0
Jeroen Smits,13/07/2007,SCO,Civil Service C C   ,ODI, DNB,0,13.86,0,0,0
Jeroen Smits,18/08/2007,BER,Hazelaarweg         ,ODI,not out               ,18,16.43,17,105.882352941,1
Jeroen Smits,20/08/2007,BER,Hazelaarweg         ,ODI, DNB,0,16.43,0,0,0
Jeroen Smits,28/07/2008,IRE,Clontarf Cricket Cl ,ODI,run out               ,  18,16.63,50,36.0,0
Jeroen Smits,29/07/2008,SCO,Clontarf Cricket Cl ,ODI,run out               ,   2,15.00,11,18.1818181818,0
Jeroen Smits,8/08/2008 ,BER,VRA Ground          ,ODI, DNB,0,15.00,0,0,0
Jeroen Smits,21/08/2008,KEN,Hazelaarweg         ,ODI, DNB,0,15.00,0,0,0
Jeroen Smits,1/04/2009 ,KEN,Senwes Park         ,ODI, DNB,0,15.00,0,0,0
Jeroen Smits,8/04/2009 ,BER,Senwes Park         ,ODI,not out               ,29,18.22,30,96.6666666667,1
Jeroen Smits,19/04/2009,KEN,Senwes Park         ,ODI, DNB,0,18.22,0,0,0
Jeroen Smits,11/07/2009,CAN,VRA Ground          ,ODI, DNB,0,18.22,0,0,0
Jeroen Smits,30/08/2009,AFG,VRA Ground          ,ODI,run out               ,   4,16.80, 9,44.4444444444,0
Jeroen Smits,1/09/2009 ,AFG,VRA Ground          ,ODI, DNB,0,16.80,0,0,0
