John F Mooney,13/06/2006,ENG,Civil Service C C   ,ODI,not out                          ,30,    ,26,115.384615385,1
John F Mooney,5/08/2006 ,SCO,Cambusdoon Ground   ,ODI,not out                          ,1,    , 2,50.0,1
John F Mooney,8/08/2006 ,NED,Cambusdoon Ground   ,ODI,c L van Troost b P Borren        ,   0,31.00, 1,0.0,0
John F Mooney,30/01/2007,SCO,Gymkhana Club Ground,ODI,not out                          ,3,34.00, 2,150.0,1
John F Mooney,4/02/2007 ,CAN,Jaffrey Sports Club ,ODI,not out                          ,8,42.00, 3,266.666666667,1
John F Mooney,5/02/2007 ,NED,Gymkhana Club Ground,ODI,not out                          ,18,60.00,16,112.5,1
John F Mooney,23/03/2007,WIN,Queen's Park        ,ODI,c D Ramdin b D Bravo             ,   0,30.00, 1,0.0,0
John F Mooney,13/04/2007,AUS,Kensington Oval     ,ODI,run out                          ,  23,27.67,44,52.2727272727,0
John F Mooney,9/07/2009 ,KEN,Clontarf Cricket Cl ,ODI,c C Obuya b S Tikolo             ,  27,27.50,25,108.0,0
John F Mooney,11/07/2009,KEN,Clontarf Cricket Cl ,ODI, DNB,0,27.50,0,0,0
John F Mooney,12/07/2009,KEN,Clontarf Cricket Cl ,ODI,b J Kamande                      ,  42,30.40,80,52.5,0
John F Mooney,22/08/2009,SCO,Mannofield Park     ,ODI,b R Watson                       ,  15,27.83,35,42.8571428571,0
John F Mooney,27/08/2009,ENG,Civil Service C C   ,ODI,st M Prior b O Shah              ,   9,25.14,22,40.9090909091,0
John F Mooney,17/06/2010,AUS,Clontarf Cricket Cl ,ODI,c R Ponting b S Watson           ,  38,26.75,48,79.1666666667,0
John F Mooney,1/07/2010 ,KEN,Hazelaarweg         ,ODI, DNB,0,26.75,0,0,0
John F Mooney,3/07/2010 ,AFG,Hazelaarweg         ,ODI,c Mohammad Nabi b Hamid Hassan   ,   2,24.00, 2,100.0,0
John F Mooney,5/07/2010 ,SCO,Sportpark Westvliet ,ODI,not out                          ,20,26.22,44,45.4545454545,1
John F Mooney,7/07/2010 ,CAN,VRA Ground          ,ODI,not out                          ,44,31.11,61,72.131147541,1
John F Mooney,9/07/2010 ,NED,VRA Ground          ,ODI,c Mohammad Kashif b M Jonkman    ,  54,33.40,71,76.0563380282,0
John F Mooney,10/07/2010,SCO,VRA Ground          ,ODI,not out                          ,12,34.60,14,85.7142857143,1
John F Mooney,15/07/2010,BAN,Civil Service C C   ,ODI, DNB,0,34.60,0,0,0
John F Mooney,16/07/2010,BAN,Civil Service C C   ,ODI,c Mushfiqur Rahim b Shafiul Islam,  28,34.00,26,107.692307692,0
John F Mooney,16/08/2010,NED,Clontarf Cricket Cl ,ODI,b M Jonkman                      ,  11,32.08, 9,122.222222222,0
John F Mooney,18/08/2010,NED,Clontarf Cricket Cl ,ODI, DNB,0,32.08,0,0,0
John F Mooney,6/09/2010 ,CAN,Cricket & Skating   ,ODI,c H Osinde b Khurram Chohan      ,  47,33.23,55,85.4545454545,0
John F Mooney,7/09/2010 ,CAN,Cricket & Skating   ,ODI,lbw b A Hansra                   ,  25,32.64,15,166.666666667,0
John F Mooney,26/09/2010,ZIM,Harare Sports Club  ,ODI,run out                          ,  22,31.93,23,95.652173913,0
John F Mooney,28/09/2010,ZIM,Harare Sports Club  ,ODI,st T Taibu b S Williams          ,  16,30.94,36,44.4444444444,0
John F Mooney,30/09/2010,ZIM,Harare Sports Club  ,ODI,run out                          ,  55,32.35,61,90.1639344262,0
John F Mooney,25/02/2011,BAN,Shere Bangla Stadium,ODI,b Naeem Islam                    ,   0,30.56, 8,0.0,0
John F Mooney,2/03/2011 ,ENG,Chinnaswamy Stadium ,ODI,not out                          ,33,32.39,30,110.0,1
John F Mooney,6/03/2011 ,IND,Chinnaswamy Stadium ,ODI,lbw b Yuvraj Singh               ,   5,30.95,17,29.4117647059,0
John F Mooney,11/03/2011,WIN,Punjab Cricket Stad ,ODI,b K Roach                        ,   6,29.70, 7,85.7142857143,0
John F Mooney,15/03/2011,SAF,Eden Gardens        ,ODI,c M van Wyk b J Kallis           ,  14,28.95,28,50.0,0
John F Mooney,18/03/2011,NED,Eden Gardens        ,ODI, DNB,0,28.95,0,0,0
John F Mooney,28/05/2011,PAK,Civil Service C C   ,ODI,c Junaid Khan b Younis Khan      ,   7,27.95,18,38.8888888889,0
John F Mooney,30/05/2011,PAK,Civil Service C C   ,ODI,c Mohammad Salman b Saeed Ajmal  ,   6,27.00, 6,100.0,0
John F Mooney,12/07/2011,SCO,Grange Cricket Club ,ODI,b P Mommsen                      ,   5,26.08,12,41.6666666667,0
John F Mooney,25/08/2011,ENG,Clontarf Cricket Cl ,ODI,c B Stokes b J Dernbach          ,  15,25.64, 8,187.5,0
John F Mooney,19/09/2011,CAN,Clontarf Cricket Cl ,ODI,c sub b Khurram Chohan           ,  10,25.04, 8,125.0,0
John F Mooney,20/09/2011,CAN,Clontarf Cricket Cl ,ODI,lbw b Khurram Chohan             ,  14,24.63,21,66.6666666667,0
