John M Parker,31/03/1974,AUS,AMI Stadium         ,ODI,c G Gilmour b A Mallett           ,  14,14.00,35,40.0,0
John M Parker,8/03/1975 ,ENG,Carisbrook          ,ODI, DNB,0,14.00,0,0,0
John M Parker,9/03/1975 ,ENG,Basin Reserve       ,ODI,c B Wood b F Titmus               ,  25,19.50,32,78.125,0
John M Parker,7/06/1975 ,EAF,Edgbaston           ,ODI,c Zulfiqar Ali b R Sethi          ,  66,35.00,66,100.0,0
John M Parker,11/06/1975,ENG,Trent Bridge        ,ODI,b A Greig                         ,   1,26.50, 8,12.5,0
John M Parker,14/06/1975,IND,Old Trafford        ,ODI,lbw b S Abid Ali                  ,   1,21.40, 6,16.6666666667,0
John M Parker,18/06/1975,WIN,The Oval            ,ODI,b C Lloyd                         ,   3,18.33,12,25.0,0
John M Parker,21/02/1976,IND,AMI Stadium         ,ODI, DNB,0,18.33,0,0,0
John M Parker,22/02/1976,IND,Eden Park           ,ODI,c S Venkataraghavan b E Solkar    ,  14,17.71,20,70.0,0
John M Parker,16/10/1976,PAK,Jinnah Stadium      ,ODI,c Mushtaq Mohammad b Javed Miandad,   2,15.75,12,16.6666666667,0
John M Parker,15/07/1978,ENG,North Marine Road   ,ODI,b R Willis                        ,   7,14.78,16,43.75,0
John M Parker,17/07/1978,ENG,Old Trafford        ,ODI, DNB,0,14.78,0,0,0
John M Parker,6/02/1980 ,WIN,AMI Stadium         ,ODI,c C Lloyd b J Garner              ,   0,13.30, 2,0.0,0
John M Parker,23/11/1980,AUS,Adelaide Oval       ,ODI,c & b D Lillee                    ,  16,13.55,25,64.0,0
John M Parker,25/11/1980,AUS,Sydney Cricket Grnd ,ODI,c J Dyson b L Pascoe              ,   6,12.92,15,40.0,0
John M Parker,7/12/1980 ,AUS,Melbourne Cricket Gr,ODI,lbw b G Chappell                  ,   3,12.15, 7,42.8571428571,0
John M Parker,9/12/1980 ,IND,W.A.C.A. Ground     ,ODI,c Kapil Dev b R Binny             ,   1,11.36, 9,11.1111111111,0
John M Parker,21/12/1980,IND,Brisbane Cricket Gr ,ODI,c S Kirmani b D Doshi             ,  11,11.33,24,45.8333333333,0
John M Parker,23/12/1980,IND,Adelaide Oval       ,ODI,c S Gavaskar b Yograj Singh       ,  13,11.44,32,40.625,0
John M Parker,10/01/1981,IND,Melbourne Cricket Gr,ODI, DNB,0,11.44,0,0,0
John M Parker,13/01/1981,AUS,Sydney Cricket Grnd ,ODI,c L Pascoe b T Chappell           ,  23,12.12,45,51.1111111111,0
John M Parker,18/01/1981,IND,Brisbane Cricket Gr ,ODI,c B Reddy b Kapil Dev             ,   6,11.78,12,50.0,0
John M Parker,1/02/1981 ,AUS,Melbourne Cricket Gr,ODI,c T Chappell b D Lillee           ,  24,12.42,19,126.315789474,0
John M Parker,3/02/1981 ,AUS,Sydney Cricket Grnd ,ODI,c R Marsh b D Lillee              ,  12,12.40,13,92.3076923077,0
