Kamran Akmal,23/11/2002,ZIM,Queens Sports Club  ,ODI, DNB,0,    ,0,0,0
Kamran Akmal,24/11/2002,ZIM,Queens Sports Club  ,ODI,not out                                 ,24,    , 12,200.0,1
Kamran Akmal,27/11/2002,ZIM,Harare Sports Club  ,ODI,not out                                 ,24,    , 21,114.285714286,1
Kamran Akmal,30/11/2002,ZIM,Harare Sports Club  ,ODI,c T Taibu b D Hondo                     ,  44,92.00, 37,118.918918919,0
Kamran Akmal,1/12/2002 ,ZIM,Harare Sports Club  ,ODI,c T Taibu b T Friend                    ,   3,47.50, 10,30.0,0
Kamran Akmal,16/12/2002,SAF,Boland Bank Park    ,ODI,b M Ntini                               ,  31,42.00, 38,81.5789473684,0
Kamran Akmal,18/12/2002,SAF,Newlands            ,ODI,c G Kirsten b M Zondeki                 ,  15,35.25, 32,46.875,0
Kamran Akmal,9/09/2003 ,BAN,Multan Cricket Stad.,ODI, DNB,0,35.25,0,0,0
Kamran Akmal,12/09/2003,BAN,Iqbal Stadium       ,ODI,c Mohammad Ashraful b Rajin Saleh       ,  26,33.40, 28,92.8571428571,0
Kamran Akmal,15/09/2003,BAN,Gaddafi Stadium     ,ODI,b Tapash Baisya                         ,   0,27.83,  1,0.0,0
Kamran Akmal,18/09/2003,BAN,Rawalpindi Stadium  ,ODI, DNB,0,27.83,0,0,0
Kamran Akmal,21/09/2003,BAN,National Stadium    ,ODI, DNB,0,27.83,0,0,0
Kamran Akmal,13/11/2004,IND,Eden Gardens        ,ODI, DNB,0,27.83,0,0,0
Kamran Akmal,16/01/2005,AUS,Bellerive Oval      ,ODI,c M Clarke b G McGrath                  ,   5,24.57,  8,62.5,0
Kamran Akmal,19/01/2005,WIN,Brisbane Cricket Gr ,ODI,c B Lara b I Bradshaw                   , 124,37.00,125,99.2,0
Kamran Akmal,23/01/2005,AUS,Sydney Cricket Grnd ,ODI,b B Lee                                 ,   2,33.11,  7,28.5714285714,0
Kamran Akmal,28/01/2005,WIN,Adelaide Oval       ,ODI,b W Hinds                               ,  19,31.70, 34,55.8823529412,0
Kamran Akmal,1/02/2005 ,WIN,W.A.C.A. Ground     ,ODI,c D Bravo b I Bradshaw                  ,  17,30.36, 36,47.2222222222,0
Kamran Akmal,4/02/2005 ,AUS,Melbourne Cricket Gr,ODI,c J Gillespie b G McGrath               ,   4,28.17,  4,100.0,0
Kamran Akmal,6/02/2005 ,AUS,Sydney Cricket Grnd ,ODI,c A Gilchrist b G McGrath               ,  12,26.92, 19,63.1578947368,0
Kamran Akmal,2/04/2005 ,IND,Nehru Stad. (Kochi) ,ODI,c V Sehwag b L Balaji                   ,  17,26.21, 17,100.0,0
Kamran Akmal,5/04/2005 ,IND,AC-VDCA Stadium     ,ODI,lbw b Zaheer Khan                       ,  41,27.20, 28,146.428571429,0
Kamran Akmal,9/04/2005 ,IND,Keenan Stadium      ,ODI,not out                                 ,14,28.13, 18,77.7777777778,1
Kamran Akmal,12/04/2005,IND,Sardar Patel Stadium,ODI,run out                                 ,  10,27.00,  6,166.666666667,0
Kamran Akmal,15/04/2005,IND,Green Park          ,ODI, DNB,0,27.00,0,0,0
Kamran Akmal,17/04/2005,IND,Feroz Shah Kotla    ,ODI,b A Agarkar                             ,   5,25.71,  6,83.3333333333,0
Kamran Akmal,18/05/2005,WIN,Arnos Vale Ground   ,ODI,c C Browne b C Collymore                ,   6,24.61, 15,40.0,0
Kamran Akmal,21/05/2005,WIN,Beausejour Cricket G,ODI,not out                                 ,24,25.94, 15,160.0,1
Kamran Akmal,22/05/2005,WIN,Beausejour Cricket G,ODI,not out                                 ,24,27.28,  9,266.666666667,1
