Kevin J O'Brien,13/06/2006,ENG,Civil Service C C   ,ODI,c L Plunkett b I Bell                   ,  35,35.00, 48,72.9166666667,0
Kevin J O'Brien,8/08/2006 ,NED,Cambusdoon Ground   ,ODI,c A Kervezee b P Borren                 ,  24,29.50, 16,150.0,0
Kevin J O'Brien,30/01/2007,SCO,Gymkhana Club Ground,ODI,c R Watson b R Haq                      ,  13,24.00, 22,59.0909090909,0
Kevin J O'Brien,31/01/2007,BER,Jaffrey Sports Club ,ODI,c M Jones b R Leverock                  ,  54,31.50, 57,94.7368421053,0
Kevin J O'Brien,2/02/2007 ,KEN,Ruaraka Sports Club ,ODI,run out                                 , 142,53.60,125,113.6,0
Kevin J O'Brien,4/02/2007 ,CAN,Jaffrey Sports Club ,ODI,st A Mulla b J Davison                  ,  52,53.33, 83,62.6506024096,0
Kevin J O'Brien,5/02/2007 ,NED,Gymkhana Club Ground,ODI,b R ten Doeschate                       ,   3,46.14,  4,75.0,0
Kevin J O'Brien,15/03/2007,ZIM,Sabina Park         ,ODI,c B Taylor b E Rainsford                ,  10,41.63, 28,35.7142857143,0
Kevin J O'Brien,17/03/2007,PAK,Sabina Park         ,ODI,not out                                 ,16,43.63, 52,30.7692307692,1
Kevin J O'Brien,23/03/2007,WIN,Queen's Park        ,ODI,c R Sarwan b C Gayle                    ,  17,40.67, 46,36.9565217391,0
Kevin J O'Brien,30/03/2007,ENG,Providence Stadium  ,ODI,lbw b M Panesar                         ,  12,37.80, 19,63.1578947368,0
Kevin J O'Brien,9/04/2007 ,NZL,Providence Stadium  ,ODI,run out                                 ,  49,38.82, 45,108.888888889,0
Kevin J O'Brien,13/04/2007,AUS,Kensington Oval     ,ODI,c B Hodge b S Clark                     ,  16,36.92, 25,64.0,0
Kevin J O'Brien,15/04/2007,BAN,Kensington Oval     ,ODI,run out                                 ,  48,37.77, 44,109.090909091,0
Kevin J O'Brien,18/04/2007,SRL,National Cricket St.,ODI,c S Jayasuriya b M Muralitharan         ,   2,35.21,  4,50.0,0
Kevin J O'Brien,23/06/2007,IND,Civil Service C C   ,ODI,c R Singh Jr b P Chawla                 ,   3,33.07, 11,27.2727272727,0
Kevin J O'Brien,24/06/2007,SAF,Civil Service C C   ,ODI,c M van Wyk b T Tshabalala              ,   6,31.38,  7,85.7142857143,0
Kevin J O'Brien,11/07/2007,NED,Civil Service C C   ,ODI,c E Szwarczynski b P Borren             ,  34,31.53, 42,80.9523809524,0
Kevin J O'Brien,14/07/2007,WIN,Clontarf Cricket Cl ,ODI,b F Edwards                             ,  25,31.17, 18,138.888888889,0
Kevin J O'Brien,15/07/2007,SCO,Civil Service C C   ,ODI,b R Watson                              ,  12,30.16, 26,46.1538461538,0
Kevin J O'Brien,18/03/2008,BAN,Shere Bangla Stadium,ODI,lbw b Shakib Al Hasan                   ,  20,29.65, 44,45.4545454545,0
