Lungile L Bosman,15/09/2006,ZIM,OUTsurance Oval     ,ODI,b E Rainsford                   ,   5, 5.00,12,41.6666666667,0
Lungile L Bosman,18/09/2006,ZIM,Buffalo Park        ,ODI,b H Rinke                       ,  38,21.50,29,131.034482759,0
Lungile L Bosman,20/09/2006,ZIM,Senwes Park         ,ODI,st B Taylor b T Kamungozi       ,  88,43.67,70,125.714285714,0
Lungile L Bosman,2/11/2006 ,WIN,Sawai Mansingh Stad ,ODI,c C Gayle b M Samuels           ,  39,42.50,58,67.2413793103,0
Lungile L Bosman,22/11/2006,IND,Kingsmead           ,ODI,lbw b Zaheer Khan               ,  22,38.40,21,104.761904762,0
Lungile L Bosman,26/11/2006,IND,Newlands            ,ODI,c S Tendulkar b Zaheer Khan     ,   6,33.00,26,23.0769230769,0
Lungile L Bosman,29/11/2006,IND,St George's Park    ,ODI,b S Sreesanth                   ,   0,28.29, 2,0.0,0
Lungile L Bosman,4/02/2007 ,PAK,Supersport Park     ,ODI,c Kamran Akmal b Mohammad Hafeez,   4,25.25, 3,133.333333333,0
Lungile L Bosman,10/04/2007,WIN,National Cricket St.,ODI, DNB,0,25.25,0,0,0
Lungile L Bosman,6/06/2007 ,ACC,Chinnaswamy Stadium ,ODI,c D Jayawardene b Zaheer Khan   ,   2,22.67,12,16.6666666667,0
Lungile L Bosman,22/08/2007,ZIM,Queens Sports Club  ,ODI,c T Taibu b C Mpofu             ,   0,20.40, 3,0.0,0
Lungile L Bosman,25/08/2007,ZIM,Harare Sports Club  ,ODI, DNB,0,20.40,0,0,0
Lungile L Bosman,21/02/2010,IND,Sawai Mansingh Stad ,ODI,b P Kumar                       ,  29,21.18,23,126.086956522,0
Lungile L Bosman,27/02/2010,IND,Sardar Patel Stadium,ODI,c R Jadeja b Y Pathan           ,  68,25.08,46,147.826086957,0
