Malachi O Jones,11/11/2006,KEN,Mombasa Sports Grd  ,ODI,c & b J Kamande       ,  13,13.00,20,65.0,0
Malachi O Jones,12/11/2006,KEN,Mombasa Sports Grd  ,ODI,b N Odhiambo          ,  24,18.50,22,109.090909091,0
Malachi O Jones,14/11/2006,KEN,Mombasa Sports Grd  ,ODI,not out               ,6,21.50,15,40.0,1
Malachi O Jones,29/01/2007,KEN,Jaffrey Sports Club ,ODI,b S Tikolo            ,   3,15.33,10,30.0,0
Malachi O Jones,31/01/2007,IRE,Jaffrey Sports Club ,ODI,b A Botha             ,   2,12.00, 5,40.0,0
Malachi O Jones,2/02/2007 ,CAN,Gymkhana Club Ground,ODI,c A Bagai b S Dhaniram,   0, 9.60, 4,0.0,0
Malachi O Jones,4/02/2007 ,NED,Ruaraka Sports Club ,ODI,lbw b P Borren        ,   4, 8.67, 6,66.6666666667,0
Malachi O Jones,26/02/2007,CAN,Antigua Rec Ground  ,ODI,not out               ,7, 9.83, 6,116.666666667,1
Malachi O Jones,19/03/2007,IND,Queen's Park        ,ODI,lbw b A Kumble        ,   1, 8.57, 8,12.5,0
Malachi O Jones,25/10/2007,KEN,Gymkhana Club Ground,ODI,run out               ,  21,10.13,22,95.4545454545,0
Malachi O Jones,27/10/2007,KEN,Gymkhana Club Ground,ODI,b J Kamande           ,  27,12.00,19,142.105263158,0
Malachi O Jones,28/10/2007,KEN,Gymkhana Club Ground,ODI,b H Varaiya           ,   5,11.30,12,41.6666666667,0
