Mark W Alleyne,10/01/1999,AUS,Brisbane Cricket Gr ,ODI,run out                            ,   2, 2.00, 3,66.6666666667,0
Mark W Alleyne,11/01/1999,SRL,Brisbane Cricket Gr ,ODI,st R Kaluwitharana b M Muralitharan,  18,10.00,50,36.0,0
Mark W Alleyne,3/02/1999 ,SRL,Sydney Cricket Grnd ,ODI,c D Jayawardene b U Chandana       ,  18,12.67,20,90.0,0
Mark W Alleyne,5/02/1999 ,AUS,Sydney Cricket Grnd ,ODI,not out                            ,38,25.33,47,80.8510638298,1
Mark W Alleyne,26/01/2000,SAF,Newlands            ,ODI,c M Boucher b M Hayward            ,  12,22.00,29,41.3793103448,0
Mark W Alleyne,28/01/2000,ZIM,Newlands            ,ODI,c A Flower b J Rennie              ,   4,18.40,13,30.7692307692,0
Mark W Alleyne,30/01/2000,ZIM,De Beers Diamond Ov.,ODI, DNB,0,18.40,0,0,0
Mark W Alleyne,4/02/2000 ,SAF,Buffalo Park        ,ODI,c J Kallis b S Pollock             ,  53,24.17,68,77.9411764706,0
Mark W Alleyne,13/02/2000,SAF,The Wanderers Stad  ,ODI,c W Cronje b S Pollock             ,   6,21.57,25,24.0,0
Mark W Alleyne,5/10/2000 ,BAN,Gymkhana Club Ground,ODI, DNB,0,21.57,0,0,0
