Mashrafe Bin Mortaza,23/11/2001,ZIM,M A Aziz Stadium    ,ODI,b S Ervine                        ,   1, 1.00,10,10.0,0
Mashrafe Bin Mortaza,25/11/2001,ZIM,Bangabandhu Stadium ,ODI,b G Brent                         ,   1, 1.00, 2,50.0,0
Mashrafe Bin Mortaza,26/11/2001,ZIM,Bangabandhu Stadium ,ODI,run out                           ,  18, 6.67,21,85.7142857143,0
Mashrafe Bin Mortaza,11/02/2003,CAN,Kingsmead           ,ODI,c A Sattaur b A Codrington        ,   0, 5.00, 2,0.0,0
Mashrafe Bin Mortaza,14/02/2003,SRL,City Oval           ,ODI,c M Muralitharan b W Vaas         ,  28, 9.60,23,121.739130435,0
Mashrafe Bin Mortaza,2/08/2003 ,AUS,Cazaly's Stadium    ,ODI,c A Gilchrist b A Bichel          ,   0, 8.00, 2,0.0,0
Mashrafe Bin Mortaza,6/08/2003 ,AUS,Marrara Cricket Gro ,ODI,b I Harvey                        ,   2, 7.14, 7,28.5714285714,0
Mashrafe Bin Mortaza,9/09/2003 ,PAK,Multan Cricket Stad.,ODI,run out                           ,   8, 7.25,12,66.6666666667,0
Mashrafe Bin Mortaza,12/09/2003,PAK,Iqbal Stadium       ,ODI,c Mohammad Yousuf b Shoaib Malik  ,   1, 6.56, 5,20.0,0
Mashrafe Bin Mortaza,15/09/2003,PAK,Gaddafi Stadium     ,ODI,b Umar Gul                        ,   6, 6.50, 7,85.7142857143,0
Mashrafe Bin Mortaza,18/09/2003,PAK,Rawalpindi Stadium  ,ODI,not out                           ,6, 7.10, 2,300.0,1
Mashrafe Bin Mortaza,21/09/2003,PAK,National Stadium    ,ODI,not out                           ,1, 7.20, 1,100.0,1
Mashrafe Bin Mortaza,26/12/2004,IND,Bangabandhu Stadium ,ODI,not out                           ,31,10.30,39,79.4871794872,1
Mashrafe Bin Mortaza,27/12/2004,IND,Bangabandhu Stadium ,ODI,st M Dhoni b S Tendulkar          ,  39,12.91,20,195.0,0
Mashrafe Bin Mortaza,24/01/2005,ZIM,M A Aziz Stadium    ,ODI,b C Mpofu                         ,  17,13.25,16,106.25,0
Mashrafe Bin Mortaza,26/01/2005,ZIM,M A Aziz Stadium    ,ODI,c D Hondo b T Panyangara          ,  21,13.85,21,100.0,0
Mashrafe Bin Mortaza,29/01/2005,ZIM,Bangabandhu Stadium ,ODI,c S Matsikenyeri b T Panyangara   ,   8,13.43, 5,160.0,0
Mashrafe Bin Mortaza,31/01/2005,ZIM,Bangabandhu Stadium ,ODI, DNB,0,13.43,0,0,0
