Mohammad Rafique,5/04/1995 ,IND,Sharjah Stadium     ,ODI,b A Kumble                       ,   2, 2.00, 6,33.3333333333,0
Mohammad Rafique,6/04/1995 ,SRL,Sharjah Stadium     ,ODI,st C Dunusinghe b M Muralitharan ,  13, 7.50,28,46.4285714286,0
Mohammad Rafique,10/10/1997,KEN,Gymkhana Club Ground,ODI,c & b S Tikolo                   ,  19,11.33,18,105.555555556,0
Mohammad Rafique,11/10/1997,ZIM,Gymkhana Club Ground,ODI,c G Whittall b A Whittall        ,   1, 8.75, 3,33.3333333333,0
Mohammad Rafique,14/10/1997,ZIM,Aga Khan Club Ground,ODI,lbw b A Huckle                   ,   2, 7.40, 4,50.0,0
Mohammad Rafique,15/10/1997,KEN,Aga Khan Club Ground,ODI,c H Modi b M Suji                ,   1, 6.33,11,9.09090909091,0
Mohammad Rafique,10/01/1998,IND,Bangabandhu Stadium ,ODI,b J Srinath                      ,  20, 8.29,16,125.0,0
Mohammad Rafique,12/01/1998,PAK,Bangabandhu Stadium ,ODI,b Saqlain Mushtaq                ,  29,10.88,34,85.2941176471,0
Mohammad Rafique,14/05/1998,IND,Punjab Cricket Stad ,ODI,c D Mohanty b H Kanitkar         ,   1, 9.78, 2,50.0,0
Mohammad Rafique,17/05/1998,KEN,Lal Bahadur Stadium ,ODI,c K Otieno b M Sheikh            ,  77,16.50,87,88.5057471264,0
Mohammad Rafique,23/05/1998,KEN,Chidambaram Stadium ,ODI,c M Sheikh b T Odoyo             ,  23,17.09,32,71.875,0
Mohammad Rafique,25/05/1998,IND,Wankhede Stadium    ,ODI,c S Karim b B Venkatesh Prasad   ,   6,16.17,13,46.1538461538,0
Mohammad Rafique,16/03/1999,PAK,Bangabandhu Stadium ,ODI,c Moin Khan b Wajahatullah Wasti ,  29,17.15,19,152.631578947,0
Mohammad Rafique,20/03/1999,KEN,Bangabandhu Stadium ,ODI,c K Otieno b T Odoyo             ,   1,16.00, 4,25.0,0
Mohammad Rafique,21/03/1999,ZIM,Bangabandhu Stadium ,ODI,c A Huckle b A Campbell          ,   4,15.20, 3,133.333333333,0
Mohammad Rafique,24/03/1999,KEN,Bangabandhu Stadium ,ODI,c A Suji b M Sheikh              ,   9,14.81,16,56.25,0
Mohammad Rafique,17/05/1999,NZL,Chelmsford County Gr,ODI,lbw b C Cairns                   ,   0,13.94, 1,0.0,0
Mohammad Rafique,31/05/1999,PAK,Northampton County  ,ODI,c Shoaib Akhtar b Saqlain Mushtaq,   6,13.50,19,31.5789473684,0
Mohammad Rafique,29/05/2000,SRL,Bangabandhu Stadium ,ODI,not out                          ,11,14.11, 7,157.142857143,1
Mohammad Rafique,30/05/2000,IND,Bangabandhu Stadium ,ODI,b T Kumaran                      ,   8,13.79, 5,160.0,0
Mohammad Rafique,5/10/2000 ,ENG,Gymkhana Club Ground,ODI,c M Trescothick b C White        ,   5,13.35, 4,125.0,0
Mohammad Rafique,7/04/2001 ,ZIM,Harare Sports Club  ,ODI,not out                          ,22,14.45,25,88.0,1
Mohammad Rafique,8/04/2001 ,ZIM,Harare Sports Club  ,ODI,c B Strang b D Mutendera         ,   8,14.14,10,80.0,0
