Neil F I McCallum,27/06/2006,PAK,Grange Cricket Club ,ODI,st Kamran Akmal b Shoaib Malik     ,  68,68.00,129,52.7131782946,0
Neil F I McCallum,5/08/2006 ,IRE,Cambusdoon Ground   ,ODI,lbw b A Botha                      ,   7,37.50, 22,31.8181818182,0
Neil F I McCallum,6/08/2006 ,NED,Cambusdoon Ground   ,ODI,run out                            ,  31,35.33, 26,119.230769231,0
Neil F I McCallum,15/12/2006,BAN,Zahur Ahmed Stadium ,ODI,lbw b Shahadat Hossain             ,   0,26.50,  2,0.0,0
Neil F I McCallum,17/12/2006,BAN,Shere Bangla Stadium,ODI,b Abdur Razzak                     ,  23,25.80, 72,31.9444444444,0
Neil F I McCallum,17/01/2007,KEN,Mombasa Sports Grd  ,ODI,b N Odhiambo                       ,  10,23.17, 14,71.4285714286,0
Neil F I McCallum,21/01/2007,KEN,Mombasa Sports Grd  ,ODI,c D Obuya b S Tikolo               ,  27,23.71, 27,100.0,0
Neil F I McCallum,23/01/2007,CAN,Mombasa Sports Grd  ,ODI,c & b A Cummins                    ,  12,22.25, 19,63.1578947368,0
Neil F I McCallum,30/01/2007,IRE,Gymkhana Club Ground,ODI,c A White b A Botha                , 100,30.89, 92,108.695652174,0
Neil F I McCallum,31/01/2007,CAN,Ruaraka Sports Club ,ODI,c A Mulla b A Cummins              ,   6,28.40, 14,42.8571428571,0
Neil F I McCallum,2/02/2007 ,NED,Jaffrey Sports Club ,ODI,c J Smits b R ten Doeschate        ,   0,25.82,  1,0.0,0
Neil F I McCallum,4/02/2007 ,KEN,Gymkhana Club Ground,ODI,run out                            ,   2,23.83,  4,50.0,0
Neil F I McCallum,5/02/2007 ,BER,Ruaraka Sports Club ,ODI,c D Minors b J Tucker              ,  21,23.62, 35,60.0,0
Neil F I McCallum,7/02/2007 ,KEN,Gymkhana Club Ground,ODI,run out                            ,   0,21.93,  8,0.0,0
Neil F I McCallum,20/03/2007,SAF,Warner Park         ,ODI,b C Langeveldt                     ,   1,20.53, 21,4.7619047619,0
Neil F I McCallum,22/03/2007,NED,Warner Park         ,ODI,c W Stelling b M Jonkman           ,  24,20.75, 43,55.8139534884,0
Neil F I McCallum,12/07/2007,WIN,Clontarf Cricket Cl ,ODI,c C Gayle b D Sammy                ,  27,21.12, 23,117.391304348,0
Neil F I McCallum,13/07/2007,NED,Civil Service C C   ,ODI,c J Smits b H Mol                  ,  11,20.56, 19,57.8947368421,0
Neil F I McCallum,15/07/2007,IRE,Civil Service C C   ,ODI,c A Botha b W McCallan             ,  54,22.32, 68,79.4117647059,0
Neil F I McCallum,16/08/2007,IND,Titwood             ,ODI,c M Dhoni b P Chawla               ,  41,23.25, 65,63.0769230769,0
Neil F I McCallum,2/07/2008 ,IRE,Mannofield Park     ,ODI,not out                            ,0,23.25,  4,0.0,1
Neil F I McCallum,3/07/2008 ,NZL,Mannofield Park     ,ODI,lbw b J Oram                       ,   2,22.24, 13,15.3846153846,0
Neil F I McCallum,29/07/2008,NED,Clontarf Cricket Cl ,ODI,not out                            ,12,22.81, 18,66.6666666667,1
Neil F I McCallum,31/07/2008,IRE,Clontarf Cricket Cl ,ODI,c N O'Brien b P Connell            ,   1,21.82,  5,20.0,0
Neil F I McCallum,12/08/2008,KEN,Cambusdoon Ground   ,ODI, DNB,0,21.82,0,0,0
Neil F I McCallum,18/08/2008,ENG,Grange Cricket Club ,ODI,c J Anderson b S Patel             ,   2,20.96, 12,16.6666666667,0
Neil F I McCallum,1/04/2009 ,IRE,Willowmoore Park    ,ODI,not out                            ,121,26.22,138,87.6811594203,1
Neil F I McCallum,8/04/2009 ,CAN,Willowmoore Park    ,ODI,c I Billcliff b H Osinde           ,   1,25.17,  8,12.5,0
Neil F I McCallum,19/04/2009,AFG,Willowmoore Park    ,ODI,lbw b Khaliq Dad                   ,  36,25.60, 33,109.090909091,0
Neil F I McCallum,7/07/2009 ,CAN,Mannofield Park     ,ODI,not out                            ,15,26.20, 10,150.0,1
Neil F I McCallum,8/07/2009 ,CAN,Mannofield Park     ,ODI,not out                            ,79,29.36, 67,117.910447761,1
Neil F I McCallum,22/08/2009,IRE,Mannofield Park     ,ODI,c A Cusack b R West                ,   6,28.46, 18,33.3333333333,0
Neil F I McCallum,28/08/2009,AUS,Grange Cricket Club ,ODI,c T Paine b M Johnson              ,  24,28.30, 41,58.5365853659,0
Neil F I McCallum,15/06/2010,NED,Hazelaarweg         ,ODI,lbw b Mudassar Bukhari             ,  11,27.68, 21,52.380952381,0
Neil F I McCallum,19/06/2010,ENG,Grange Cricket Club ,ODI,c G Swann b P Collingwood          ,  22,27.48, 37,59.4594594595,0
Neil F I McCallum,1/07/2010 ,NED,VRA Ground          ,ODI,b T Cooper                         ,  10,26.90, 21,47.619047619,0
Neil F I McCallum,3/07/2010 ,CAN,VRA Ground          ,ODI,not out                            ,89,29.87, 78,114.102564103,1
Neil F I McCallum,5/07/2010 ,IRE,Sportpark Westvliet ,ODI,c & b J Mooney                     ,  49,30.48, 94,52.1276595745,0
Neil F I McCallum,7/07/2010 ,KEN,Hazelaarweg         ,ODI,b J Ngoche                         ,   6,29.72, 15,40.0,0
Neil F I McCallum,9/07/2010 ,AFG,Hazelaarweg         ,ODI,st Mohammad Shahzad b Mohammad Nabi,  19,29.39, 50,38.0,0
Neil F I McCallum,10/07/2010,IRE,VRA Ground          ,ODI,c sub b D Johnston                 ,   7,28.74, 15,46.6666666667,0
Neil F I McCallum,28/06/2011,NED,Mannofield Park     ,ODI,c W Barresi b T Heggelman          ,   6,28.09, 17,35.2941176471,0
Neil F I McCallum,29/06/2011,NED,Mannofield Park     ,ODI,c T Cooper b T Heggelman           ,  19,27.83, 32,59.375,0
