Paul A Hitchcock,5/06/2002 ,WIN,Sabina Park         ,ODI,b C Gayle              ,   7, 7.00,11,63.6363636364,0
Paul A Hitchcock,8/06/2002 ,WIN,Beausejour Cricket G,ODI, DNB,0, 7.00,0,0,0
Paul A Hitchcock,9/06/2002 ,WIN,Beausejour Cricket G,ODI, DNB,0, 7.00,0,0,0
Paul A Hitchcock,12/06/2002,WIN,Queen's Park        ,ODI, DNB,0, 7.00,0,0,0
Paul A Hitchcock,16/06/2002,WIN,Arnos Vale Ground   ,ODI, DNB,0, 7.00,0,0,0
Paul A Hitchcock,23/09/2002,BAN,Sinhalese Sports Gr ,ODI,not out                ,2, 9.00, 1,200.0,1
Paul A Hitchcock,29/12/2002,IND,McLean Park         ,ODI,not out                ,2,11.00, 1,200.0,1
Paul A Hitchcock,1/01/2003 ,IND,AMI Stadium         ,ODI, DNB,0,11.00,0,0,0
Paul A Hitchcock,23/10/2003,IND,Chidambaram Stadium ,ODI, DNB,0,11.00,0,0,0
Paul A Hitchcock,29/10/2003,AUS,Nahar Singh Stadium ,ODI,c M Hayden b B Williams,  10,10.50,19,52.6315789474,0
Paul A Hitchcock,1/12/2003 ,PAK,Gaddafi Stadium     ,ODI,b Mohammad Sami        ,   0, 7.00, 1,0.0,0
Paul A Hitchcock,5/12/2003 ,PAK,Rawalpindi Stadium  ,ODI,b Umar Gul             ,   9, 7.50,17,52.9411764706,0
Paul A Hitchcock,7/12/2003 ,PAK,Rawalpindi Stadium  ,ODI, DNB,0, 7.50,0,0,0
Paul A Hitchcock,15/02/2008,ENG,Eden Park           ,ODI,not out                ,11,10.25,11,100.0,1
