Peter W Borren,4/07/2006 ,SRL,VRA Ground          ,ODI,c K Sangakkara b C Bandara             ,   2, 2.00,  5,40.0,0
Peter W Borren,6/07/2006 ,SRL,VRA Ground          ,ODI,c C Fernando b K Lokuarachchi          ,  34,18.00, 35,97.1428571429,0
Peter W Borren,6/08/2006 ,SCO,Cambusdoon Ground   ,ODI,c J Nel b J Blain                      ,   0,12.00,  9,0.0,0
Peter W Borren,8/08/2006 ,IRE,Cambusdoon Ground   ,ODI, DNB,0,12.00,0,0,0
Peter W Borren,26/11/2006,CAN,Senwes Park         ,ODI,lbw b S Dhaniram                       ,  12,12.00, 13,92.3076923077,0
Peter W Borren,1/12/2006 ,CAN,Willowmoore Park    ,ODI,lbw b S Dhaniram                       ,   8,11.20,  8,100.0,0
Peter W Borren,2/12/2006 ,BER,Willowmoore Park    ,ODI,c C Smith b S Mukuddem                 ,   0, 9.33,  8,0.0,0
Peter W Borren,2/02/2007 ,SCO,Jaffrey Sports Club ,ODI,run out                                ,  32,12.57, 39,82.0512820513,0
Peter W Borren,4/02/2007 ,BER,Ruaraka Sports Club ,ODI, DNB,0,12.57,0,0,0
Peter W Borren,5/02/2007 ,IRE,Gymkhana Club Ground,ODI,st N O'Brien b K O'Brien               ,   7,11.88,  6,116.666666667,0
Peter W Borren,16/03/2007,SAF,Warner Park         ,ODI,run out                                ,   2,10.78,  6,33.3333333333,0
Peter W Borren,18/03/2007,AUS,Warner Park         ,ODI,c M Hussey b G Hogg                    ,  24,12.10, 18,133.333333333,0
Peter W Borren,22/03/2007,SCO,Warner Park         ,ODI, DNB,0,12.10,0,0,0
Peter W Borren,3/07/2007 ,CAN,Cricket & Skating   ,ODI,st A Mulla b K Sandher                 ,  96,19.73, 69,139.130434783,0
Peter W Borren,10/07/2007,WIN,Clontarf Cricket Cl ,ODI,c D Ramdin b F Edwards                 ,   7,18.67, 20,35.0,0
Peter W Borren,11/07/2007,IRE,Civil Service C C   ,ODI,c K Carroll b A Botha                  ,  27,19.31, 32,84.375,0
Peter W Borren,13/07/2007,SCO,Civil Service C C   ,ODI, DNB,0,19.31,0,0,0
Peter W Borren,18/08/2007,BER,Hazelaarweg         ,ODI,lbw b R Leverock                       ,   7,18.43,  5,140.0,0
Peter W Borren,28/07/2008,IRE,Clontarf Cricket Cl ,ODI,c N O'Brien b P Connell                ,   5,17.53,  7,71.4285714286,0
Peter W Borren,29/07/2008,SCO,Clontarf Cricket Cl ,ODI,b G Rogers                             ,   0,16.44,  4,0.0,0
Peter W Borren,8/08/2008 ,BER,VRA Ground          ,ODI,c O Bascombe b S Kelly                 ,   0,15.47,  2,0.0,0
Peter W Borren,21/08/2008,KEN,Hazelaarweg         ,ODI,c M Ouma b J Kamande                   ,   2,14.72,  4,50.0,0
Peter W Borren,1/04/2009 ,KEN,Senwes Park         ,ODI, DNB,0,14.72,0,0,0
Peter W Borren,19/04/2009,KEN,Senwes Park         ,ODI,lbw b C Obuya                          ,   8,14.37,  5,160.0,0
Peter W Borren,11/07/2009,CAN,VRA Ground          ,ODI,c S Keshvani b S Dhaniram              ,  50,16.15, 45,111.111111111,0
Peter W Borren,30/08/2009,AFG,VRA Ground          ,ODI,b Hamid Hassan                         ,  22,16.43, 30,73.3333333333,0
Peter W Borren,1/09/2009 ,AFG,VRA Ground          ,ODI,b Hamid Hassan                         ,  11,16.18, 13,84.6153846154,0
Peter W Borren,16/02/2010,KEN,Gymkhana Club Ground,ODI,c A Obanda b S Ngoche                  ,   1,15.52,  4,25.0,0
Peter W Borren,18/02/2010,KEN,Gymkhana Club Ground,ODI,run out                                ,  17,15.58, 25,68.0,0
Peter W Borren,15/06/2010,SCO,Hazelaarweg         ,ODI,not out                                ,1,15.63,  1,100.0,1
Peter W Borren,1/07/2010 ,SCO,VRA Ground          ,ODI,b G Goudie                             ,   0,15.00,  2,0.0,0
Peter W Borren,3/07/2010 ,KEN,Sportpark Westvliet ,ODI,lbw b J Ngoche                         ,   2,14.50,  9,22.2222222222,0
Peter W Borren,5/07/2010 ,CAN,Hazelaarweg         ,ODI, DNB,0,14.50,0,0,0
Peter W Borren,7/07/2010 ,AFG,Sportpark Westvliet ,ODI,c Asghar Stanikzai b Samiullah Shenwari,   3,14.07,  8,37.5,0
Peter W Borren,9/07/2010 ,IRE,VRA Ground          ,ODI,b G Dockrell                           ,  47,15.25, 53,88.679245283,0
Peter W Borren,10/07/2010,AFG,Hazelaarweg         ,ODI,b Hamid Hassan                         ,  28,15.69, 71,39.4366197183,0
Peter W Borren,20/07/2010,BAN,Titwood             ,ODI,lbw b Nazmul Hossain                   ,   5,15.33,  6,83.3333333333,0
Peter W Borren,16/08/2010,IRE,Clontarf Cricket Cl ,ODI,c A Cusack b A White                   ,   7,15.06, 17,41.1764705882,0
Peter W Borren,18/08/2010,IRE,Clontarf Cricket Cl ,ODI,b J Mooney                             ,  10,14.91, 22,45.4545454545,0
Peter W Borren,22/02/2011,ENG,Vidarbha Cricket Std,ODI,not out                                ,35,16.00, 24,145.833333333,1
Peter W Borren,28/02/2011,WIN,Feroz Shah Kotla    ,ODI,c K Pollard b D Sammy                  ,  10,15.82, 28,35.7142857143,0
Peter W Borren,3/03/2011 ,SAF,Punjab Cricket Stad ,ODI,lbw b R Peterson                       ,   3,15.44, 13,23.0769230769,0
Peter W Borren,9/03/2011 ,IND,Feroz Shah Kotla    ,ODI,c A Nehra b Zaheer Khan                ,  38,16.09, 36,105.555555556,0
Peter W Borren,14/03/2011,BAN,Zahur Ahmed Stadium ,ODI,run out                                ,   3,15.72,  9,33.3333333333,0
Peter W Borren,18/03/2011,IRE,Eden Gardens        ,ODI,c W Porterfield b J Mooney             ,  84,17.57, 82,102.43902439,0
Peter W Borren,28/06/2011,SCO,Mannofield Park     ,ODI,c J Davey b G Drummond                 ,   3,17.18,  8,37.5,0
Peter W Borren,29/06/2011,SCO,Mannofield Park     ,ODI,not out                                ,71,19.05,107,66.3551401869,1
Peter W Borren,12/09/2011,KEN,Sportpark Westvliet ,ODI,c I Karim b L Oluoch                   ,  40,19.59, 42,95.2380952381,0
Peter W Borren,13/09/2011,KEN,Sportpark Westvliet ,ODI,c D Wesonga b L Oluoch                 ,  27,19.78, 52,51.9230769231,0
