Ricardo L Powell,16/05/1999,PAK,Royal & Sun All. Gr ,ODI,c Mohammad Yousuf b Saqlain Mushtaq,   4, 4.00,18,22.2222222222,0
Ricardo L Powell,2/09/1999 ,ZIM,Kallang Ground      ,ODI,not out                            ,51,55.00,36,141.666666667,1
Ricardo L Powell,5/09/1999 ,IND,Kallang Ground      ,ODI,st M Prasad b N Chopra             ,  46,50.50,44,104.545454545,0
Ricardo L Powell,7/09/1999 ,IND,Kallang Ground      ,ODI, DNB,0,50.50,0,0,0
Ricardo L Powell,8/09/1999 ,IND,Kallang Ground      ,ODI,c R Dravid b D Mohanty             , 124,75.00,93,133.333333333,0
Ricardo L Powell,11/09/1999,IND,Cricket & Skating   ,ODI,c J Martin b R Singh               ,  37,65.50,34,108.823529412,0
Ricardo L Powell,12/09/1999,IND,Cricket & Skating   ,ODI,c M Prasad b D Mohanty             ,   6,53.60, 4,150.0,0
Ricardo L Powell,14/09/1999,IND,Cricket & Skating   ,ODI,c R Singh b N Chopra               ,  76,57.33,73,104.109589041,0
Ricardo L Powell,16/09/1999,PAK,Cricket & Skating   ,ODI,b Abdul Razzaq                     ,  12,50.86,22,54.5454545455,0
Ricardo L Powell,18/09/1999,PAK,Cricket & Skating   ,ODI,lbw b Abdul Razzaq                 ,   1,44.63, 5,20.0,0
Ricardo L Powell,19/09/1999,PAK,Cricket & Skating   ,ODI,b Shabbir Ahmed                    ,   1,39.78,14,7.14285714286,0
Ricardo L Powell,8/10/1999 ,BAN,Bangabandhu Stadium ,ODI,c Khaled Mashud b Hasibul Hussain  ,  34,39.20,23,147.826086957,0
Ricardo L Powell,9/10/1999 ,BAN,Bangabandhu Stadium ,ODI,c Enamul Haque b Khaled Mahmud     ,  21,37.55,16,131.25,0
Ricardo L Powell,13/10/1999,SRL,Sharjah Stadium     ,ODI,b M Muralitharan                   ,  15,35.67,17,88.2352941176,0
Ricardo L Powell,14/10/1999,PAK,Sharjah Stadium     ,ODI,st Moin Khan b Shoaib Malik        ,  36,35.69,36,100.0,0
Ricardo L Powell,17/10/1999,SRL,Sharjah Stadium     ,ODI,run out                            ,   0,33.14, 4,0.0,0
Ricardo L Powell,19/10/1999,PAK,Sharjah Stadium     ,ODI,c Moin Khan b Azhar Mahmood        ,   0,30.93, 3,0.0,0
Ricardo L Powell,2/01/2000 ,NZL,Eden Park           ,ODI,c R Twose b D Nash                 ,  35,31.19,30,116.666666667,0
Ricardo L Powell,4/01/2000 ,NZL,Owen Delaney Park   ,ODI,c C Cairns b D Vettori             ,  35,31.41,40,87.5,0
Ricardo L Powell,6/01/2000 ,NZL,McLean Park         ,ODI,c N Astle b C Harris               ,  11,30.28,16,68.75,0
Ricardo L Powell,8/01/2000 ,NZL,Westpac Trust Stad  ,ODI,run out                            ,   9,29.16, 8,112.5,0
Ricardo L Powell,11/01/2000,NZL,AMI Stadium         ,ODI,run out                            ,   2,27.80, 5,40.0,0
Ricardo L Powell,1/04/2000 ,ZIM,Sabina Park         ,ODI,c C Wishart b M Nkala              ,   0,26.48, 5,0.0,0
Ricardo L Powell,2/04/2000 ,ZIM,Sabina Park         ,ODI, DNB,0,26.48,0,0,0
Ricardo L Powell,12/04/2000,PAK,Arnos Vale Ground   ,ODI,c Younis Khan b Wasim Akram        ,  12,25.82,11,109.090909091,0
Ricardo L Powell,16/04/2000,PAK,National Cricket St.,ODI,not out                            ,50,28.09,36,138.888888889,1
