Robert T Robinson,5/12/1984 ,IND,Nehru Stadium (Pune),ODI,lbw b R Ghai                 ,  15,15.00, 25,60.0,0
Robert T Robinson,27/12/1984,IND,Barabati Stadium    ,ODI,b M Prabhakar                ,   1, 8.00,  3,33.3333333333,0
Robert T Robinson,20/01/1985,IND,Chinnaswamy Stadium ,ODI,c S Viswanath b Kapil Dev    ,   2, 6.00, 14,14.2857142857,0
Robert T Robinson,24/03/1985,AUS,Sharjah Stadium     ,ODI,c S Rixon b G Matthews       ,  37,13.75, 73,50.6849315068,0
Robert T Robinson,26/03/1985,PAK,Sharjah Stadium     ,ODI,b Tahir Naqqash              ,   9,12.80, 18,50.0,0
Robert T Robinson,1/06/1985 ,AUS,Edgbaston           ,ODI,c & b S O'Donnell            ,  26,15.00, 48,54.1666666667,0
Robert T Robinson,3/06/1985 ,AUS,Lord's              ,ODI,lbw b C McDermott            ,   7,13.86, 18,38.8888888889,0
Robert T Robinson,18/02/1986,WIN,Sabina Park         ,ODI,b B Patterson                ,   0,12.13,  4,0.0,0
Robert T Robinson,19/03/1986,WIN,Kensington Oval     ,ODI,c R Richardson b M Marshall  ,  23,13.33, 42,54.7619047619,0
Robert T Robinson,31/03/1986,WIN,Queen's Park        ,ODI,b M Marshall                 ,  55,17.50,107,51.4018691589,0
Robert T Robinson,2/04/1987 ,IND,Sharjah Stadium     ,ODI,c K Srikkanth b R Shastri    ,  34,19.00, 45,75.5555555556,0
Robert T Robinson,7/04/1987 ,PAK,Sharjah Stadium     ,ODI,c Manzoor Elahi b Abdul Qadir,  83,24.33,104,79.8076923077,0
Robert T Robinson,9/04/1987 ,AUS,Sharjah Stadium     ,ODI,lbw b S O'Donnell            ,   5,22.85,  4,125.0,0
Robert T Robinson,9/10/1987 ,WIN,Jinnah Stadium      ,ODI,run out                      ,  12,22.07, 35,34.2857142857,0
Robert T Robinson,12/10/1987,PAK,Pindi Club Ground   ,ODI,b Abdul Qadir                ,  33,22.80, 62,53.2258064516,0
Robert T Robinson,20/10/1987,PAK,National Stadium    ,ODI,b Abdul Qadir                ,  16,22.38, 26,61.5384615385,0
Robert T Robinson,26/10/1987,WIN,Sawai Mansingh Stad ,ODI,b B Patterson                ,  13,21.82, 19,68.4210526316,0
Robert T Robinson,30/10/1987,SRL,Nehru Stadium (Pune),ODI,b S Jeganathan               ,  55,23.67, 75,73.3333333333,0
Robert T Robinson,5/11/1987 ,IND,Wankhede Stadium    ,ODI,st K More b Maninder Singh   ,  13,23.11, 36,36.1111111111,0
Robert T Robinson,8/11/1987 ,AUS,Eden Gardens        ,ODI,lbw b C McDermott            ,   0,21.95,  1,0.0,0
Robert T Robinson,4/02/1988 ,AUS,Melbourne Cricket Gr,ODI,c A Dodemaide b M Whitney    ,  35,22.57, 51,68.6274509804,0
Robert T Robinson,9/03/1988 ,NZL,Carisbrook          ,ODI,lbw b M Snedden              ,  17,22.32, 30,56.6666666667,0
Robert T Robinson,12/03/1988,NZL,AMI Stadium         ,ODI,c E Chatfield b K Rutherford ,  44,23.26, 68,64.7058823529,0
Robert T Robinson,16/03/1988,NZL,McLean Park         ,ODI,c I Smith b M Snedden        ,  36,23.79, 48,75.0,0
Robert T Robinson,19/03/1988,NZL,Eden Park           ,ODI,c C Kuggeleijn b K Rutherford,  13,23.36, 37,35.1351351351,0
Robert T Robinson,4/09/1988 ,SRL,The Oval            ,ODI,lbw b J Ratnayeke            ,  13,22.96, 33,39.3939393939,0
