Robin A Smith,4/09/1988 ,SRL,The Oval            ,ODI,c D Kuruppu b G Labrooy        ,   9, 9.00, 13,69.2307692308,0
Robin A Smith,25/05/1989,AUS,Old Trafford        ,ODI,c & b T Alderman               ,  35,22.00, 40,87.5,0
Robin A Smith,27/05/1989,AUS,Trent Bridge        ,ODI,st I Healy b T May             ,   3,15.67,  9,33.3333333333,0
Robin A Smith,29/05/1989,AUS,Lord's              ,ODI,b C Rackeman                   ,  21,17.00, 22,95.4545454545,0
Robin A Smith,15/10/1989,SRL,Feroz Shah Kotla    ,ODI,not out                        ,81,37.25,119,68.0672268908,1
Robin A Smith,19/10/1989,AUS,Lal Bahadur Stadium ,ODI,not out                        ,24,43.25, 35,68.5714285714,1
Robin A Smith,22/10/1989,PAK,Barabati Stadium    ,ODI,c Javed Miandad b Mushtaq Ahmed,  19,38.40, 37,51.3513513514,0
Robin A Smith,25/10/1989,IND,Green Park          ,ODI,c M Azharuddin b M Prabhakar   ,   0,32.00,  5,0.0,0
Robin A Smith,27/10/1989,WIN,Roop Singh Stadium  ,ODI,c P Dujon b M Marshall         ,  65,36.71, 74,87.8378378378,0
Robin A Smith,30/10/1989,PAK,Vidarbha Cricket Gr ,ODI,b Abdul Qadir                  ,  55,39.00, 57,96.4912280702,0
Robin A Smith,14/02/1990,WIN,Queen's Park        ,ODI,not out                        ,6,39.75, 20,30.0,1
Robin A Smith,17/02/1990,WIN,Queen's Park        ,ODI, DNB,0,39.75,0,0,0
Robin A Smith,3/03/1990 ,WIN,Sabina Park         ,ODI,c M Marshall b C Hooper        ,  43,40.11, 76,56.5789473684,0
Robin A Smith,7/03/1990 ,WIN,Bourda              ,ODI,c R Richardson b C Walsh       ,  18,37.90, 46,39.1304347826,0
Robin A Smith,15/03/1990,WIN,Bourda              ,ODI,c P Dujon b I Bishop           ,   1,34.55,  5,20.0,0
Robin A Smith,3/04/1990 ,WIN,Kensington Oval     ,ODI,run out                        ,  69,37.42, 84,82.1428571429,0
Robin A Smith,23/05/1990,NZL,Headingley          ,ODI,c M Crowe b R Hadlee           , 128,44.38,168,76.1904761905,0
