Rohan S Gavaskar,18/01/2004,AUS,Brisbane Cricket Gr,ODI,not out                      ,2,    , 3,66.6666666667,1
Rohan S Gavaskar,20/01/2004,ZIM,Brisbane Cricket Gr,ODI,b H Streak                   ,  22,24.00,22,100.0,0
Rohan S Gavaskar,22/01/2004,AUS,Sydney Cricket Grnd,ODI,not out                      ,2,26.00, 2,100.0,1
Rohan S Gavaskar,24/01/2004,ZIM,Adelaide Oval      ,ODI,c A Blignaut b D Hondo       ,  54,40.00,62,87.0967741935,0
Rohan S Gavaskar,1/02/2004 ,AUS,W.A.C.A. Ground    ,ODI,b B Lee                      ,   6,28.67, 8,75.0,0
Rohan S Gavaskar,3/02/2004 ,ZIM,W.A.C.A. Ground    ,ODI,run out                      ,   4,22.50,10,40.0,0
Rohan S Gavaskar,21/08/2004,PAK,VRA Ground         ,ODI,c Abdul Razzaq b Shoaib Malik,  15,21.00,18,83.3333333333,0
Rohan S Gavaskar,23/08/2004,AUS,VRA Ground         ,ODI, DNB,0,21.00,0,0,0
Rohan S Gavaskar,1/09/2004 ,ENG,Trent Bridge       ,ODI,c P Collingwood b A Flintoff ,  20,20.83,49,40.8163265306,0
Rohan S Gavaskar,3/09/2004 ,ENG,The Oval           ,ODI,b A Giles                    ,  13,19.71,17,76.4705882353,0
Rohan S Gavaskar,19/09/2004,PAK,Edgbaston          ,ODI,c Moin Khan b Abdul Razzaq   ,  13,18.88,43,30.2325581395,0
