Ross T Lyons,27/06/2006,PAK,Grange Cricket Club ,ODI, DNB,0,    ,0,0,0
Ross T Lyons,5/08/2006 ,IRE,Cambusdoon Ground   ,ODI,not out              ,0,    , 9,0.0,1
Ross T Lyons,6/08/2006 ,NED,Cambusdoon Ground   ,ODI, DNB,0,    ,0,0,0
Ross T Lyons,15/12/2006,BAN,Zahur Ahmed Stadium ,ODI,lbw b Abdur Razzak   ,  28,28.00,38,73.6842105263,0
Ross T Lyons,17/01/2007,KEN,Mombasa Sports Grd  ,ODI,c P Ongondo b C Obuya,  15,21.50,20,75.0,0
Ross T Lyons,18/01/2007,CAN,Mombasa Sports Grd  ,ODI,not out              ,2,22.50, 1,200.0,1
Ross T Lyons,21/01/2007,KEN,Mombasa Sports Grd  ,ODI,not out              ,6,25.50, 8,75.0,1
Ross T Lyons,30/01/2007,IRE,Gymkhana Club Ground,ODI, DNB,0,25.50,0,0,0
Ross T Lyons,31/01/2007,CAN,Ruaraka Sports Club ,ODI, DNB,0,25.50,0,0,0
Ross T Lyons,2/02/2007 ,NED,Jaffrey Sports Club ,ODI, DNB,0,25.50,0,0,0
Ross T Lyons,4/02/2007 ,KEN,Gymkhana Club Ground,ODI,not out              ,5,28.00, 3,166.666666667,1
Ross T Lyons,5/02/2007 ,BER,Ruaraka Sports Club ,ODI,not out              ,0,28.00, 0,0,1
Ross T Lyons,7/02/2007 ,KEN,Gymkhana Club Ground,ODI,not out              ,23,39.50,47,48.9361702128,1
Ross T Lyons,18/08/2008,ENG,Grange Cricket Club ,ODI,not out              ,3,41.00, 1,300.0,1
Ross T Lyons,8/07/2009 ,CAN,Mannofield Park     ,ODI, DNB,0,41.00,0,0,0
Ross T Lyons,22/08/2009,IRE,Mannofield Park     ,ODI,st G Wilson b R West ,   6,29.33,13,46.1538461538,0
Ross T Lyons,15/06/2010,NED,Hazelaarweg         ,ODI, DNB,0,29.33,0,0,0
Ross T Lyons,19/06/2010,ENG,Grange Cricket Club ,ODI,b Ajmal Shahzad      ,   1,22.25, 2,50.0,0
Ross T Lyons,1/07/2010 ,NED,VRA Ground          ,ODI,not out              ,2,22.75, 3,66.6666666667,1
Ross T Lyons,3/07/2010 ,CAN,VRA Ground          ,ODI, DNB,0,22.75,0,0,0
Ross T Lyons,5/07/2010 ,IRE,Sportpark Westvliet ,ODI,not out              ,1,23.00, 2,50.0,1
Ross T Lyons,7/07/2010 ,KEN,Hazelaarweg         ,ODI, DNB,0,23.00,0,0,0
Ross T Lyons,9/07/2010 ,AFG,Hazelaarweg         ,ODI, DNB,0,23.00,0,0,0
Ross T Lyons,10/07/2010,IRE,VRA Ground          ,ODI,not out              ,0,23.00, 0,0,1
Ross T Lyons,17/08/2010,AFG,Cambusdoon Ground   ,ODI, DNB,0,23.00,0,0,0
