Sanjay B Bangar,25/01/2002,ENG,Chidambaram Stadium ,ODI,c M Trescothick b M Hoggard,   1, 1.00, 5,20.0,0
Sanjay B Bangar,7/03/2002 ,ZIM,Nahar Singh Stadium ,ODI,c T Friend b H Streak      ,   0, 0.50, 2,0.0,0
Sanjay B Bangar,10/03/2002,ZIM,Punjab Cricket Stad ,ODI,c C Wishart b G Brent      ,   0, 0.33, 1,0.0,0
Sanjay B Bangar,13/03/2002,ZIM,Nehru Stad. (Kochi) ,ODI,c D Hondo b D Marillier    ,  36, 9.25,67,53.7313432836,0
Sanjay B Bangar,15/11/2002,WIN,Sardar Patel Stadium,ODI,not out                    ,57,23.50,41,139.024390244,1
Sanjay B Bangar,18/11/2002,WIN,Reliance Stadium    ,ODI,run out                    ,  27,24.20,20,135.0,0
Sanjay B Bangar,21/11/2002,WIN,Barkatullah Khan Std,ODI,not out                    ,32,30.60,38,84.2105263158,1
Sanjay B Bangar,24/11/2002,WIN,Indira Gandhi Stad. ,ODI,lbw b C Collymore          ,   2,25.83, 8,25.0,0
Sanjay B Bangar,29/12/2002,NZL,McLean Park         ,ODI,c B McCullum b J Oram      ,   4,22.71, 5,80.0,0
Sanjay B Bangar,1/01/2003 ,NZL,AMI Stadium         ,ODI,c B McCullum b D Tuffey    ,   1,20.00, 9,11.1111111111,0
Sanjay B Bangar,11/01/2003,NZL,Eden Park           ,ODI,lbw b A Adams              ,   1,17.89, 2,50.0,0
Sanjay B Bangar,16/04/2003,BAN,Bangabandhu Stadium ,ODI,lbw b Mohammad Rafique     ,   7,16.80,11,63.6363636364,0
Sanjay B Bangar,18/04/2003,SAF,Bangabandhu Stadium ,ODI,lbw b M Ntini              ,   9,16.09,21,42.8571428571,0
Sanjay B Bangar,9/01/2004 ,AUS,Melbourne Cricket Gr,ODI,c R Ponting b I Harvey     ,   3,15.00, 5,60.0,0
Sanjay B Bangar,24/01/2004,ZIM,Adelaide Oval       ,ODI,c S Carlisle b H Streak    ,   0,13.85, 4,0.0,0
