Shem O Ngoche,16/02/2010,NED,Gymkhana Club Ground,ODI, DNB,0,   ,0,0,0
Shem O Ngoche,18/02/2010,NED,Gymkhana Club Ground,ODI,b P Borren          ,   0,0.00, 1,0.0,0
Shem O Ngoche,5/07/2010 ,AFG,VRA Ground          ,ODI,not out             ,7,7.00, 7,100.0,1
Shem O Ngoche,7/07/2010 ,SCO,Hazelaarweg         ,ODI,b M Parker          ,   2,4.50,13,15.3846153846,0
Shem O Ngoche,9/07/2010 ,CAN,Sportpark Thurlede  ,ODI,run out             ,   6,5.00, 8,75.0,0
Shem O Ngoche,23/02/2011,PAK,Mahinda Rajapaksha  ,ODI,b Umar Gul          ,   0,3.75, 1,0.0,0
Shem O Ngoche,1/03/2011 ,SRL,Premadasa Stadium   ,ODI,b S Malinga         ,   0,3.00, 1,0.0,0
Shem O Ngoche,7/03/2011 ,CAN,Feroz Shah Kotla    ,ODI,not out             ,1,3.20, 3,33.3333333333,1
Shem O Ngoche,13/03/2011,AUS,Chinnaswamy Stadium ,ODI, DNB,0,3.20,0,0,0
Shem O Ngoche,20/03/2011,ZIM,Eden Gardens        ,ODI,c C Mpofu b A Cremer,   9,4.17,21,42.8571428571,0
