Stuart G Law,2/12/1994 ,ZIM,W.A.C.A. Ground     ,ODI,c D Houghton b G Martin            ,   7, 7.00, 19,36.8421052632,0
Stuart G Law,6/12/1994 ,ENG,Sydney Cricket Grnd ,ODI,not out                            ,0, 7.00,  0,0,1
Stuart G Law,8/12/1994 ,ZIM,Bellerive Oval      ,ODI,c G Flower b M Dekker              , 110,58.50,135,81.4814814815,0
Stuart G Law,10/01/1995,ENG,Melbourne Cricket Gr,ODI,c & b S Udal                       ,  17,44.67, 28,60.7142857143,0
Stuart G Law,17/12/1995,WIN,Adelaide Oval       ,ODI,c C Hooper b R Harper              ,  13,36.75, 19,68.4210526316,0
Stuart G Law,19/12/1995,WIN,Melbourne Cricket Gr,ODI,st C Browne b C Hooper             ,  74,44.20, 86,86.0465116279,0
Stuart G Law,21/12/1995,SRL,Sydney Cricket Grnd ,ODI,run out                            ,   7,38.00, 10,70.0,0
Stuart G Law,1/01/1996 ,WIN,Sydney Cricket Grnd ,ODI,c C Browne b C Ambrose             ,  10,34.00, 14,71.4285714286,0
Stuart G Law,7/01/1996 ,WIN,Brisbane Cricket Gr ,ODI,c & b P Simmons                    ,  62,37.50, 99,62.6262626263,0
Stuart G Law,9/01/1996 ,SRL,Melbourne Cricket Gr,ODI,c H Tillakaratne b G Wickremasinghe,   8,34.22, 15,53.3333333333,0
Stuart G Law,12/01/1996,SRL,W.A.C.A. Ground     ,ODI,run out                            ,   9,31.70, 11,81.8181818182,0
Stuart G Law,16/01/1996,SRL,Melbourne Cricket Gr,ODI,c A Ranatunga b K Pushpakumara     ,  47,33.09, 69,68.115942029,0
Stuart G Law,18/01/1996,SRL,Melbourne Cricket Gr,ODI,c R Kaluwitharana b K Pushpakumara ,   0,30.33,  1,0.0,0
Stuart G Law,20/01/1996,SRL,Sydney Cricket Grnd ,ODI,b W Vaas                           ,  21,29.62, 29,72.4137931034,0
Stuart G Law,23/02/1996,KEN,Indira Priyadarshini,ODI,run out                            ,  35,30.00, 30,116.666666667,0
Stuart G Law,27/02/1996,IND,Wankhede Stadium    ,ODI,c & b A Kumble                     ,  21,29.40, 31,67.7419354839,0
Stuart G Law,1/03/1996 ,ZIM,Vidarbha Cricket Gr ,ODI, DNB,0,29.40,0,0,0
Stuart G Law,4/03/1996 ,WIN,Sawai Mansingh Stad ,ODI,not out                            ,12,30.20, 12,100.0,1
Stuart G Law,11/03/1996,NZL,Chidambaram Stadium ,ODI,not out                            ,42,33.00, 30,140.0,1
Stuart G Law,14/03/1996,WIN,Punjab Cricket Stad ,ODI,run out                            ,  72,35.44,105,68.5714285714,0
Stuart G Law,17/03/1996,SRL,Gaddafi Stadium     ,ODI,c P de Silva b S Jayasuriya        ,  22,34.65, 30,73.3333333333,0
Stuart G Law,26/08/1996,ZIM,Premadasa Stadium   ,ODI,b H Streak                         ,  20,33.83, 24,83.3333333333,0
Stuart G Law,30/08/1996,SRL,Premadasa Stadium   ,ODI,c H Tillakaratne b H Dharmasena    ,  13,32.74,  8,162.5,0
Stuart G Law,6/09/1996 ,IND,Sinhalese Sports Gr ,ODI,c R Dravid b B Venkatesh Prasad    ,  67,34.45, 70,95.7142857143,0
Stuart G Law,7/09/1996 ,SRL,Premadasa Stadium   ,ODI,c M Muralitharan b H Dharmasena    ,  31,34.29, 37,83.7837837838,0
Stuart G Law,19/10/1996,SAF,Nehru Stad (Indore) ,ODI,c & b D Crookes                    ,   1,32.77,  2,50.0,0
Stuart G Law,21/10/1996,IND,Chinnaswamy Stadium ,ODI,lbw b A Kumble                     ,   5,31.57,  8,62.5,0
Stuart G Law,25/10/1996,SAF,Nahar Singh Stadium ,ODI,run out                            ,  52,32.42, 51,101.960784314,0
Stuart G Law,1/11/1996 ,SAF,Nehru Stad (Guwahat),ODI,c D Cullinan b L Klusener          ,  22,32.00, 17,129.411764706,0
Stuart G Law,3/11/1996 ,IND,Punjab Cricket Stad ,ODI,c M Azharuddin b R Singh           ,   0,30.77,  1,0.0,0
Stuart G Law,6/12/1996 ,WIN,Melbourne Cricket Gr,ODI,b C Hooper                         ,  21,30.41, 38,55.2631578947,0
Stuart G Law,8/12/1996 ,WIN,Sydney Cricket Grnd ,ODI, DNB,0,30.41,0,0,0
Stuart G Law,1/01/1997 ,PAK,Sydney Cricket Grnd ,ODI,c Zahoor Elahi b Mushtaq Ahmed     ,  23,30.14, 32,71.875,0
Stuart G Law,5/01/1997 ,WIN,Brisbane Cricket Gr ,ODI,c B Lara b I Bishop                ,  93,32.31,107,86.9158878505,0
Stuart G Law,7/01/1997 ,PAK,Bellerive Oval      ,ODI,c Ijaz Ahmed b Mujahid Jamshed     ,  21,31.93, 48,43.75,0
Stuart G Law,12/01/1997,WIN,W.A.C.A. Ground     ,ODI,c & b J Adams                      ,  14,31.35, 26,53.8461538462,0
Stuart G Law,16/01/1997,PAK,Melbourne Cricket Gr,ODI,c Mohammad Wasim b Waqar Younis    ,  28,31.25, 39,71.7948717949,0
Stuart G Law,29/03/1997,SAF,Buffalo Park        ,ODI,c J Kallis b P Symcox              ,  50,31.82, 68,73.5294117647,0
Stuart G Law,31/03/1997,SAF,St George's Park    ,ODI,c J Rhodes b P Symcox              ,  33,31.85, 52,63.4615384615,0
Stuart G Law,2/04/1997 ,SAF,Newlands            ,ODI,c D Richardson b R Bryson          ,   4,31.06,  8,50.0,0
Stuart G Law,5/04/1997 ,SAF,Kingsmead           ,ODI,c J Kallis b S Pollock             ,   0,30.19, 14,0.0,0
Stuart G Law,8/04/1997 ,SAF,The Wanderers Stad  ,ODI,c D Crookes b W Cronje             ,  10,29.65, 17,58.8235294118,0
Stuart G Law,10/04/1997,SAF,Supersport Park     ,ODI,b W Cronje                         ,  31,29.68, 40,77.5,0
Stuart G Law,13/04/1997,SAF,OUTsurance Oval     ,ODI,c L Klusener b W Cronje            ,  17,29.36, 25,68.0,0
Stuart G Law,11/01/1998,SAF,Brisbane Cricket Gr ,ODI,c D Richardson b A Donald          ,  27,29.30, 46,58.6956521739,0
Stuart G Law,14/01/1998,NZL,Sydney Cricket Grnd ,ODI,c A Parore b C Cairns              ,  12,28.88, 15,80.0,0
Stuart G Law,18/01/1998,SAF,W.A.C.A. Ground     ,ODI,c D Richardson b S Pollock         ,   1,28.21, 10,10.0,0
Stuart G Law,8/02/1998 ,NZL,AMI Stadium         ,ODI, DNB,0,28.21,0,0,0
Stuart G Law,10/02/1998,NZL,Basin Reserve       ,ODI,not out                            ,13,28.52, 12,108.333333333,1
Stuart G Law,12/02/1998,NZL,McLean Park         ,ODI,c D Nash b C Cairns                ,   1,27.88,  4,25.0,0
Stuart G Law,14/02/1998,NZL,Eden Park           ,ODI,c S Fleming b C McMillan           ,   7,27.41, 16,43.75,0
Stuart G Law,24/01/1999,SRL,Adelaide Oval       ,ODI,run out                            ,   8,26.98, 11,72.7272727273,0
Stuart G Law,26/01/1999,ENG,Adelaide Oval       ,ODI,c A Stewart b M Ealham             ,   3,26.46,  6,50.0,0
Stuart G Law,13/02/1999,ENG,Melbourne Cricket Gr,ODI,not out                            ,20,26.89, 18,111.111111111,1
