Travis M Dowlin,26/07/2009,BAN,Windsor Park        ,ODI,b Abdur Razzak                ,  10, 10.00, 14,71.4285714286,0
Travis M Dowlin,28/07/2009,BAN,Windsor Park        ,ODI,not out                       ,100,110.00,117,85.4700854701,1
Travis M Dowlin,31/07/2009,BAN,Warner Park         ,ODI,run out                       ,  38, 74.00, 58,65.5172413793,0
Travis M Dowlin,23/09/2009,PAK,The Wanderers Stad  ,ODI,c Kamran Akmal b Mohammad Amir,   0, 49.33,  2,0.0,0
Travis M Dowlin,26/09/2009,AUS,The Wanderers Stad  ,ODI,c T Paine b B Lee             ,  55, 50.75, 87,63.2183908046,0
Travis M Dowlin,30/09/2009,IND,The Wanderers Stad  ,ODI,b M Dhoni                     ,  14, 43.40, 33,42.4242424242,0
Travis M Dowlin,7/02/2010 ,AUS,Melbourne Cricket Gr,ODI,c C White b D Bollinger       ,   1, 36.33,  4,25.0,0
Travis M Dowlin,9/02/2010 ,AUS,Adelaide Oval       ,ODI,c B Haddin b C McKay          ,   2, 31.43, 16,12.5,0
Travis M Dowlin,12/02/2010,AUS,Sydney Cricket Grnd ,ODI,not out                       ,0, 31.43,  0,0,1
Travis M Dowlin,14/02/2010,AUS,Brisbane Cricket Gr ,ODI,c T Paine b R Harris          ,   8, 28.50, 16,50.0,0
Travis M Dowlin,19/02/2010,AUS,Melbourne Cricket Gr,ODI,lbw b D Bollinger             ,   0, 25.33,  1,0.0,0
