Vikram S Solanki,23/01/2000,SAF,OUTsurance Oval     ,ODI, DNB,0,    ,0,0,0
Vikram S Solanki,26/01/2000,SAF,Newlands            ,ODI,c J Kallis b L Klusener              ,   7, 7.00, 20,35.0,0
Vikram S Solanki,28/01/2000,ZIM,Newlands            ,ODI,c M Goodwin b H Olonga               ,  14,10.50, 19,73.6842105263,0
Vikram S Solanki,30/01/2000,ZIM,De Beers Diamond Ov.,ODI,not out                              ,16,18.50, 14,114.285714286,1
Vikram S Solanki,4/02/2000 ,SAF,Buffalo Park        ,ODI,c S Pollock b J Kallis               ,  10,15.67, 18,55.5555555556,0
Vikram S Solanki,16/02/2000,ZIM,Queens Sports Club  ,ODI,b G Flower                           ,  11,14.50, 27,40.7407407407,0
Vikram S Solanki,18/02/2000,ZIM,Queens Sports Club  ,ODI,c H Streak b G Flower                ,  24,16.40, 35,68.5714285714,0
Vikram S Solanki,20/02/2000,ZIM,Harare Sports Club  ,ODI,c S Carlisle b G Brent               ,  14,16.00, 20,70.0,0
Vikram S Solanki,17/06/2003,PAK,Old Trafford        ,ODI,b Mohammad Hafeez                    ,  36,18.86, 36,100.0,0
Vikram S Solanki,20/06/2003,PAK,The Oval            ,ODI,not out                              ,40,24.57, 49,81.6326530612,1
Vikram S Solanki,22/06/2003,PAK,Lord's              ,ODI,c Rashid Latif b Mohammad Sami       ,  12,23.00, 15,80.0,0
Vikram S Solanki,26/06/2003,ZIM,Trent Bridge        ,ODI,c D Ebrahim b H Streak               ,   1,20.56,  3,33.3333333333,0
Vikram S Solanki,28/06/2003,SAF,The Oval            ,ODI,c J Kallis b M Ntini                 , 106,29.10,108,98.1481481481,0
Vikram S Solanki,1/07/2003 ,ZIM,Headingley          ,ODI,c G Flower b H Streak                ,   8,27.18,  9,88.8888888889,0
Vikram S Solanki,3/07/2003 ,SAF,Old Trafford        ,ODI,c M Boucher b M Ntini                ,   4,25.25,  9,44.4444444444,0
Vikram S Solanki,6/07/2003 ,ZIM,Royal & Sun All. Gr ,ODI,c T Taibu b H Streak                 ,   7,23.85, 23,30.4347826087,0
Vikram S Solanki,8/07/2003 ,SAF,Edgbaston           ,ODI,c A Nel b M Ntini                    ,   2,22.29, 11,18.1818181818,0
Vikram S Solanki,12/07/2003,SAF,Lord's              ,ODI,b A Hall                             ,  50,24.13, 58,86.2068965517,0
Vikram S Solanki,7/11/2003 ,BAN,M A Aziz Stadium    ,ODI,c Jamaluddin Ahmed b Mushfiqur Rahman,  10,23.25, 15,66.6666666667,0
Vikram S Solanki,10/11/2003,BAN,Bangabandhu Stadium ,ODI,lbw b Tapash Baisya                  ,   0,21.88,  9,0.0,0
Vikram S Solanki,12/11/2003,BAN,Bangabandhu Stadium ,ODI,c Khaled Mashud b Mushfiqur Rahman   ,   1,20.72,  4,25.0,0
Vikram S Solanki,1/09/2004 ,IND,Trent Bridge        ,ODI,lbw b I Pathan                       ,  52,22.37, 75,69.3333333333,0
Vikram S Solanki,3/09/2004 ,IND,The Oval            ,ODI,c R Dravid b V Sehwag                ,  48,23.65, 56,85.7142857143,0
Vikram S Solanki,5/09/2004 ,IND,Lord's              ,ODI,c Harbhajan Singh b A Nehra          ,   9,22.95, 12,75.0,0
Vikram S Solanki,10/09/2004,ZIM,Edgbaston           ,ODI,lbw b V Sibanda                      ,  62,24.73, 81,76.5432098765,0
Vikram S Solanki,17/09/2004,SRL,The Rose Bowl       ,ODI,c K Sangakkara b M Maharoof          ,  18,24.43, 26,69.2307692308,0
Vikram S Solanki,20/09/2004,AUS,Edgbaston           ,ODI,lbw b J Gillespie                    ,   7,23.71, 18,38.8888888889,0
Vikram S Solanki,25/09/2004,WIN,The Oval            ,ODI,c C Browne b I Bradshaw              ,   4,22.92, 13,30.7692307692,0
Vikram S Solanki,28/11/2004,ZIM,Harare Sports Club  ,ODI,c T Panyangara b D Hondo             ,   7,22.31, 19,36.8421052632,0
Vikram S Solanki,1/12/2004 ,ZIM,Harare Sports Club  ,ODI,st T Taibu b P Utseya                ,  42,23.04, 71,59.1549295775,0
Vikram S Solanki,4/12/2004 ,ZIM,Queens Sports Club  ,ODI,c D Hondo b S Matsikenyeri           , 100,25.79, 93,107.52688172,0
Vikram S Solanki,4/02/2005 ,SAF,St George's Park    ,ODI,c A de Villiers b A Nel              ,  66,27.17, 87,75.8620689655,0
Vikram S Solanki,9/02/2005 ,SAF,Buffalo Park        ,ODI,run out                              ,  19,26.90, 16,118.75,0
Vikram S Solanki,11/02/2005,SAF,Kingsmead           ,ODI, DNB,0,26.90,0,0,0
Vikram S Solanki,13/02/2005,SAF,Supersport Park     ,ODI,c G Smith b N Boje                   ,   5,26.19, 13,38.4615384615,0
Vikram S Solanki,16/06/2005,BAN,The Oval            ,ODI, DNB,0,26.19,0,0,0
Vikram S Solanki,19/06/2005,AUS,Royal & Sun All. Gr ,ODI,run out                              ,  13,25.78, 14,92.8571428571,0
Vikram S Solanki,23/06/2005,AUS,Riverside Ground    ,ODI,c R Ponting b G Hogg                 ,  34,26.03, 69,49.2753623188,0
Vikram S Solanki,26/06/2005,BAN,Headingley          ,ODI,lbw b Mohammad Rafique               ,   8,25.50, 25,32.0,0
Vikram S Solanki,7/07/2005 ,AUS,Headingley          ,ODI, DNB,0,25.50,0,0,0
Vikram S Solanki,12/07/2005,AUS,The Oval            ,ODI,not out                              ,53,27.06, 63,84.126984127,1
Vikram S Solanki,10/12/2005,PAK,Gaddafi Stadium     ,ODI, DNB,0,27.06,0,0,0
Vikram S Solanki,12/12/2005,PAK,Gaddafi Stadium     ,ODI,not out                              ,39,28.21, 48,81.25,1
Vikram S Solanki,15/12/2005,PAK,National Stadium    ,ODI,c Younis Khan b Naved-ul-Hasan       ,   0,27.40,  2,0.0,0
Vikram S Solanki,19/12/2005,PAK,Rawalpindi Stadium  ,ODI,b Shoaib Akhtar                      ,   6,26.81, 14,42.8571428571,0
Vikram S Solanki,21/12/2005,PAK,Rawalpindi Stadium  ,ODI,c Younis Khan b Shahid Afridi        ,  49,27.41, 86,56.976744186,0
Vikram S Solanki,3/04/2006 ,IND,Nehru Stad (Margao) ,ODI,c Yuvraj Singh b Harbhajan Singh     ,  10,26.95, 20,50.0,0
Vikram S Solanki,6/04/2006 ,IND,Nehru Stad. (Kochi) ,ODI,b R Powar                            ,  12,26.56, 20,60.0,0
Vikram S Solanki,12/04/2006,IND,Keenan Stadium      ,ODI,b R Powar                            ,   7,26.08,  9,77.7777777778,0
Vikram S Solanki,28/06/2006,SRL,Old Trafford        ,ODI,st K Sangakkara b C Bandara          ,  10,25.68, 18,55.5555555556,0
Vikram S Solanki,1/07/2006 ,SRL,Headingley          ,ODI,not out                              ,44,26.76, 34,129.411764706,1
