William F Stelling,4/07/2006 ,SRL,VRA Ground          ,ODI,c S Malinga b M Maharoof      ,  28,28.00,50,56.0,0
William F Stelling,6/07/2006 ,SRL,VRA Ground          ,ODI,not out                       ,13,41.00,21,61.9047619048,1
William F Stelling,6/08/2006 ,SCO,Cambusdoon Ground   ,ODI,not out                       ,10,51.00,12,83.3333333333,1
William F Stelling,8/08/2006 ,IRE,Cambusdoon Ground   ,ODI,c N O'Brien b D Langford-Smith,   0,25.50, 1,0.0,0
William F Stelling,28/11/2006,BER,Senwes Park         ,ODI, DNB,0,25.50,0,0,0
William F Stelling,1/12/2006 ,CAN,Willowmoore Park    ,ODI,not out                       ,39,45.00,34,114.705882353,1
William F Stelling,30/01/2007,CAN,Ruaraka Sports Club ,ODI, DNB,0,45.00,0,0,0
William F Stelling,31/01/2007,KEN,Gymkhana Club Ground,ODI,b J Kamande                   ,  24,38.00,66,36.3636363636,0
William F Stelling,2/02/2007 ,SCO,Jaffrey Sports Club ,ODI,b P Hoffmann                  ,  44,39.50,45,97.7777777778,0
William F Stelling,16/03/2007,SAF,Warner Park         ,ODI,not out                       ,1,39.75, 4,25.0,1
William F Stelling,22/03/2007,SCO,Warner Park         ,ODI, DNB,0,39.75,0,0,0
William F Stelling,3/07/2007 ,CAN,Cricket & Skating   ,ODI,run out                       ,   7,33.20,13,53.8461538462,0
William F Stelling,10/07/2007,WIN,Clontarf Cricket Cl ,ODI,b D Smith                     ,   4,28.33,11,36.3636363636,0
William F Stelling,11/07/2007,IRE,Civil Service C C   ,ODI,not out                       ,10,30.00,15,66.6666666667,1
William F Stelling,13/07/2007,SCO,Civil Service C C   ,ODI, DNB,0,30.00,0,0,0
