 Sheik F A F Bacchus,Bacchus, Sheik F A F, West Indies,19,29,  
 Adam M Bacher,Bacher, Adam M, South Africa,19,13,  
 Aron A Bacher,Bacher, Aron A, South Africa,12,  ,  
 Hemang K Badani,Badani, Hemang K, India,4,40,  
 Clayvel L Badcock,Badcock, Clayvel L, Australia,7,  ,  
 Frederick T Badcock,Badcock, Frederick T, New Zealand,7,  ,  
 Subramaniam Badrinath,Badrinath, Subramaniam, India,2,7,1
 Ashish Bagai,Bagai, Ashish, Canada,  ,60,7
 Sairaj V Bahutule,Bahutule, Sairaj V, India,2,8,  
 Leonard Baichan,Baichan, Leonard, West Indies,3,  ,  
 Harvir S Baidwan,Baidwan, Harvir S, Canada,  ,28,11
 Abbas A Baig,Baig, Abbas A, India,10,  ,  
 Mark D Bailey,Bailey, Mark D, New Zealand,  ,1,  
 Robert J Bailey,Bailey, Robert J, England,4,4,  
 Trevor E Bailey,Bailey, Trevor E, England,61,  ,  
 David L Bairstow,Bairstow, David L, England,4,21,  
 Jonathan M Bairstow,Bairstow, Jonathan M, England,  ,6,3
 Lionel S Baker,Baker, Lionel S, West Indies,4,10,3
 Alfred H Bakewell,Bakewell, Alfred H, England,6,  ,  
 Paul-Jan Bakker,Bakker, Paul-Jan, Netherlands,  ,5,  
 Showkat Baksh,Baksh, Showkat, Canada,  ,1,  
 Lakshmipathy Balaji,Balaji, Lakshmipathy, India,8,30,  
 W Dorakanti Balaji Rao,Balaji Rao, W Dorakanti, Canada,  ,10,4
 Xenophon C Balaskas,Balaskas, Xenophon C, South Africa,9,  ,  
 Andrew Balbirnie,Balbirnie, Andrew, Ireland,  ,4,  
 John C Balderstone,Balderstone, John C, England,2,  ,  
 C Malinga Bandara,Bandara, C Malinga, Sri Lanka,8,31,4
 M R C Niroshan Bandarathilake,Bandarathilake, M R C Niroshan, Sri Lanka,7,3,  
 Shute N Banerjee,Banerjee, Shute N, India,1,  ,  
 Subroto T Banerjee,Banerjee, Subroto T, India,1,6,  
 Sudangsu A Banerjee,Banerjee, Sudangsu A, India,1,  ,  
 Sanjay B Bangar,Bangar, Sanjay B, India,12,15,  
 Omari A C Banks,Banks, Omari A C, West Indies,10,5,  
 Alexander C Bannerman,Bannerman, Alexander C, Australia,28,  ,  
 Charles Bannerman,Bannerman, Charles, Australia,3,  ,  
 Eldine A E Baptiste,Baptiste, Eldine A E, West Indies,10,43,  
 Mohammed Baqua Jilani,Baqua Jilani, Mohammed, India,1,  ,  
 Adrian Barath,Barath, Adrian, West Indies,7,10,2
 Richard T Barber,Barber, Richard T, New Zealand,1,  ,  
 Robert W Barber,Barber, Robert W, England,28,  ,  
 Wilfred Barber,Barber, Wilfred, England,2,  ,  
 Warren Bardsley,Bardsley, Warren, Australia,41,  ,  
 Edgar J Barlow,Barlow, Edgar J, South Africa,30,  ,  
 Graham D Barlow,Barlow, Graham D, England,3,6,  
 Richard G Barlow,Barlow, Richard G, England,17,  ,  
 Sidney G Barnes,Barnes, Sidney G, Australia,13,  ,  
 Sydney F Barnes,Barnes, Sydney F, England,27,  ,  
 William Barnes,Barnes, William, England,21,  ,  
 Benjamin A Barnett,Barnett, Benjamin A, Australia,4,  ,  
 Charles J Barnett,Barnett, Charles J, England,20,  ,  
 Geoffrey E F Barnett,Barnett, Geoffrey E F, Canada,  ,22,5
 Kim J Barnett,Barnett, Kim J, England,4,1,  
 Christopher D Barnwell,Barnwell, Christopher D, West Indies,  ,  ,4
 Frederick Barratt,Barratt, Frederick, England,5,  ,  
 Wesley Barresi,Barresi, Wesley, Netherlands,  ,19,  
 Arthur G Barrett,Barrett, Arthur G, West Indies,6,  ,  
 John E Barrett,Barrett, John E, Australia,2,  ,  
 Kenneth F Barrington,Barrington, Kenneth F, England,82,  ,  
 Ivan Barrow,Barrow, Ivan, West Indies,11,  ,  
 Edward L Bartlett,Bartlett, Edward L, West Indies,5,  ,  
 Gary A Bartlett,Bartlett, Gary A, New Zealand,10,  ,  
 Paul T Barton,Barton, Paul T, New Zealand,7,  ,  
 Victor A Barton,Barton, Victor A, England,1,  ,  
 Miles C Bascombe,Bascombe, Miles C, West Indies,  ,  ,1
 Oronde Bascombe,Bascombe, Oronde, Bermuda,  ,6,1
 Dwight M Basden,Basden, Dwight M, Bermuda,  ,2,  
 Basit Ali,Basit Ali,, Pakistan,19,50,  
 Trevin C Bastiampillai,Bastiampillai, Trevin C, Canada,  ,11,2
 William Bates,Bates, William, England,15,  ,  
 Gareth J Batty,Batty, Gareth J, England,7,10,1
 Indika P P Batuwitarachchi,Batuwitarachchi, Indika P P, United Arab Emirates,  ,2,  
 Carlton S Baugh,Baugh, Carlton S, West Indies,16,42,1
 Harold V Baumgartner,Baumgartner, Harold V, South Africa,1,  ,  
 Bazid Khan,Bazid Khan,, Pakistan,1,5,  
 George Bean,Bean, George, England,3,  ,  
 Donald D Beard,Beard, Donald D, New Zealand,4,  ,  
 Graeme R Beard,Beard, Graeme R, Australia,3,2,  
 Rolland Beaumont,Beaumont, Rolland, South Africa,5,  ,  
 John E F Beck,Beck, John E F, New Zealand,8,  ,  
 Atul C Bedade,Bedade, Atul C, India,  ,13,  
 Bishen S Bedi,Bedi, Bishen S, India,67,10,  
 Alexander V Bedser,Bedser, Alexander V, England,51,  ,  
 Michael A Beer,Beer, Michael A, Australia,1,  ,  
 Denis W Begbie,Begbie, Denis W, South Africa,5,  ,  
 Alexander J Bell,Bell, Alexander J, South Africa,16,  ,  
 Ian R Bell,Bell, Ian R, England,69,108,7
 Matthew D Bell,Bell, Matthew D, New Zealand,18,7,  
 William Bell,Bell, William, New Zealand,2,  ,  
 John Benaud,Benaud, John, Australia,3,  ,  
 Richard Benaud,Benaud, Richard, Australia,63,  ,  
 Joseph E Benjamin,Benjamin, Joseph E, England,1,2,  
 Kenneth C G Benjamin,Benjamin, Kenneth C G, West Indies,26,26,  
 Winston K M Benjamin,Benjamin, Winston K M, West Indies,21,85,  
 Dale M Benkenstein,Benkenstein, Dale M, South Africa,  ,23,  
 Sulieman J Benn,Benn, Sulieman J, West Indies,17,25,17
 Hamish K Bennett,Bennett, Hamish K, New Zealand,1,12,  
 Murray J Bennett,Bennett, Murray J, Australia,3,8,  
 Mark R Benson,Benson, Mark R, England,1,1,  
 David E Bernard,Bernard, David E, West Indies,3,20,1
 Richard D Berrington,Berrington, Richard D, Scotland,  ,20,8
 Robert Berry,Berry, Robert, England,2,  ,  
 Brandon J Bess,Bess, Brandon J, West Indies,1,  ,  
 Carlisle A Best,Best, Carlisle A, West Indies,8,24,  
 Tino L Best,Best, Tino L, West Indies,14,12,  
 Nelson Betancourt,Betancourt, Nelson, West Indies,1,  ,  
 Michael G Bevan,Bevan, Michael G, Australia,18,232,  
 Amit Bhandari,Bhandari, Amit, India,  ,2,  
 Prakash Bhandari,Bhandari, Prakash, India,3,  ,  
 Vijay R R Bhardwaj,Bhardwaj, Vijay R R, India,3,10,  
 Adwai R Bhat,Bhat, Adwai R, India,2,  ,  
 Rustam A Bhatti,Bhatti, Rustam A, Canada,  ,1,  
