 John W D'Arcy,D'Arcy, John W, New Zealand,5,  ,  
 Basil L D'Oliveira,D'Oliveira, Basil L, England,44,4,  
 Antao D'Souza,D'Souza, Antao, Pakistan,6,  ,  
 Oscar C Da Costa,Da Costa, Oscar C, West Indies,5,  ,  
 Keith M Dabengwa,Dabengwa, Keith M, Zimbabwe,3,37,8
 Vijay Dahiya,Dahiya, Vijay, India,2,19,  
 Adam C Dale,Dale, Adam C, Australia,2,30,  
 Anil Dalpat,Dalpat, Anil, Pakistan,9,15,  
 James W M Dalrymple,Dalrymple, James W M, England,  ,27,3
 Eric L Dalton,Dalton, Eric L, South Africa,15,  ,  
 Hemchandra T Dani,Dani, Hemchandra T, India,1,  ,  
 Wayne W Daniel,Daniel, Wayne W, West Indies,10,18,  
 Joseph Darling,Darling, Joseph, Australia,34,  ,  
 Leonard S Darling,Darling, Leonard S, Australia,12,  ,  
 Warrick M Darling,Darling, Warrick M, Australia,14,18,  
 Shiv S Das,Das, Shiv S, India,23,4,  
 Deep Dasgupta,Dasgupta, Deep, India,8,5,  
 Pubudu B Dassanayake,Dassanayake, Pubudu B, Sri Lanka,11,16,  
 Joshua H Davey,Davey, Joshua H, Scotland,  ,8,  
 Noel A David,David, Noel A, India,  ,4,  
 Ramesh R David,David, Ramesh R, Canada,  ,4,4
 Alan K Davidson,Davidson, Alan K, Australia,44,  ,  
 Alec G Davies,Davies, Alec G, Scotland,  ,5,  
 Eric Q Davies,Davies, Eric Q, South Africa,5,  ,  
 Sean G Davies,Davies, Sean G, Zimbabwe,  ,4,  
 Steven M Davies,Davies, Steven M, England,  ,8,5
 Bryan A Davis,Davis, Bryan A, West Indies,4,  ,  
 Charles A Davis,Davis, Charles A, West Indies,15,  ,  
 Heath Te-Ihi-O-Te-Ra Davis,Davis, Heath Te-Ihi-O-Te-Ra, New Zealand,5,11,  
 Ian C Davis,Davis, Ian C, Australia,15,3,  
 Simon P Davis,Davis, Simon P, Australia,1,39,  
 Winston W Davis,Davis, Winston W, West Indies,15,35,  
 John M Davison,Davison, John M, Canada,  ,32,5
 Dawlat Ahmadzai,Dawlat Ahmadzai,, Afghanistan,  ,3,2
 Dawlat Zadran,Dawlat Zadran,, Afghanistan,  ,2,  
 Jawad J Dawood,Dawood, Jawad J, Canada,  ,2,  
 Alan C Dawson,Dawson, Alan C, South Africa,2,19,  
 Edward W Dawson,Dawson, Edward W, England,5,  ,  
 Oscar C Dawson,Dawson, Oscar C, South Africa,9,  ,  
 Richard K J Dawson,Dawson, Richard K J, England,7,  ,  
 Ronald G De Alwis,De Alwis, Ronald G, Sri Lanka,11,31,  
 Zander de Bruyn,de Bruyn, Zander, South Africa,3,  ,  
 Frank I De Caires,De Caires, Frank I, West Indies,3,  ,  
 James H De Courcy,De Courcy, James H, Australia,3,  ,  
 Phillip A J De Freitas,De Freitas, Phillip A J, England,44,103,  
 Richard P De Groen,De Groen, Richard P, New Zealand,5,12,  
 Nicholas A De Groot,De Groot, Nicholas A, Canada,  ,6,  
 Tom N de Grooth,de Grooth, Tom N, Netherlands,  ,31,6
 Timotheus B M de Leede,de Leede, Timotheus B M, Netherlands,  ,29,  
 Ashantha L F De Mel,De Mel, Ashantha L F, Sri Lanka,17,57,  
 Samantha I De Saram,De Saram, Samantha I, Sri Lanka,4,15,1
 Ashley M de Silva,de Silva, Ashley M, Sri Lanka,3,4,  
 Dandeniyage S De Silva,De Silva, Dandeniyage S, Sri Lanka,12,41,  
 Deva L S De Silva,De Silva, Deva L S, Sri Lanka,  ,2,  
 Ellawalakankanamage De Silva,De Silva, Ellawalakankanamage, Sri Lanka,10,28,  
 Ginigalgodage R A de Silva,de Silva, Ginigalgodage R A, Sri Lanka,4,6,  
 Granville N De Silva,De Silva, Granville N, Sri Lanka,  ,4,  
 Karunakalage S C de Silva,de Silva, Karunakalage S C, Sri Lanka,8,38,  
 Pinnaduwage A de Silva,de Silva, Pinnaduwage A, Sri Lanka,93,308,  
 Sanjeewa K L de Silva,de Silva, Sanjeewa K L, Sri Lanka,3,11,  
 Weddikkara R S de Silva,de Silva, Weddikkara R S, Sri Lanka,3,  ,  
 Abraham B de Villiers,de Villiers, Abraham B, South Africa,67,119,33
 Petrus S De Villiers,De Villiers, Petrus S, South Africa,18,83,  
 Friedel de Wet,de Wet, Friedel, South Africa,2,  ,  
 Abzal S Dean,Dean, Abzal S, Canada,  ,  ,1
 Harry Dean,Dean, Harry, England,3,  ,  
 Hubert G Deane,Deane, Hubert G, South Africa,17,  ,  
