 Richard S Gabriel,Gabriel, Richard S, West Indies,  ,11,  
 Chandraskhar V Gadkari,Gadkari, Chandraskhar V, India,6,  ,  
 Anshuman D Gaekwad,Gaekwad, Anshuman D, India,40,15,  
 Dattajirao K Gaekwad,Gaekwad, Dattajirao K, India,11,  ,  
 Hiralal G Gaekwad,Gaekwad, Hiralal G, India,1,  ,  
 Indika S Gallage,Gallage, Indika S, Sri Lanka,1,3,  
 Jason E R Gallian,Gallian, Jason E R, England,3,  ,  
 Norman Gallichan,Gallichan, Norman, New Zealand,1,  ,  
 Janak C Gamage,Gamage, Janak C, Sri Lanka,  ,4,  
 Gautam Gambhir,Gambhir, Gautam, India,42,119,22
 Dennis Gamsy,Gamsy, Dennis, South Africa,2,  ,  
 Devang J Gandhi,Gandhi, Devang J, India,4,3,  
 Ashok Gandotra,Gandotra, Ashok, India,2,  ,  
 Withanaarchchige C A Ganegama,Ganegama, Withanaarchchige C A, Sri Lanka,  ,4,  
 Doddanarasiah Ganesh,Ganesh, Doddanarasiah, India,4,1,  
 Darren Ganga,Ganga, Darren, West Indies,48,35,1
 Sourav C Ganguly,Ganguly, Sourav C, India,113,311,  
 John B Gannon,Gannon, John B, Australia,3,  ,  
 Andrew G Ganteaume,Ganteaume, Andrew G, West Indies,1,  ,  
 Joel Garner,Garner, Joel, West Indies,58,98,  
 Thomas W Garrett,Garrett, Thomas W, Australia,19,  ,  
 Leon V Garrick,Garrick, Leon V, West Indies,1,3,  
 Trevor N Garwe,Garwe, Trevor N, Zimbabwe,  ,1,  
 Berkeley B M Gaskin,Gaskin, Berkeley B M, West Indies,2,  ,  
 Michael W Gatting,Gatting, Michael W, England,79,92,  
 Ronald A Gaunt,Gaunt, Ronald A, Australia,3,  ,  
 Rohan S Gavaskar,Gavaskar, Rohan S, India,  ,11,  
 Sunil M Gavaskar,Gavaskar, Sunil M, India,125,108,  
 Leslie H Gay,Gay, Leslie H, England,1,  ,  
 Christopher H Gayle,Gayle, Christopher H, West Indies,91,228,20
 Gazi Ashraf,Gazi Ashraf,, Bangladesh,  ,7,  
 George Geary,Geary, George, England,14,  ,  
 Sydney G Gedye,Gedye, Sydney G, New Zealand,4,  ,  
 Brett Geeves,Geeves, Brett, Australia,  ,2,1
 Donald R A Gehrs,Gehrs, Donald R A, Australia,6,  ,  
 Peter R George,George, Peter R, Australia,1,  ,  
 Lee K Germon,Germon, Lee K, New Zealand,12,37,  
 Rajinder S Ghai,Ghai, Rajinder S, India,  ,6,  
 Karsan D Ghavri,Ghavri, Karsan D, India,39,19,  
 Mohammed E Z Ghazali,Ghazali, Mohammed E Z, Pakistan,2,  ,  
 Gholam Nousher,Gholam Nousher,, Bangladesh,  ,9,  
 Jayasinghrao M Ghorpade,Ghorpade, Jayasinghrao M, India,8,  ,  
 Ghulam Abbas,Ghulam Abbas,, Pakistan,1,  ,  
 Ghulam Ahmed,Ghulam Ahmed,, India,22,  ,  
 Ghulam Ali,Ghulam Ali,, Pakistan,  ,3,  
 Paul A Gibb,Gibb, Paul A, England,8,  ,  
 Treadwell Gibbons,Gibbons, Treadwell, Bermuda,  ,2,  
 Glendon L Gibbs,Gibbs, Glendon L, West Indies,1,  ,  
 Herschelle H Gibbs,Gibbs, Herschelle H, South Africa,90,248,23
 Lancelot R Gibbs,Gibbs, Lancelot R, West Indies,79,3,  
 Ottis D Gibson,Gibson, Ottis D, West Indies,2,15,  
 Edward S H Giddins,Giddins, Edward S H, England,4,  ,  
 George Giffen,Giffen, George, Australia,31,  ,  
 Walter F Giffen,Giffen, Walter F, Australia,3,  ,  
 Norman Gifford,Gifford, Norman, England,15,2,  
 David R Gilbert,Gilbert, David R, Australia,9,14,  
 Adam C Gilchrist,Gilchrist, Adam C, Australia,96,287,13
 Roy Gilchrist,Gilchrist, Roy, West Indies,13,  ,  
 Ashley F Giles,Giles, Ashley F, England,54,62,  
 Jason N Gillespie,Gillespie, Jason N, Australia,71,97,1
 Mark R Gillespie,Gillespie, Mark R, New Zealand,3,31,11
 Peter G Gillespie,Gillespie, Peter G, Ireland,  ,5,  
 Stuart R Gillespie,Gillespie, Stuart R, New Zealand,1,19,  
 Alfred H H Gilligan,Gilligan, Alfred H H, England,4,  ,  
 Arthur E R Gilligan,Gilligan, Arthur E R, England,11,  ,  
 Gary J Gilmour,Gilmour, Gary J, Australia,15,5,  
 Harold Gimblett,Gimblett, Harold, England,3,  ,  
 George Gladstone,Gladstone, George, West Indies,1,  ,  
 Clifford Gladwin,Gladwin, Clifford, England,8,  ,  
 John W Gleeson,Gleeson, John W, Australia,29,  ,  
 Robert A Gleeson,Gleeson, Robert A, South Africa,1,  ,  
 George K Glover,Glover, George K, South Africa,1,  ,  
 John D C Goddard,Goddard, John D C, West Indies,27,  ,  
 Thomas W J Goddard,Goddard, Thomas W J, England,8,  ,  
 Trevor L Goddard,Goddard, Trevor L, South Africa,41,  ,  
 Golam Faruq,Golam Faruq,, Bangladesh,  ,5,  
 Hilary A Gomes,Gomes, Hilary A, West Indies,60,83,  
 Gerald E Gomez,Gomez, Gerald E, West Indies,29,  ,  
 Manpreet Gony,Gony, Manpreet, India,  ,2,  
 Graham A Gooch,Gooch, Graham A, England,118,125,  
 Murray W Goodwin,Goodwin, Murray W, Zimbabwe,19,71,  
 Yohan Goonasekera,Goonasekera, Yohan, Sri Lanka,2,3,  
 Frederick R M D Goonatillake,Goonatillake, Frederick R M D, Sri Lanka,  ,1,  
 Hettiarachige M Goonatillake,Goonatillake, Hettiarachige M, Sri Lanka,5,6,  
 Morappakam J Gopalan,Gopalan, Morappakam J, India,1,  ,  
 Coimbatarao D Gopinath,Gopinath, Coimbatarao D, India,8,  ,  
 Norman Gordon,Gordon, Norman, South Africa,5,  ,  
 Tyson G Gordon,Gordon, Tyson G, Canada,  ,5,  
 Gordon Goudie,Goudie, Gordon, Scotland,  ,14,1
 Darren Gough,Gough, Darren, England,58,159,2
 Eric Gouka,Gouka, Eric, Netherlands,  ,3,  
 Ian J Gould,Gould, Ian J, England,  ,18,  
 Alfred R Gover,Gover, Alfred R, England,4,  ,  
 David I Gower,Gower, David I, England,117,114,  
 Edward M Grace,Grace, Edward M, England,1,  ,  
 George F Grace,Grace, George F, England,1,  ,  
 William G Grace,Grace, William G, England,22,  ,  
 Shaun F Graf,Graf, Shaun F, Australia,  ,11,  
 Henry Graham,Graham, Henry, Australia,6,  ,  
 Robert Graham,Graham, Robert, South Africa,2,  ,  
 Victor Grandia,Grandia, Victor, Netherlands,  ,1,  
 George C Grant,Grant, George C, West Indies,12,  ,  
 Rolph S Grant,Grant, Rolph S, West Indies,7,  ,  
 Thomas W Graveney,Graveney, Thomas W, England,79,  ,  
 Anthony H Gray,Gray, Anthony H, West Indies,5,25,  
 Evan J Gray,Gray, Evan J, New Zealand,10,10,  
 Adrian P Grayson,Grayson, Adrian P, England,  ,2,  
 Mark J Greatbatch,Greatbatch, Mark J, New Zealand,41,84,  
 Thomas Greenhough,Greenhough, Thomas, England,4,  ,  
 Alvin E Greenidge,Greenidge, Alvin E, West Indies,6,1,  
 Cuthbert Gordon Greenidge,Greenidge, Cuthbert Gordon, West Indies,108,128,  
 Geoffrey A Greenidge,Greenidge, Geoffrey A, West Indies,5,  ,  
 Andrew Greenwood,Greenwood, Andrew, England,2,  ,  
 David W Gregory,Gregory, David W, Australia,3,  ,  
 Edward J Gregory,Gregory, Edward J, Australia,1,  ,  
 John M Gregory,Gregory, John M, Australia,24,  ,  
 Ross G Gregory,Gregory, Ross G, Australia,2,  ,  
