 Haafiz Shahid,Haafiz Shahid,, Pakistan,  ,3,  
 Aftab Habib,Habib, Aftab, England,2,  ,  
 Habibul Bashar,Habibul Bashar,, Bangladesh,50,111,  
 Bradley J Haddin,Haddin, Bradley J, Australia,36,93,25
 Barry G Hadlee,Hadlee, Barry G, New Zealand,  ,2,  
 Dayle R Hadlee,Hadlee, Dayle R, New Zealand,26,11,  
 Richard J Hadlee,Hadlee, Richard J, New Zealand,86,115,  
 Walter A Hadlee,Hadlee, Walter A, New Zealand,11,  ,  
 Hafizur Rahman,Hafizur Rahman,, Bangladesh,  ,2,  
 Nigel E Haig,Haig, Nigel E, England,5,  ,  
 Schofield Haigh,Haigh, Schofield, England,11,  ,  
 Ryan S Haire,Haire, Ryan S, Ireland,  ,2,  
 Oli J Hairs,Hairs, Oli J, Scotland,  ,5,  
 Alexander D Hales,Hales, Alexander D, England,  ,  ,4
 Alfred E Hall,Hall, Alfred E, South Africa,7,  ,  
 Andrew J Hall,Hall, Andrew J, South Africa,21,88,2
 Glen G Hall,Hall, Glen G, South Africa,1,  ,  
 James D Hall,Hall, James D, Ireland,  ,3,  
 Wesley W Hall,Hall, Wesley W, West Indies,48,  ,  
 Ernest A Halliwell,Halliwell, Ernest A, South Africa,8,  ,  
 Charles Hallows,Hallows, Charles, England,2,  ,  
 Clive G Halse,Halse, Clive G, South Africa,3,  ,  
 Ronald A Hamence,Hamence, Ronald A, Australia,3,  ,  
 Hamid Hassan,Hamid Hassan,, Afghanistan,  ,14,8
 Gavin M Hamilton,Hamilton, Gavin M, England,1,38,11
 Lance J Hamilton,Hamilton, Lance J, New Zealand,  ,2,  
 Hammad Azam,Hammad Azam,, Pakistan,  ,5,  
 Jeffrey R Hammond,Hammond, Jeffrey R, Australia,5,1,  
 Walter R Hammond,Hammond, Walter R, England,85,  ,  
 John H Hampshire,Hampshire, John H, England,8,3,  
 Hamza Tariq,Hamza Tariq,, Canada,  ,3,  
 Philip A M Hands,Hands, Philip A M, South Africa,7,  ,  
 Reginald H M Hands,Hands, Reginald H M, South Africa,1,  ,  
 Hanif Mohammad,Hanif Mohammad,, Pakistan,55,  ,  
 Martin A Hanley,Hanley, Martin A, South Africa,1,  ,  
 Hannan Sarkar,Hannan Sarkar,, Bangladesh,17,20,  
 Amarbir S Hansra,Hansra, Amarbir S, Canada,  ,17,  
 Hanumant Singh,Hanumant Singh,, India,14,  ,  
 Rana M Haq,Haq, Rana M, Scotland,  ,31,7
 Harbhajan Singh,Harbhajan Singh,, India,98,229,22
 Manohar S Hardikar,Hardikar, Manohar S, India,2,  ,  
 Harold T W Hardinge,Hardinge, Harold T W, England,1,  ,  
 Joseph Hardstaff (Jnr),Hardstaff (Jnr), Joseph, England,23,  ,  
