 Kabir Ali,Kabir Ali,, England,1,14,  
 Kabir Khan,Kabir Khan,, Pakistan,4,10,  
 Shantha Kalavitigoda,Kalavitigoda, Shantha, Sri Lanka,1,  ,  
 Abhijit V Kale,Kale, Abhijit V, India,  ,1,  
 Alvin I Kallicharran,Kallicharran, Alvin I, West Indies,66,31,  
 Jacques H Kallis,Kallis, Jacques H, South Africa,146,317,16
 Ruwan S Kalpage,Kalpage, Ruwan S, Sri Lanka,11,86,  
 Lalith W Kaluperuma,Kaluperuma, Lalith W, Sri Lanka,2,4,  
 Sanath M S Kaluperuma,Kaluperuma, Sanath M S, Sri Lanka,4,2,  
 Romesh S Kaluwitharana,Kaluwitharana, Romesh S, Sri Lanka,49,189,  
 James K Kamande,Kamande, James K, Kenya,  ,86,12
 Vinod G Kambli,Kambli, Vinod G, India,17,104,  
 Kamran Akmal,Kamran Akmal,, Pakistan,53,137,38
 Kamran Hussain,Kamran Hussain,, Pakistan,  ,2,  
 Tafadzwa Kamungozi,Kamungozi, Tafadzwa, Zimbabwe,  ,4,  
 Sahan H T Kandamby,Kandamby, Sahan H T, Sri Lanka,  ,38,5
 Arvindah L Kandappah,Kandappah, Arvindah L, Canada,  ,2,  
 Danish Kaneria,Kaneria, Danish, Pakistan,61,18,  
 Rohan B Kanhai,Kanhai, Rohan B, West Indies,79,7,  
 Hemant S Kanitkar,Kanitkar, Hemant S, India,2,  ,  
 Hrishikesh H Kanitkar,Kanitkar, Hrishikesh H, India,2,34,  
 Kapil Dev,Kapil Dev,, India,131,225,  
 Aashish R Kapoor,Kapoor, Aashish R, India,4,17,  
 Chamara K Kapugedera,Kapugedera, Chamara K, Sri Lanka,8,86,20
 Abdul H Kardar,Kardar, Abdul H, Pakistan,26,  ,  
 Morne Karg,Karg, Morne, Namibia,  ,3,  
 Aasif Y Karim,Karim, Aasif Y, Kenya,  ,34,  
 Irfan A Karim,Karim, Irfan A, Kenya,  ,2,  
 Saba Karim,Karim, Saba, India,1,34,  
 Karim Sadiq,Karim Sadiq,, Afghanistan,  ,16,8
 Shaul H U Karnain,Karnain, Shaul H U, Sri Lanka,  ,19,  
 Krishna K D Karthik,Karthik, Krishna K D, India,23,52,8
 Murali Kartik,Kartik, Murali, India,8,37,1
 Frank D M Karunaratne,Karunaratne, Frank D M, Sri Lanka,  ,2,  
 Kashif Raza,Kashif Raza,, Pakistan,  ,1,  
 Michael S Kasprowicz,Kasprowicz, Michael S, Australia,38,43,2
 Friday Kasteni,Kasteni, Friday, Zimbabwe,  ,3,  
 Eion Katchay,Katchay, Eion, Canada,  ,5,4
 Simon M Katich,Katich, Simon M, Australia,56,45,3
 William W Keeton,Keeton, William W, England,2,  ,  
 Headley J Keith,Keith, Headley J, South Africa,8,  ,  
 Charles E Kelleway,Kelleway, Charles E, Australia,26,  ,  
 James J Kelly,Kelly, James J, Australia,36,  ,  
 Stefan K W Kelly,Kelly, Stefan K W, Bermuda,  ,10,3
 Thomas J D Kelly,Kelly, Thomas J D, Australia,2,  ,  
 Justin M Kemp,Kemp, Justin M, South Africa,4,85,8
 Gustav A Kempis,Kempis, Gustav A, South Africa,1,  ,  
 Thomas Kendall,Kendall, Thomas, Australia,2,  ,  
 Alexander S Kennedy,Kennedy, Alexander S, England,5,  ,  
 Robert J Kennedy,Kennedy, Robert J, New Zealand,4,7,  
 Ramnath B Kenny,Kenny, Ramnath B, India,5,  ,  
 John C Kent,Kent, John C, South Africa,  ,2,  
 Martin F Kent,Kent, Martin F, Australia,3,5,  
 Esmond S M Kentish,Kentish, Esmond S M, West Indies,2,  ,  
 Donald Kenyon,Kenyon, Donald, England,8,  ,  
 John L Kerr,Kerr, John L, New Zealand,7,  ,  
 Robert B Kerr,Kerr, Robert B, Australia,2,4,  
 Alexei N Kervezee,Kervezee, Alexei N, Netherlands,  ,37,6
 Shaheed Keshvani,Keshvani, Shaheed, Canada,  ,5,2
 Daniel Keulder,Keulder, Daniel, Namibia,  ,6,  
 Robert W T Key,Key, Robert W T, England,15,5,1
 Khaled Mahmud,Khaled Mahmud,, Bangladesh,12,77,  
 Khaled Mashud,Khaled Mashud,, Bangladesh,44,126,  
 Khalid Hassan,Khalid Hassan,, Pakistan,1,  ,  
 Khalid Ibadulla,Khalid Ibadulla,, Pakistan,4,  ,  
 Khalid Khan,Khalid Khan,, Hong Kong,  ,2,  
 Khalid Latif,Khalid Latif,, Pakistan,  ,5,5
 Khalid Wazir,Khalid Wazir,, Pakistan,2,  ,  
 Khaliq Dad,Khaliq Dad,, Afghanistan,  ,6,  
 Amjad Khan,Khan, Amjad, England,1,  ,1
 Imraan Khan,Khan, Imraan, South Africa,1,  ,  
 Khan Mohammad,Khan Mohammad,, Pakistan,13,  ,  
 Surinder C Khanna,Khanna, Surinder C, India,  ,10,  
 Usman T Khawaja,Khawaja, Usman T, Australia,3,  ,  
 Gagan K Khoda,Khoda, Gagan K, India,  ,2,  
 Khuram Khan,Khuram Khan,, United Arab Emirates,  ,4,  
 Amay R Khurasiya,Khurasiya, Amay R, India,  ,12,  
 Khurram Chohan,Khurram Chohan,, Canada,  ,23,4
 Khurram Manzoor,Khurram Manzoor,, Pakistan,7,7,  
