 Nadeem Abbasi,Nadeem Abbasi,, Pakistan,3,  ,  
 Nadeem Ahmed,Nadeem Ahmed,, Hong Kong,  ,3,  
 Nadeem Ghauri,Nadeem Ghauri,, Pakistan,1,6,  
 Nadeem Khan,Nadeem Khan,, Pakistan,2,2,  
 Nadif Chowdhury,Nadif Chowdhury,, Bangladesh,  ,  ,3
 Raghunath G Nadkarni,Nadkarni, Raghunath G, India,41,  ,  
 Naeem Ahmed,Naeem Ahmed,, Pakistan,  ,1,  
 Naeem Ashraf,Naeem Ashraf,, Pakistan,  ,2,  
 Naeem Islam,Naeem Islam,, Bangladesh,6,48,8
 Naeemuddin Aslam,Naeemuddin Aslam,, United Arab Emirates,  ,2,  
 Nafis Iqbal,Nafis Iqbal,, Bangladesh,11,16,  
 Mahendra V Nagamootoo,Nagamootoo, Mahendra V, West Indies,5,24,  
 Lisle E Nagel,Nagel, Lisle E, Australia,1,  ,  
 John Nagenda,Nagenda, John, East Africa,  ,1,  
 Sudhir S Naik,Naik, Sudhir S, India,3,2,  
 Naimuir Rahman,Naimuir Rahman,, Bangladesh,8,29,  
 Najaf Shah,Najaf Shah,, Pakistan,  ,1,  
 Najeeb Aamer,Najeeb Aamer,, Hong Kong,  ,4,  
 Parbhu G Nana,Nana, Parbhu G, East Africa,  ,3,  
 Rangy Nanan,Nanan, Rangy, West Indies,1,  ,  
 Dirk P Nannes,Nannes, Dirk P, Australia,  ,1,17
 Makhija Naoomal Jeoomal,Naoomal Jeoomal, Makhija, India,3,  ,  
 Madireddy V Narasimha Rao,Narasimha Rao, Madireddy V, India,4,  ,  
 Naseer Malik,Naseer Malik,, Pakistan,  ,3,  
 Brendan P Nash,Nash, Brendan P, West Indies,21,9,  
 Dion J Nash,Nash, Dion J, New Zealand,32,81,  
 Laurence J Nash,Nash, Laurence J, Australia,2,  ,  
 Nasim-Ul-Ghani,Nasim-Ul-Ghani,, Pakistan,29,1,  
 Nasir Ahmed,Nasir Ahmed,, Bangladesh,  ,7,  
 Nasir Hameed,Nasir Hameed,, Hong Kong,  ,1,  
 Nasir Hossain,Nasir Hossain,, Bangladesh,2,7,1
 Nasir Jamshed,Nasir Jamshed,, Pakistan,  ,12,  
 Nasir Javed,Nasir Javed,, United States,  ,1,  
 Naumanullah,Naumanullah,, Pakistan,  ,1,  
 Naushad Ali,Naushad Ali,, Pakistan,6,  ,  
 Naved Anjum,Naved Anjum,, Pakistan,2,13,  
 Naved Ashraf,Naved Ashraf,, Pakistan,2,  ,  
 Naved Latif,Naved Latif,, Pakistan,1,11,  
 Naved-ul-Hasan,Naved-ul-Hasan,, Pakistan,9,74,4
 Janardhan G Navle,Navle, Janardhan G, India,2,  ,  
 Nawab of Pataudi Jr,Nawab of Pataudi Jr,, India,46,  ,  
 Nawab of Pataudi Sr,Nawab of Pataudi Sr,, India,6,  ,  
 Mohamed N Nawaz,Nawaz, Mohamed N, Sri Lanka,1,3,  
 Nawroz Mangal,Nawroz Mangal,, Afghanistan,  ,18,8
 Surendra V Nayak,Nayak, Surendra V, India,2,4,  
 H G Dharshana Nayanakanatha,Nayanakanatha, H G Dharshana, Sri Lanka,  ,3,  
 Abhishek M Nayar,Nayar, Abhishek M, India,  ,3,  
 Cottari K Nayudu,Nayudu, Cottari K, India,7,  ,  
 Cottari S Nayudu,Nayudu, Cottari S, India,11,  ,  
 Nazar Mohammad,Nazar Mohammad,, Pakistan,5,  ,  
 Nazimuddin,Nazimuddin,, Bangladesh,  ,7,7
 Syed Nazir Ali,Nazir Ali, Syed, India,2,  ,  
 Nazmul Hossain,Nazmul Hossain,, Bangladesh,1,36,2
 Nazmus Sadat,Nazmus Sadat,, Bangladesh,  ,  ,1
 Njabulo Ncube,Ncube, Njabulo, Zimbabwe,1,1,  
 James M Neblett,Neblett, James M, West Indies,1,  ,  
 Neeyamur Rashid,Neeyamur Rashid,, Bangladesh,  ,2,  
 Ashish Nehra,Nehra, Ashish, India,17,120,8
 Andre Nel,Nel, Andre, South Africa,36,79,2
 Johann D Nel,Nel, Johann D, Scotland,  ,19,9
 John D Nel,Nel, John D, South Africa,6,  ,  
 Christopher J Nevin,Nevin, Christopher J, New Zealand,  ,37,  
 Claude J Newberry,Newberry, Claude J, South Africa,4,  ,  
 William Newham,Newham, William, England,1,  ,  
 Jack Newman,Newman, Jack, New Zealand,3,  ,  
 Philip J Newport,Newport, Philip J, England,3,  ,  
 Edward S Newson,Newson, Edward S, South Africa,3,  ,  
 Mfuneko Ngam,Ngam, Mfuneko, South Africa,3,  ,  
 James O Ngoche,Ngoche, James O, Kenya,  ,10,  
 Shem O Ngoche,Ngoche, Shem O, Kenya,  ,10,4
 Niaz Ahmed,Niaz Ahmed,, Pakistan,2,  ,  
 Morris S Nichols,Nichols, Morris S, England,14,  ,  
 Frank Nicholson,Nicholson, Frank, South Africa,4,  ,  
 Matthew J Nicholson,Nicholson, Matthew J, Australia,1,  ,  
 Robert J Nicol,Nicol, Robert J, New Zealand,  ,3,3
 Ian A Nicolson,Nicolson, Ian A, Zimbabwe,  ,2,  
 John F W Nicolson,Nicolson, John F W, South Africa,3,  ,  
 Ruud G Nijman,Nijman, Ruud G, Netherlands,  ,1,  
 Ratnayake A P Nissanka,Nissanka, Ratnayake A P, Sri Lanka,4,23,  
 Mahomed Nissar,Nissar, Mahomed, India,6,  ,  
 Holmesdale C Nitschke,Nitschke, Holmesdale C, Australia,2,  ,  
 Paul A Nixon,Nixon, Paul A, England,  ,19,1
 Mluleki L Nkala,Nkala, Mluleki L, Zimbabwe,10,50,1
 Montague A Noble,Noble, Montague A, Australia,42,  ,  
 Geoffrey J Noblet,Noblet, Geoffrey J, Australia,3,  ,  
 Ashley A Noffke,Noffke, Ashley A, Australia,  ,1,2
 Noor Ali Zadran,Noor Ali Zadran,, Afghanistan,  ,13,7
 Noor-ul-Haq,Noor-ul-Haq,, Afghanistan,  ,2,  
 Jack M Noreiga,Noreiga, Jack M, West Indies,4,  ,  
 Marcus J North,North, Marcus J, Australia,21,2,1
 Norman O Norton,Norton, Norman O, South Africa,1,  ,  
 Otto E Nothling,Nothling, Otto E, Australia,1,  ,  
 Arthur D Nourse,Nourse, Arthur D, South Africa,34,  ,  
 Arthur W Nourse,Nourse, Arthur W, South Africa,45,  ,  
 Makhaya Ntini,Ntini, Makhaya, South Africa,101,173,10
 Robert K Nunes,Nunes, Robert K, West Indies,4,  ,  
 Eiulf P Nupen,Nupen, Eiulf P, South Africa,17,  ,  
 Ashley R Nurse,Nurse, Ashley R, West Indies,  ,  ,2
 Seymour M Nurse,Nurse, Seymour M, West Indies,29,  ,  
 Nurul Abedin,Nurul Abedin,, Bangladesh,  ,4,  
 Shah Nyalchand,Nyalchand, Shah, India,1,  ,  
