 George H O'Brien,O'Brien, George H, Bermuda,  ,9,3
 Iain E O'Brien,O'Brien, Iain E, New Zealand,22,10,4
 Kevin J O'Brien,O'Brien, Kevin J, Ireland,  ,64,16
 Leo P O'Brien,O'Brien, Leo P, Australia,5,  ,  
 Niall J O'Brien,O'Brien, Niall J, Ireland,  ,49,15
 Timothy C O'Brien,O'Brien, Timothy C, England,5,  ,  
 Jack O'Connor,O'Connor, Jack, England,4,  ,  
 John D A O'Connor,O'Connor, John D A, Australia,4,  ,  
 Shayne B O'Connor,O'Connor, Shayne B, New Zealand,19,38,  
 Simon P O'Donnell,O'Donnell, Simon P, Australia,6,87,  
 Stephen N J O'Keefe,O'Keefe, Stephen N J, Australia,  ,  ,7
 Kerry J O'Keeffe,O'Keeffe, Kerry J, Australia,24,2,  
 Sydney O'Linn,O'Linn, Sydney, South Africa,7,  ,  
 Norman C O'Neill,O'Neill, Norman C, Australia,42,  ,  
 William J O'Reilly,O'Reilly, William J, Australia,27,  ,  
 David R O'Sullivan,O'Sullivan, David R, New Zealand,11,3,  
 Alan S M Oakman,Oakman, Alan S M, England,2,  ,  
 Alex A Obanda,Obanda, Alex A, Kenya,  ,40,10
 Collins O Obuya,Obuya, Collins O, Kenya,  ,94,9
 David O Obuya,Obuya, David O, Kenya,  ,72,6
 Arthur E Ochse,Ochse, Arthur E, South Africa,2,  ,  
 Arthur L Ochse,Ochse, Arthur L, South Africa,3,  ,  
 Nehemiah N Odhiambo,Odhiambo, Nehemiah N, Kenya,  ,60,9
 Nelson M Odhiambo,Odhiambo, Nelson M, Kenya,  ,4,1
 Thomas M Odoyo,Odoyo, Thomas M, Kenya,  ,134,8
 Edward O Odumbe,Odumbe, Edward O, Kenya,  ,8,  
 Maurice O Odumbe,Odumbe, Maurice O, Kenya,  ,61,  
 Alan D Ogilvie,Ogilvie, Alan D, Australia,5,  ,  
 Naman V Ojha,Ojha, Naman V, India,  ,1,2
 Pragyan P Ojha,Ojha, Pragyan P, India,12,16,6
 Christopher M Old,Old, Christopher M, England,46,32,  
 Norman Oldfield,Oldfield, Norman, England,1,  ,  
 William A S Oldfield,Oldfield, William A S, Australia,54,  ,  
 Henry K Olonga,Olonga, Henry K, Zimbabwe,30,50,  
 Lucas Oluoch,Oluoch, Lucas, Kenya,  ,2,  
 Ali H Omarshah,Omarshah, Ali H, Zimbabwe,3,28,  
 Peter J Ongondo,Ongondo, Peter J, Kenya,  ,79,8
 Graham Onions,Onions, Graham, England,8,4,  
 Justin L Ontong,Ontong, Justin L, South Africa,2,26,3
 Lamech N Onyango,Onyango, Lamech N, Kenya,  ,28,5
 Antony R M Opatha,Opatha, Antony R M, Sri Lanka,  ,5,  
 Jacob D P Oram,Oram, Jacob D P, New Zealand,33,153,29
 James Ormond,Ormond, James, England,2,  ,  
 Henry Osinde,Osinde, Henry, Canada,  ,40,6
 Elijah Otieno,Otieno, Elijah, Kenya,  ,22,  
 Francis N Otieno,Otieno, Francis N, Kenya,  ,4,  
 Kennedy O Otieno,Otieno, Kennedy O, Kenya,  ,89,4
 Maurice A Ouma,Ouma, Maurice A, Kenya,  ,72,10
 Steven D Outerbridge,Outerbridge, Steven D, Bermuda,  ,23,3
 Guy W F Overton,Overton, Guy W F, New Zealand,3,  ,  
 Harold G Owen-Smith,Owen-Smith, Harold G, South Africa,5,  ,  
 Michael B Owens,Owens, Michael B, New Zealand,8,1,  
 Ronald K Oxenham,Oxenham, Ronald K, Australia,7,  ,  
