 Douglas E V Padgett,Padgett, Douglas E V, England,2,  ,  
 Albert L Padmore,Padmore, Albert L, West Indies,2,  ,  
 Milford L Page,Page, Milford L, New Zealand,14,  ,  
 Donovan J Pagon,Pagon, Donovan J, West Indies,2,  ,  
 Ajit M Pai,Pai, Ajit M, India,1,  ,  
 George A E Paine,Paine, George A E, England,4,  ,  
 Timothy D Paine,Paine, Timothy D, Australia,4,26,5
 Bruce H Pairaudeau,Pairaudeau, Bruce H, West Indies,13,  ,  
 Lionel C H Palairet,Palairet, Lionel C H, England,2,  ,  
 Steven J Palframan,Palframan, Steven J, South Africa,  ,7,  
 Phiroz E Palia,Palia, Phiroz E, India,2,  ,  
 Archibald W Palm,Palm, Archibald W, South Africa,1,  ,  
 Charles H Palmer,Palmer, Charles H, England,1,  ,  
 George E Palmer,Palmer, George E, Australia,17,  ,  
 Kenneth E Palmer,Palmer, Kenneth E, England,1,  ,  
 Mangesh Panchel,Panchel, Mangesh, Netherlands,  ,1,  
 Gyanendrakumar K Pandey,Pandey, Gyanendrakumar K, India,  ,2,  
 Chandrakant S Pandit,Pandit, Chandrakant S, India,5,36,  
 Mudhsuden S Panesar,Panesar, Mudhsuden S, England,39,26,1
 Pankaj Singh,Pankaj Singh,, India,  ,1,  
 Tinashe Panyangara,Panyangara, Tinashe, Zimbabwe,3,25,  
 Michael H W Papps,Papps, Michael H W, New Zealand,8,6,  
 N Tharanga Paranavitana,Paranavitana, N Tharanga, Sri Lanka,25,  ,  
 Jatin V Paranjpe,Paranjpe, Jatin V, India,  ,4,  
 Brenton A Parchment,Parchment, Brenton A, West Indies,2,7,1
 Peter H Parfitt,Parfitt, Peter H, England,37,  ,  
 Roy L Park,Park, Roy L, Australia,1,  ,  
 Ghulam A Parkar,Parkar, Ghulam A, India,1,10,  
 Ramnath D Parkar,Parkar, Ramnath D, India,2,  ,  
 Charles W L Parker,Parker, Charles W L, England,1,  ,  
 George M Parker,Parker, George M, South Africa,2,  ,  
 John M Parker,Parker, John M, New Zealand,36,24,  
 Matthew A Parker,Parker, Matthew A, Scotland,  ,10,  
 Norman M Parker,Parker, Norman M, New Zealand,3,1,  
 Paul W G Parker,Parker, Paul W G, England,1,  ,  
 William G A Parkhouse,Parkhouse, William G A, England,7,  ,  
 Cecil H Parkin,Parkin, Cecil H, England,10,  ,  
 Durant C Parkin,Parkin, Durant C, South Africa,1,  ,  
 James H Parks,Parks, James H, England,1,  ,  
 James M Parks,Parks, James M, England,46,  ,  
 Wayne D Parnell,Parnell, Wayne D, South Africa,3,19,12
 Adam C Parore,Parore, Adam C, New Zealand,78,179,  
 Derek R Parry,Parry, Derek R, West Indies,12,6,  
 Dhiraj D Parsana,Parsana, Dhiraj D, India,2,  ,  
 Joseph T Partridge,Partridge, Joseph T, South Africa,11,  ,  
 Nelon T Pascal,Pascal, Nelon T, West Indies,2,1,  
 Leonard S Pascoe,Pascoe, Leonard S, Australia,14,29,  
 Sudath P Pasqual,Pasqual, Sudath P, Sri Lanka,  ,2,  
 Clarence C Passailaigue,Passailaigue, Clarence C, West Indies,1,  ,  
 Chandrakant T Patankar,Patankar, Chandrakant T, India,1,  ,  
 Ashish Patel,Patel, Ashish, Canada,  ,2,  
 Ashok K Patel,Patel, Ashok K, India,  ,8,  
 Brijal J Patel,Patel, Brijal J, Kenya,  ,31,  
 Brijesh P Patel,Patel, Brijesh P, India,21,10,  
 Dipak N Patel,Patel, Dipak N, New Zealand,37,75,  
 Hiral Patel ,Patel , Hiral, Canada,  ,18,4
 Jasubhai M Patel,Patel, Jasubhai M, India,7,  ,  
 Jeetan S Patel,Patel, Jeetan S, New Zealand,13,39,11
 Jitendra M Patel,Patel, Jitendra M, Canada,  ,3,  
 Kalpesh A Patel,Patel, Kalpesh A, Kenya,  ,2,  
 Malhar L Patel,Patel, Malhar L, Kenya,  ,3,  
 Minal M Patel,Patel, Minal M, England,2,  ,  
 Munaf M Patel,Patel, Munaf M, India,13,70,3
 Pathiv A Patel,Patel, Pathiv A, India,20,32,2
 Rakeep R Patel,Patel, Rakeep R, Kenya,  ,29,5
 Rashid G M Patel,Patel, Rashid G M, India,1,1,  
 Samit R Patel,Patel, Samit R, England,  ,21,5
 Grant A Paterson,Paterson, Grant A, Zimbabwe,  ,10,  
 Irfan K Pathan,Pathan, Irfan K, India,29,107,15
 Yusuf K Pathan,Pathan, Yusuf K, India,  ,56,21
 Yuvraj Patiala,Patiala, Yuvraj, India,1,  ,  
 Sadishiv R Patil,Patil, Sadishiv R, India,1,  ,  
 Sandeep M Patil,Patil, Sandeep M, India,29,45,  
 Jason Patraj,Patraj, Jason, Canada,  ,2,  
 Balfour P Patterson,Patterson, Balfour P, West Indies,28,59,  
 Bruce M W Patterson,Patterson, Bruce M W, Scotland,  ,3,  
 Darren J Pattinson,Pattinson, Darren J, England,1,  ,  
 James L Pattinson,Pattinson, James L, Australia,  ,2,2
 Thelston R O Payne,Payne, Thelston R O, West Indies,1,7,  
 Edward Paynter,Paynter, Edward, England,20,  ,  
 Stephen G Peall,Peall, Stephen G, Zimbabwe,4,21,  
 Charles O C Pearse,Pearse, Charles O C, South Africa,3,  ,  
 Edmund Peate,Peate, Edmund, England,9,  ,  
 Gerald E Peckover,Peckover, Gerald E, Zimbabwe,  ,3,  
 Ian A R Peebles,Peebles, Ian A R, England,13,  ,  
 Robert Peel,Peel, Robert, England,20,  ,  
 Sidney J Pegler,Pegler, Sidney J, South Africa,16,  ,  
 Clarence E Pellew,Pellew, Clarence E, Australia,10,  ,  
 Andrew J Penn,Penn, Andrew J, New Zealand,  ,5,  
 Frank Penn,Penn, Frank, England,1,  ,  
 Kahawalage G Perera,Perera, Kahawalage G, Sri Lanka,  ,1,  
 Mahawaduge D K Perera,Perera, Mahawaduge D K, Sri Lanka,  ,4,2
 N L Thissara C Perera,Perera, N L Thissara C, Sri Lanka,2,21,9
 Panagodage D R L Perera,Perera, Panagodage D R L, Sri Lanka,8,19,2
 Suresh A Perera,Perera, Suresh A, Sri Lanka,3,20,  
 William K D Perkins,Perkins, William K D, West Indies,  ,  ,1
 Reginald T D Perks,Perks, Reginald T D, England,2,  ,  
 Nehemiah O Perry,Perry, Nehemiah O, West Indies,4,21,  
 Pervez Mir,Pervez Mir,, Pakistan,  ,3,  
 Pervez Sajjad,Pervez Sajjad,, Pakistan,19,  ,  
 Alviro N Petersen,Petersen, Alviro N, South Africa,9,14,2
 Robin J Peterson,Peterson, Robin J, South Africa,6,47,8
 Peter J Petherick,Petherick, Peter J, New Zealand,6,  ,  
 Eric C Petrie,Petrie, Eric C, New Zealand,14,  ,  
 Mark J Petrie,Petrie, Mark J, Scotland,  ,4,  
 Richard G Petrie,Petrie, Richard G, New Zealand,  ,12,  
 Dattaray G Phadkar,Phadkar, Dattaray G, India,31,  ,  
 Vernon D Philander,Philander, Vernon D, South Africa,1,7,7
 Iain L Philip,Philip, Iain L, Scotland,  ,3,  
 Hylton Philipson,Philipson, Hylton, England,5,  ,  
 Norbert Phillip,Phillip, Norbert, West Indies,9,1,  
 Omar Phillips,Phillips, Omar, West Indies,2,  ,  
 Wayne B Phillips,Phillips, Wayne B, Australia,27,48,  
 Wayne N Phillips,Phillips, Wayne N, Australia,1,  ,  
 Peter I Philpott,Philpott, Peter I, Australia,8,  ,  
 Hemal S M Pieris,Pieris, Hemal S M, Sri Lanka,  ,3,  
 Lance R Pierre,Pierre, Lance R, West Indies,1,  ,  
 Kevin P Pietersen,Pietersen, Kevin P, England,78,123,33
 Anthony C S Pigott,Pigott, Anthony C S, England,1,  ,  
 Richard Pilling,Pilling, Richard, England,8,  ,  
 Arthur D J Pitcher,Pitcher, Arthur D J, Bermuda,  ,3,  
 Azeem R Pitcher,Pitcher, Azeem R, Bermuda,  ,4,  
 Oliver L Pitcher,Pitcher, Oliver L, Bermuda,  ,5,3
 Anthony J Pithey,Pithey, Anthony J, South Africa,17,  ,  
 David B Pithey,Pithey, David B, South Africa,8,  ,  
 Winston Place,Place, Winston, England,3,  ,  
 William R Playle,Playle, William R, New Zealand,8,  ,  
 John B Plimsoll,Plimsoll, John B, South Africa,1,  ,  
 Liam E Plunkett,Plunkett, Liam E, England,9,29,1
 Blair A Pocock,Pocock, Blair A, New Zealand,15,  ,  
 Patrick I Pocock,Pocock, Patrick I, England,25,1,  
 Keiron A Pollard,Pollard, Keiron A, West Indies,  ,46,20
 Richard Pollard,Pollard, Richard, England,4,  ,  
 Victor Pollard,Pollard, Victor, New Zealand,32,3,  
 Peter M Pollock,Pollock, Peter M, South Africa,28,  ,  
 Robert G Pollock,Pollock, Robert G, South Africa,23,  ,  
 Shaun M Pollock,Pollock, Shaun M, South Africa,108,303,12
 Luke A Pommersbach,Pommersbach, Luke A, Australia,  ,  ,1
 William H Ponsford,Ponsford, William H, Australia,29,  ,  
 Ricky T Ponting,Ponting, Ricky T, Australia,155,370,17
 Cyril J Poole,Poole, Cyril J, England,3,  ,  
 Riaz H Poonawala,Poonawala, Riaz H, United Arab Emirates,  ,2,  
 Navdeep S Poonia,Poonia, Navdeep S, Scotland,  ,21,7
 Matt B Poore,Poore, Matt B, New Zealand,14,  ,  
 Robert M Poore,Poore, Robert M, South Africa,3,  ,  
 George H Pope,Pope, George H, England,1,  ,  
 Roland J Pope,Pope, Roland J, Australia,1,  ,  
 Graeme D Porter,Porter, Graeme D, Australia,  ,2,  
 William T S Porterfield,Porterfield, William T S, Ireland,  ,56,16
 Nic Pothas,Pothas, Nic, South Africa,  ,3,  
 James E Pothecary,Pothecary, James E, South Africa,3,  ,  
 Arthur D Pougher,Pougher, Arthur D, England,1,  ,  
 Ramesh R Powar,Powar, Ramesh R, India,2,31,  
 Albert W Powell,Powell, Albert W, South Africa,1,  ,  
 Daren B Powell,Powell, Daren B, West Indies,37,55,5
 Kieran O A Powell,Powell, Kieran O A, West Indies,3,3,  
 Ricardo L Powell,Powell, Ricardo L, West Indies,2,109,  
 Andrew D Poynter,Poynter, Andrew D, Ireland,  ,15,  
 Manoj M Prabhakar,Prabhakar, Manoj M, India,39,130,  
 Kariyawasam T G D Prasad,Prasad, Kariyawasam T G D, Sri Lanka,8,7,1
 Mannava S K Prasad,Prasad, Mannava S K, India,6,17,  
 Erapally A S Prasanna,Prasanna, Erapally A S, India,49,  ,  
 Seekkuge Prasanna,Prasanna, Seekkuge, Sri Lanka,1,3,  
 Dewald Pretorius,Pretorius, Dewald, South Africa,4,  ,  
 John S E Price,Price, John S E, England,15,  ,  
 Raymond W Price,Price, Raymond W, Zimbabwe,21,99,13
 Wilfred F F Price,Price, Wilfred F F, England,1,  ,  
 Roger M Prideaux,Prideaux, Roger M, England,3,  ,  
 Mark W Priest,Priest, Mark W, New Zealand,3,18,  
 Ashwell G Prince,Prince, Ashwell G, South Africa,63,52,1
 Charles F H Prince,Prince, Charles F H, South Africa,1,  ,  
 Christopher Pringle,Pringle, Christopher, New Zealand,14,64,  
 Derek R Pringle,Pringle, Derek R, England,30,44,  
 Donald J Pringle,Pringle, Donald J, East Africa,  ,2,  
 Meyrick W Pringle,Pringle, Meyrick W, South Africa,4,17,  
 Matthew J Prior,Prior, Matthew J, England,47,68,10
 Michael J Procter,Procter, Michael J, South Africa,7,  ,  
 Henry L E Promnitz,Promnitz, Henry L E, South Africa,2,  ,  
 Cheteshwar A Pujara,Pujara, Cheteshwar A, India,3,  ,  
 Geoffrey Pullar,Pullar, Geoffrey, England,28,  ,  
 Narotam Puna,Puna, Narotam, New Zealand,3,  ,  
 Pananmal H Punjabi,Punjabi, Pananmal H, India,5,  ,  
 Karuppiahyage R Pushpakumara,Pushpakumara, Karuppiahyage R, Sri Lanka,23,31,  
 Muthumudalige Pushpakumara,Pushpakumara, Muthumudalige, Sri Lanka,  ,3,1
 Andrew G Puttick,Puttick, Andrew G, South Africa,  ,1,  
 Andrew J Pycroft,Pycroft, Andrew J, Zimbabwe,3,20,  
 Milton R Pydanna,Pydanna, Milton R, West Indies,  ,3,  
