 Saadat Ali,Saadat Ali,, Pakistan,  ,8,  
 Sadiq Mohammad,Sadiq Mohammad,, Pakistan,41,19,  
 Saeed Ahmed,Saeed Ahmed,, Pakistan,41,  ,  
 Saeed Ajmal,Saeed Ajmal,, Pakistan,15,48,32
 Saeed Anwar,Saeed Anwar,, Pakistan,55,247,  
 Saeed Azad,Saeed Azad,, Pakistan,  ,4,  
 Saeed-Al-Saffar,Saeed-Al-Saffar,, United Arab Emirates,  ,1,  
 Martin J Saggers,Saggers, Martin J, England,3,  ,  
 Ronald A Saggers,Saggers, Ronald A, Australia,6,  ,  
 Wriddhiman P Saha,Saha, Wriddhiman P, India,1,3,  
 Saiful Islam,Saiful Islam,, Bangladesh,  ,7,  
 Sajid Ali,Sajid Ali,, Pakistan,  ,13,  
 Sajidul Islam,Sajidul Islam,, Bangladesh,2,  ,  
 Sajjad Ahmed,Sajjad Ahmed,, Bangladesh,  ,2,  
 Sajjad Akbar,Sajjad Akbar,, Pakistan,  ,2,  
 Salahuddin,Salahuddin,, Pakistan,5,  ,  
 Salahuddin Ahmed,Salahuddin Ahmed,, Bangladesh,  ,6,  
 Saleem Altaf,Saleem Altaf,, Pakistan,21,6,  
 Saleem Elahi,Saleem Elahi,, Pakistan,13,48,  
 Saleem Pervez,Saleem Pervez,, Pakistan,  ,1,  
 Saleem Raza,Saleem Raza,, United Arab Emirates,  ,6,  
 Salim Jaffer,Salim Jaffer,, Pakistan,14,39,  
 Salim Malik,Salim Malik,, Pakistan,103,283,  
 Salim Yousuf,Salim Yousuf,, Pakistan,32,86,  
 Ian D K Salisbury,Salisbury, Ian D K, England,15,4,  
 Salman Butt,Salman Butt,, Pakistan,33,78,24
 George Salmond,Salmond, George, Scotland,  ,5,  
 Aavishkar M Salvi,Salvi, Aavishkar M, India,  ,4,  
 Abdool M Samad,Samad, Abdool M, Canada,  ,27,7
 Johanne A Samarasekera,Samarasekera, Johanne A, United Arab Emirates,  ,7,  
 Maitipage A R Samarasekera,Samarasekera, Maitipage A R, Sri Lanka,4,39,  
 Dulip P Samaraweera,Samaraweera, Dulip P, Sri Lanka,7,5,  
 Thilan T Samaraweera,Samaraweera, Thilan T, Sri Lanka,68,53,  
 Sameer Zia,Sameer Zia,, United Arab Emirates,  ,1,  
 Samiullah Khan,Samiullah Khan,, Pakistan,  ,2,  
 Samiullah Shenwari,Samiullah Shenwari,, Afghanistan,  ,18,8
 Samiur Rahman,Samiur Rahman,, Bangladesh,  ,2,  
 Darren J G Sammy,Sammy, Darren J G, West Indies,19,65,24
 Marlon N Samuels,Samuels, Marlon N, West Indies,35,120,11
 Robert G Samuels,Samuels, Robert G, West Indies,6,8,  
 Sivert V Samuelson,Samuelson, Sivert V, South Africa,1,  ,  
 Andrew Sandham,Sandham, Andrew, England,14,  ,  
 Kevin T Sandher,Sandher, Kevin T, Canada,  ,15,  
 Balwinder S Sandhu,Sandhu, Balwinder S, India,8,22,  
 Adam Sanford,Sanford, Adam, West Indies,11,  ,  
 Kumar C Sangakkara,Sangakkara, Kumar C, Sri Lanka,103,301,32
 Rahul L Sanghvi,Sanghvi, Rahul L, India,1,10,  
 Krishmar Santokie,Santokie, Krishmar, West Indies,  ,  ,1
 Sanwar Hossain,Sanwar Hossain,, Bangladesh,9,27,  
 Saqib Ali,Saqib Ali,, United Arab Emirates,  ,2,  
 Saqlain Mushtaq,Saqlain Mushtaq,, Pakistan,49,169,  
 Sarandeep Singh,Sarandeep Singh,, India,3,5,  
 Dilip N Sardesai,Sardesai, Dilip N, India,30,  ,  
 Sarfraz Ahmed,Sarfraz Ahmed,, Pakistan,1,10,2
 Sarfraz Nawaz,Sarfraz Nawaz,, Pakistan,55,45,  
 Ramnaresh R Sarwan,Sarwan, Ramnaresh R, West Indies,87,173,18
 Chandrasekhar T Sarwate,Sarwate, Chandrasekhar T, India,9,  ,  
 Abdur F Sattaur,Sattaur, Abdur F, Canada,  ,3,  
 John V Saunders,Saunders, John V, Australia,14,  ,  
 Ramesh C Saxena,Saxena, Ramesh C, India,1,  ,  
 Reginald G Scarlett,Scarlett, Reginald G, West Indies,3,  ,  
 Marcelis M C Schewe,Schewe, Marcelis M C, Netherlands,  ,5,  
 Edgar Schiferli,Schiferli, Edgar, Netherlands,  ,27,6
 Christopher P Schofield,Schofield, Christopher P, England,2,  ,4
 Reiout H Scholte,Scholte, Reiout H, Netherlands,  ,5,  
 Brett N Schultz,Schultz, Brett N, South Africa,9,1,  
 Sandford S Schultz,Schultz, Sandford S, England,1,  ,  
 Reginald O Schwarz,Schwarz, Reginald O, South Africa,20,  ,  
 Alfred P H Scott,Scott, Alfred P H, West Indies,1,  ,  
 Henry J H Scott,Scott, Henry J H, Australia,8,  ,  
 Oscar C Scott,Scott, Oscar C, West Indies,8,  ,  
 Roy H Scott,Scott, Roy H, New Zealand,1,  ,  
 Verdun J Scott,Scott, Verdun J, New Zealand,10,  ,  
 William H Scotton,Scotton, William H, England,15,  ,  
 Benjamin J Sealey,Sealey, Benjamin J, West Indies,1,  ,  
 Glenroy R Sealy,Sealy, Glenroy R, Canada,  ,3,  
 James E D Sealy,Sealy, James E D, West Indies,11,  ,  
 Arthur W Seccull,Seccull, Arthur W, South Africa,1,  ,  
