 Shaun D Udal,Udal, Shaun D, England,4,11,  
 Isuru Udana,Udana, Isuru, Sri Lanka,  ,  ,5
 Mahela L Udawatte,Udawatte, Mahela L, Sri Lanka,  ,9,5
 George Ulyett,Ulyett, George, England,25,  ,  
 Umar Akmal,Umar Akmal,, Pakistan,16,46,24
 Umar Amin,Umar Amin,, Pakistan,4,3,  
 Umar Gul,Umar Gul,, Pakistan,38,91,34
 Pahlan R Umrigar,Umrigar, Pahlan R, India,59,  ,  
 Jaidev D Unadkat,Unadkat, Jaidev D, India,1,  ,  
 Derek L Underwood,Underwood, Derek L, England,86,26,  
 Kalutarage Eric A Upashantha,Upashantha, Kalutarage Eric A, Sri Lanka,2,12,  
 Usman Limbada,Usman Limbada,, Canada,  ,7,3
 Usman Salahuddin,Usman Salahuddin,, Pakistan,  ,2,  
 Robin V Uthappa,Uthappa, Robin V, India,  ,38,9
 Prosper Utseya,Utseya, Prosper, Zimbabwe,1,137,16
